MDTU,link
1,1.00259
2,1.00259
3,1.00259
4,1.00259
5,1.00259
6,1.00259
7,1.00259
8,1.00259
9,1.00259
10,1.00259
11,1.00259
12,1.00259
13,1.00259
14,1.00259
15,1.00259
16,1.00259
17,1.00259
18,1.00259
19,1.00259
20,1.00259
21,1.08775
22,1.08187
23,1.08328
24,1.08521
25,1.08421
26,1.08421
27,1.08182
28,1.07909
29,1.0744
30,1.07487
31,1.07272
32,1.07178
33,1.07354
34,1.07017
35,1.06957
36,1.07165
37,1.07002
38,1.07077
39,1.06955
40,1.07404
41,1.07215
42,1.07306
43,1.0691
44,1.06428
45,1.06428
46,1.06604
47,1.06604
48,1.06603
49,1.06192
50,1.05973
51,1.06014
52,1.0573
53,1.06057
54,1.05799
55,1.05799
56,1.05856
57,1.05856
58,1.05619
59,1.05406
60,1.0551
61,1.05229
62,1.0537
63,1.05058
64,1.05127
65,1.05099
66,1.05328
67,1.05263
68,1.05443
69,1.05443
70,1.05196
71,1.05
72,1.04852
73,1.04852
74,1.04852
75,1.04688
76,1.0461
77,1.04663
78,1.04153
79,1.04153
80,1.04559
81,1.04078
82,1.03616
83,1.03618
84,1.03752
85,1.04128
86,1.03806
87,1.03787
88,1.03446
89,1.0357
90,1.0355
91,1.0355
92,1.0355
93,1.0355
94,1.03561
95,1.03619
96,1.03464
97,1.03712
98,1.03579
99,1.03556
100,1.03548
101,1.03548
102,1.03371
103,1.03141
104,1.03348
105,1.03348
106,1.03348
107,1.03405
108,1.03063
109,1.03172
110,1.02984
111,1.02673
112,1.02673
113,1.02699
114,1.02699
115,1.02849
116,1.02845
117,1.0281
118,1.02645
119,1.02496
120,1.02803
121,1.02742
122,1.02742
123,1.02831
124,1.02578
125,1.02578
126,1.02931
127,1.02446
128,1.01852
129,1.01953
130,1.01887
131,1.01989
132,1.02032
133,1.01981
134,1.01914
135,1.01975
136,1.01769
137,1.01762
138,1.01762
139,1.01852
140,1.01852
141,1.0203
142,1.01948
