MDTU,|det-1|^2,1-Re(det),Im(det)
1,1.28517,-0.11927,0.000111819
2,1.28517,-0.11927,0.000111819
3,1.28517,-0.11927,0.000111819
4,1.28517,-0.11927,0.000111819
5,1.28517,-0.11927,0.000111819
6,1.28517,-0.11927,0.000111819
7,1.28517,-0.11927,0.000111819
8,1.28517,-0.11927,0.000111819
9,1.28517,-0.11927,0.000111819
10,1.28517,-0.11927,0.000111819
11,1.28517,-0.11927,0.000111819
12,1.28517,-0.11927,0.000111819
13,1.28517,-0.11927,0.000111819
14,1.28517,-0.11927,0.000111819
15,1.28517,-0.11927,0.000111819
16,1.28517,-0.11927,0.000111819
17,1.28517,-0.11927,0.000111819
18,1.28517,-0.11927,0.000111819
19,1.28517,-0.11927,0.000111819
20,1.28517,-0.11927,0.000111819
21,34.3296,-3.5144,0.000674843
22,24.5898,-2.95784,-0.000635357
23,28.5994,-3.16783,-3.09888e-05
24,28.5654,-3.20558,0.000510473
25,25.3258,-3.03065,0.000608831
26,25.3258,-3.03065,0.000608831
27,22.8773,-2.86796,-0.00029924
28,21.3529,-2.73433,-0.00124293
29,16.6262,-2.3855,0.000502715
30,18.7554,-2.50865,0.000391999
31,17.3308,-2.39577,-8.50968e-05
32,15.7653,-2.27067,-0.000788598
33,16.6481,-2.35688,-0.000294524
34,14.4692,-2.16791,-0.000920822
35,12.44,-2.02863,-0.000503568
36,12.9935,-2.10385,0.000559102
37,11.4487,-1.97552,-0.000683804
38,11.4266,-1.98773,-0.000423316
39,10.6992,-1.91617,0.00015571
40,10.4215,-1.97885,-0.000591722
41,9.0443,-1.84649,-0.000911553
42,9.51087,-1.89527,-0.00013236
43,8.48717,-1.74473,-6.25677e-05
44,7.77498,-1.60278,0.000291023
45,7.77498,-1.60278,0.000291023
46,6.79123,-1.54576,-0.000936933
47,6.79123,-1.54576,-0.000936933
48,6.40767,-1.51965,-4.16144e-05
49,6.64215,-1.46489,-0.000130487
50,6.25782,-1.39955,-0.000392364
51,7.58524,-1.5158,-0.000745438
52,5.95447,-1.32478,-0.00071965
53,6.27547,-1.40952,3.201e-05
54,5.97231,-1.34117,0.000782875
55,5.97231,-1.34117,0.000782875
56,6.43776,-1.39206,0.000348974
57,6.43776,-1.39206,0.000348974
58,5.76178,-1.29196,1.67829e-05
59,4.92145,-1.1841,-0.000168839
60,5.33263,-1.23123,0.000123899
61,4.73299,-1.13311,0.000135241
62,5.22127,-1.20341,-0.000416053
63,4.65329,-1.09679,0.000525225
64,4.81226,-1.12453,-0.000514373
65,4.54179,-1.09096,0.000687019
66,4.68594,-1.1405,0.000441289
67,5.12619,-1.18295,0.000359846
68,5.38756,-1.2313,0.000557619
69,5.38756,-1.2313,0.000557619
70,4.96361,-1.15611,-0.000228623
71,4.57955,-1.089,-0.000679691
72,4.90643,-1.09996,-0.000484522
73,4.90643,-1.09996,-0.000484522
74,4.38052,-1.04527,-0.000256648
75,5.0231,-1.09489,0.000100228
76,4.65689,-1.0466,-0.00019511
77,4.30365,-1.01262,-0.000730364
78,3.14492,-0.8088,-0.00075747
79,3.14492,-0.8088,-0.00075747
80,3.7686,-0.93676,0.000276213
81,3.09542,-0.7894,-0.000408684
82,2.81246,-0.69651,-0.000284385
83,2.65445,-0.67483,-0.000327857
84,2.60369,-0.68297,-0.000278075
85,2.95366,-0.77648,-0.000664723
86,2.54829,-0.68025,-0.000709103
87,2.18201,-0.62767,0.000112413
88,2.14216,-0.57701,0.000428153
89,2.27298,-0.6122,0.000511686
90,2.39103,-0.62844,0.000434032
91,2.39103,-0.62844,0.000434032
92,2.39103,-0.62844,0.000434032
93,2.39103,-0.62844,0.000434032
94,2.17709,-0.59796,0.000290519
95,2.20015,-0.60637,0.000252038
96,2.1981,-0.58431,-0.000244498
97,2.99349,-0.73029,0.000263698
98,3.14859,-0.73539,-0.000181963
99,2.79432,-0.68298,-0.000274891
100,3.0622,-0.71879,-0.000506882
101,3.0622,-0.71879,-0.000506882
102,2.93504,-0.67686,-0.000310469
103,2.5023,-0.58999,2.58959e-05
104,2.69999,-0.64628,-0.000289779
105,2.69999,-0.64628,-0.000289779
106,2.69999,-0.64628,-0.000289779
107,2.49106,-0.62276,5.30276e-05
108,2.30721,-0.55607,0.000762567
109,2.21859,-0.55508,-0.000565241
110,2.12066,-0.51442,-0.000155836
111,1.67384,-0.40631,0.000316616
112,1.67384,-0.40631,0.000316616
113,1.70013,-0.41485,-0.000213673
114,1.70013,-0.41485,-0.000213673
115,1.49556,-0.39557,-5.94311e-05
116,1.45243,-0.38707,-9.24002e-05
117,1.50884,-0.39491,0.000386444
118,1.42403,-0.36141,0.00030603
119,1.28355,-0.31782,0.000485681
120,1.40437,-0.37395,-4.18199e-05
121,1.50431,-0.38773,4.01134e-05
122,1.50431,-0.38773,4.01134e-05
123,1.69892,-0.43084,1.944e-06
124,1.57691,-0.38281,-0.000348311
125,1.57691,-0.38281,-0.000348311
126,1.71071,-0.44605,1.59591e-05
127,1.47109,-0.3502,-0.00023795
128,1.16818,-0.22509,9.65239e-05
129,1.21299,-0.2465,-0.000271643
130,1.31385,-0.26101,-0.000382275
131,1.32422,-0.27379,0.000185351
132,1.52275,-0.317,-5.03629e-05
133,1.43845,-0.29702,0.000276844
134,1.31997,-0.26464,9.21097e-05
135,1.39497,-0.28486,-0.000136567
136,1.1669,-0.21575,0.000199414
137,1.26292,-0.23799,0.000497366
138,1.26292,-0.23799,0.000497366
139,1.467,-0.28435,-0.000118627
140,1.467,-0.28435,-0.000118627
141,1.48837,-0.30291,-2.72145e-05
142,1.57567,-0.31194,-0.000521879
143,1.53573,-0.29123,-0.000119954
144,1.56453,-0.32356,-0.000577199
145,1.34418,-0.25838,0.000104099
146,1.52137,-0.30933,7.86945e-05
147,1.70712,-0.34661,-0.000187235
148,1.49808,-0.2967,-5.87109e-05
149,1.49808,-0.2967,-5.87109e-05
150,1.49808,-0.2967,-5.87109e-05
151,1.40578,-0.25688,0.000537815
152,1.33848,-0.22355,6.04274e-06
153,1.33848,-0.22355,6.04274e-06
154,1.21346,-0.20492,2.69805e-05
155,1.21346,-0.20492,2.69805e-05
156,1.15747,-0.18304,0.000211553
157,1.15747,-0.18304,0.000211553
158,1.15747,-0.18304,0.000211553
159,1.15747,-0.18304,0.000211553
160,1.19681,-0.19175,-0.000114545
161,0.977193,-0.11182,0.000195973
162,0.974737,-0.1215,0.000575481
163,0.974737,-0.1215,0.000575481
164,1.10073,-0.1682,0.000450052
165,1.16102,-0.16961,9.51623e-05
166,1.27735,-0.22306,-1.37395e-05
167,1.27767,-0.21914,6.07958e-05
168,1.37248,-0.24184,-4.15472e-05
169,1.37248,-0.24184,-4.15472e-05
170,1.37248,-0.24184,-4.15472e-05
171,1.34325,-0.23176,-0.000495627
172,1.34989,-0.21961,0.00023482
173,1.13348,-0.14331,-0.00012335
174,1.20794,-0.15281,0.000482014
175,1.10987,-0.12088,-3.05395e-05
176,1.27985,-0.18856,0.000467213
177,1.42061,-0.21275,0.000338852
178,1.20315,-0.18441,-0.000202093
179,1.21732,-0.17354,-4.69711e-05
180,1.21732,-0.17354,-4.69711e-05
181,1.21732,-0.17354,-4.69712e-05
182,1.17975,-0.15533,-0.000309173
183,1.16318,-0.15657,-0.00016495
184,1.16318,-0.15657,-0.00016495
185,1.12649,-0.14854,-0.000556712
186,1.29472,-0.1928,-0.000507799
187,1.13765,-0.16484,-6.4729e-05
188,1.08094,-0.15997,-0.000258394
189,1.08033,-0.16091,0.000129595
190,0.962692,-0.114,-0.000226325
191,1.00082,-0.12153,-8.90133e-05
192,0.907766,-0.0698,-4.29886e-06
193,0.907766,-0.0698,-4.29886e-06
194,0.83054,-0.05354,3.00012e-05
195,0.813464,-0.03347,6.47454e-05
196,0.865362,-0.06175,-0.000312823
197,1.004,-0.12555,-0.000208385
198,0.951064,-0.09943,2.89424e-05
199,1.10399,-0.12226,0.000101822
200,1.08071,-0.10127,0.000153018
201,0.919432,-0.04877,-0.000243917
202,1.01999,-0.08989,-0.000126048
203,1.04169,-0.08798,-8.798e-05
204,0.990986,-0.09718,0.000150342
205,1.18406,-0.16064,0.000264909
206,1.09892,-0.11256,-1.7885e-05
207,1.2094,-0.1513,0.000167857
208,1.0375,-0.09012,0.000352208
209,1.20713,-0.16586,0.000236536
210,1.09778,-0.15161,0.000133206
211,1.09778,-0.15161,0.000133206
212,1.01188,-0.11166,-0.000297591
213,1.16358,-0.16464,2.56608e-06
214,1.23904,-0.16847,-0.000451649
215,1.21975,-0.16922,-0.000219674
216,1.31679,-0.20245,-0.000336722
217,1.31679,-0.20245,-0.000336722
218,1.18016,-0.13643,-8.04522e-05
219,1.20028,-0.15224,-3.55381e-05
220,1.19848,-0.1514,0.00021271
221,1.36457,-0.20487,0.000417836
222,1.16472,-0.13177,-0.000239192
223,1.25863,-0.19171,0.000364079
224,1.24206,-0.17968,0.000334153
225,1.00796,-0.12582,0.000319054
226,1.01932,-0.13738,3.91852e-06
