t,deltaS
1,-3.237
2,1.193
3,-0.05018
4,0.09319
5,-0.01738
6,-0.02116
7,-0.02491
8,-0.05151
9,-0.06679
10,-0.05688
11,-0.6212
12,-0.7951
13,-0.7739
14,-0.6169
15,-0.9053
16,-0.6858
17,-0.6273
18,-0.836
19,-0.8575
20,-0.7557
21,-0.6084
22,-0.5045
23,-0.7073
24,-0.8858
25,-0.8707
26,-0.7106
27,-0.602
28,-0.5158
29,-0.4469
30,-0.4039
31,-0.7285
32,-0.5516
33,-0.334
34,-0.6196
35,-0.5219
36,-0.5762
37,-0.2779
38,-0.2845
39,-0.4983
40,-0.5503
41,-0.3992
42,-0.2553
43,-0.4127
44,-0.3961
45,-0.4582
46,-0.3091
47,-0.2361
48,-0.4719
49,-0.1424
50,-0.3851
51,-0.28
52,-0.2715
53,-0.4427
54,-0.4791
55,-0.356
56,-0.2129
57,-0.1396
58,-0.2801
59,-0.04493
60,-0.3139
61,-0.28
62,0.02959
63,-0.04573
64,-0.2579
65,0.1432
66,-0.2577
67,-0.2348
68,-0.224
69,-0.3874
70,-0.5602
71,-0.1495
72,-0.1364
73,-0.2811
74,-0.2573
75,-0.3164
76,-0.07258
77,-0.1254
78,-0.2075
79,-0.005198
80,-0.08075
81,-0.1398
82,0.01443
83,-0.2388
84,-0.1955
85,-0.2336
86,-0.04863
87,-0.00288
88,0.03751
89,-0.1779
90,-0.3337
91,-0.01764
92,-0.1743
93,-0.3118
94,-0.1758
95,-0.07148
96,-0.2438
97,0.0647
98,-0.2336
99,-0.08495
100,-0.1584
101,-0.9876
102,-0.1554
103,-0.2666
104,-0.1405
105,-1.408
106,-0.27
107,0.3818
108,-0.4753
109,-0.5077
110,0.06897
111,-0.05858
112,-0.3471
113,-0.3707
114,-0.4159
115,-0.1132
116,0.4182
117,-0.4652
118,-0.3737
119,0.4753
120,0.3982
121,0.01746
122,0.1859
123,-0.01444
124,0.1783
125,0.039
126,0.1478
127,-0.02497
128,0.06819
129,-0.1004
130,-0.07409
131,0.2056
132,0.203
133,-0.05176
134,0.1525
135,-0.3016
136,0.1438
137,-0.1664
138,-0.1492
139,-0.06511
140,-0.2941
141,-0.1628
142,-0.01171
143,0.2811
144,0.04172
145,-0.2148
146,0.09529
147,-0.06564
148,0.4028
149,0.261
150,-0.06717
151,0.1527
152,0.1026
153,0.1632
154,-0.1462
155,0.3886
156,0.07355
157,-0.006077
158,0.01022
159,0.3305
160,0.4087
161,0.2583
162,-0.1144
163,-0.2888
164,-0.2565
165,-0.06417
166,-0.003627
167,0.2164
168,-0.2548
169,0.1973
170,-0.2114
171,0.02306
172,0.05716
173,0.1234
174,-0.2397
175,0.09132
176,0.07099
177,-0.2896
178,0.4122
179,0.2307
180,-0.244
181,-0.08241
182,0.1588
183,0.2848
184,-0.5231
185,0.3024
186,0.3116
187,0.2122
188,0.2591
189,-0.2373
190,0.0007766
191,-0.06159
192,-0.2736
193,0.4088
194,-0.08083
195,-0.1509
