MDTU,|Tr(Lx)|,|Tr(Ly)|,|Tr(Lz)|,|Tr(L5)|
139,0.961928,0.0928132,0.209633,0.00850203
140,0.970184,0.016243,0.125964,0.00416825
141,0.971273,0.0801681,0.161823,0.00462706
142,0.974965,0.0427013,0.0883188,0.00474362
143,0.968304,0.118106,0.0464,0.00120936
144,0.965198,0.0443752,0.0994226,0.00291359
145,0.963119,0.0440138,0.108842,0.00375827
146,0.960292,0.0771537,0.105402,0.00041897
147,0.959534,0.0425459,0.107317,0.00213444
148,0.959534,0.0425459,0.107317,0.00213444
149,0.961353,0.139824,0.0963725,0.0035437
150,0.963656,0.0924013,0.0762391,0.00395772
151,0.962717,0.0173195,0.133223,0.0038628
152,0.952588,0.130072,0.0705804,0.00149121
153,0.957837,0.0908583,0.108709,0.00276667
154,0.958126,0.0853697,0.111626,0.00234409
155,0.958126,0.0853697,0.111626,0.00234409
156,0.955268,0.0430301,0.20318,0.00723745
157,0.956676,0.00699587,0.138481,0.00534013
158,0.96094,0.0407717,0.133501,0.0013139
159,0.961518,0.0929134,0.0754599,0.00635201
160,0.95881,0.044925,0.0284992,0.00428882
161,0.960199,0.122937,0.120341,0.00405689
162,0.964782,0.0661774,0.179198,0.00990145
163,0.957938,0.0661622,0.128906,0.011793
164,0.956937,0.115351,0.123961,0.0101393
165,0.95776,0.116677,0.188395,0.00620108
166,0.962001,0.144515,0.19085,0.00282389
167,0.962866,0.151643,0.0447524,0.00923087
168,0.9613,0.113472,0.0312537,0.00567915
169,0.962811,0.0601941,0.150045,0.00549758
170,0.956766,0.12985,0.0187692,0.00439266
171,0.963683,0.0345608,0.0958258,0.00194382
172,0.965005,0.0281048,0.119972,0.00728861
173,0.968273,0.0541003,0.0860061,0.00134009
174,0.968505,0.0231606,0.0844555,0.00622779
175,0.970615,0.0551893,0.18924,0.00192963
176,0.974022,0.0575182,0.0683674,0.0039121
177,0.971479,0.0434871,0.0908918,0.00759664
178,0.970621,0.0479928,0.137716,0.0105458
179,0.976173,0.0634966,0.0487483,0.0046486
180,0.96603,0.0963574,0.124397,0.00709647
181,0.964459,0.106274,0.057605,0.00361853
182,0.964452,0.0879465,0.103624,0.00351818
183,0.964452,0.0879465,0.103624,0.00351818
184,0.965963,0.0763442,0.00819854,0.00272824
185,0.960058,0.112813,0.0811991,0.00491509
186,0.955548,0.0479986,0.0200547,0.00433788
187,0.955548,0.0479986,0.0200547,0.00433788
188,0.954758,0.0253804,0.0552997,0.00756971
189,0.95683,0.0748062,0.0428685,0.0111809
190,0.962678,0.0464599,0.0673796,0.00672646
191,0.967108,0.068184,0.0563953,0.0024006
192,0.966949,0.134596,0.0359557,0.00802671
193,0.969753,0.154115,0.111505,0.00596947
194,0.9688,0.160682,0.0397063,0.00889146
195,0.969578,0.177707,0.179028,0.00718195
196,0.964472,0.152769,0.0923288,0.00566361
197,0.968422,0.139943,0.0936401,0.00781577
198,0.963621,0.129877,0.159584,0.00820308
199,0.964667,0.0362609,0.137748,0.000834109
200,0.972329,0.134792,0.202355,0.00759027
201,0.969815,0.0397501,0.198697,0.011786
202,0.967002,0.0745345,0.272904,0.00684382
203,0.965957,0.117964,0.213657,0.00103453
204,0.959874,0.108526,0.260952,0.00449292
205,0.959874,0.108526,0.260952,0.00449292
206,0.959161,0.0201366,0.262379,0.00849531
207,0.957644,0.0329121,0.152512,0.00544019
208,0.962508,0.0506156,0.196961,0.0060653
209,0.961597,0.0788008,0.211967,0.00369315
210,0.960716,0.0912917,0.22544,0.00608336
211,0.960348,0.0699367,0.245401,0.00453402
212,0.956365,0.0263251,0.203846,0.00438768
213,0.957751,0.0842356,0.374209,0.0135944
214,0.965678,0.146983,0.33238,0.00714607
215,0.965678,0.146983,0.33238,0.00714607
216,0.967053,0.121534,0.261065,0.00577826
217,0.970684,0.200945,0.176745,0.0153036
218,0.969348,0.259356,0.185249,0.00690381
219,0.963324,0.179247,0.222233,0.00668635
220,0.961815,0.125885,0.310028,0.00573149
221,0.961815,0.125885,0.310028,0.00573149
222,0.964634,0.133258,0.232652,0.00216971
223,0.961808,0.0813068,0.240363,0.00202494
224,0.961808,0.0813068,0.240363,0.00202494
