t,|deltaS|
1,5.179
2,4.925
3,0.2772
4,0.0006295
5,0.005823
6,0.1089
7,0.04118
8,0.07493
9,0.02992
10,0.0799
11,0.1227
12,0.3251
13,0.023
14,0.02809
15,0.1016
16,0.03395
17,0.06476
18,0.01066
19,0.01932
20,0.06619
21,1.13
22,1.373
23,1.023
24,1.679
25,1.613
26,1.709
27,0.2678
28,0.2437
29,0.1897
30,0.2473
31,0.5517
32,0.6599
33,1.191
34,0.5378
35,0.6058
36,0.09948
37,1.118
38,1.588
39,0.6397
40,0.7363
41,0.1098
42,0.1207
43,0.6968
44,0.9013
45,0.05267
46,1.285
47,0.5926
48,1.259
49,0.9175
50,0.03795
51,0.5428
52,1.078
53,2.331
54,0.0797
55,0.419
56,0.655
57,0.02416
58,0.715
59,1.073
60,0.3573
61,0.9669
62,0.2779
63,0.05824
64,1.159
65,1.678
66,0.06754
67,0.3134
68,1.203
69,0.4562
70,0.6133
71,0.1969
72,1.009
73,0.192
74,2.84
75,1.348
76,0.2632
77,2.139
78,0.1931
79,0.0209
80,0.1783
81,0.7613
82,0.4484
83,0.22
84,2.471
85,0.6709
86,0.794
87,0.1654
88,0.6112
89,0.7046
90,1.188
91,0.197
92,0.1186
93,0.2947
94,0.6126
95,1.448
96,0.8892
97,0.03928
98,1.502
99,1.625
100,2.478
101,1.464
102,0.1047
103,0.9059
104,0.9913
105,0.5377
106,0.3086
107,0.2423
108,1.309
109,0.9973
110,0.2213
111,0.5968
112,1.038
113,0.3757
114,1.373
115,0.8714
116,1.15
117,0.8552
118,0.07757
119,0.8823
120,0.6968
121,0.6618
122,0.02266
123,0.1187
124,0.09743
125,0.08949
126,0.7588
127,1.158
128,0.1988
129,1.458
130,0.03994
131,0.2447
132,0.2162
133,0.1278
134,1.408
135,0.2042
136,0.04294
137,0.5028
138,0.4227
139,0.6044
140,0.0751
141,0.09074
142,0.007526
143,0.007974
144,0.8316
145,0.231
146,1.084
147,0.08518
148,0.6002
149,0.3543
150,0.1609
151,1.63
152,0.9837
153,0.3783
154,0.1074
155,1.977
156,0.136
157,0.5225
158,1.294
159,0.9156
160,0.5026
161,1.224
162,0.7265
163,0.6948
164,0.01179
165,1.086
166,0.5057
167,0.3583
168,1.47
169,0.6348
170,0.8053
171,2.032
172,1.268
173,0.6236
174,1.429
175,0.8558
176,1.162
177,0.9342
178,0.3464
179,1.87
180,0.1664
181,0.03975
182,2.64
183,0.9366
184,1.311
185,2.557
186,0.798
187,0.6221
188,0.5011
189,0.6851
190,2.208
191,0.5168
192,0.6696
193,1.868
194,1.719
195,0.0306
196,0.3698
197,0.9167
198,1.037
199,0.04635
200,0.03229
201,0.6562
202,0.6874
203,1.737
204,1.408
205,0.5075
206,0.8301
207,0.5842
208,0.9031
209,0.08475
210,0.2415
211,1.055
