MDTU,plaq,Re(det),Im(det),link
5932,0.828484,0.898086,0.236396,0.0882748
5933,0.809627,0.872209,0.230847,0.0861357
5934,0.810426,0.857523,0.230421,0.0865802
5935,0.822705,0.845654,0.225258,0.0882863
5936,0.812726,0.846746,0.227391,0.0870358
5937,0.828556,0.886891,0.23537,0.088323
5938,0.857205,0.952597,0.239751,0.0908872
5939,0.853214,0.930991,0.23891,0.091052
5940,0.886296,1.01206,0.255957,0.0944208
5941,0.872102,1.00237,0.253993,0.093102
5942,0.86116,1.02653,0.259692,0.0909029
5943,0.859021,1.00467,0.25507,0.0910685
5944,0.859021,1.00467,0.25507,0.0910685
5945,0.865266,1.04541,0.267567,0.091389
5946,0.865266,1.04541,0.267567,0.091389
5947,0.903004,1.08559,0.27141,0.0958165
5948,0.953708,1.17561,0.288764,0.101401
5949,0.953708,1.17561,0.288764,0.101401
5950,0.931069,1.10276,0.276261,0.0991795
5951,0.915066,1.05883,0.269987,0.0981075
5952,0.915066,1.05883,0.269987,0.0981075
5953,0.916952,1.05213,0.270246,0.0986775
5954,0.912555,1.05635,0.268484,0.0979221
5955,0.912555,1.05635,0.268484,0.0979221
5956,0.948808,1.13262,0.27988,0.10156
5957,0.948808,1.13262,0.27988,0.10156
5958,0.948808,1.13262,0.27988,0.10156
5959,0.947364,1.11218,0.275002,0.101382
5960,0.992429,1.2468,0.294689,0.105686
5961,0.992429,1.2468,0.294689,0.105686
5962,0.992429,1.2468,0.294689,0.105686
5963,0.970528,1.21479,0.293562,0.10352
5964,0.970528,1.21479,0.293562,0.10352
5965,0.95868,1.20607,0.297547,0.102443
5966,0.95868,1.20607,0.297547,0.102443
5967,0.950487,1.1937,0.291201,0.101261
5968,1.00147,1.25858,0.301756,0.107376
5969,1.00147,1.25858,0.301756,0.107376
5970,1.03043,1.29551,0.308081,0.110789
5971,1.05986,1.34341,0.320082,0.114451
5972,1.05056,1.34469,0.313873,0.112867
5973,1.05056,1.34469,0.313873,0.112867
5974,1.05056,1.34469,0.313873,0.112867
5975,1.03142,1.35325,0.31581,0.110133
5976,1.04127,1.3656,0.316093,0.111208
5977,1.01759,1.35103,0.314731,0.108213
5978,1.01759,1.35103,0.314731,0.108213
5979,1.01759,1.35103,0.314731,0.108213
5980,1.01423,1.3312,0.310142,0.108039
5981,1.01423,1.3312,0.310142,0.108039
5982,1.02665,1.37684,0.320343,0.109259
5983,0.994641,1.29934,0.302686,0.105693
5984,0.992161,1.29876,0.306328,0.105305
5985,0.999602,1.28033,0.307273,0.106848
5986,0.999602,1.28033,0.307273,0.106848
5987,1.00464,1.29758,0.309515,0.107536
5988,0.995678,1.25276,0.303804,0.106861
5989,0.995678,1.25276,0.303804,0.106861
5990,0.995678,1.25276,0.303804,0.106861
5991,0.977531,1.222,0.298393,0.104625
5992,0.969542,1.22808,0.299511,0.103625
5993,0.995967,1.27547,0.311305,0.106472
5994,0.966505,1.25508,0.306857,0.103024
5995,0.975556,1.25387,0.306532,0.104039
5996,0.984526,1.24913,0.307018,0.10545
5997,0.984526,1.24913,0.307018,0.10545
5998,0.994204,1.31429,0.316969,0.105997
5999,0.994204,1.31429,0.316969,0.105997
6000,0.991261,1.32563,0.314641,0.105089
6001,0.991261,1.32563,0.314641,0.105089
6002,0.993155,1.32227,0.317727,0.105418
6003,0.993155,1.32227,0.317727,0.105418
6004,0.993155,1.32227,0.317727,0.105418
6005,0.993155,1.32227,0.317727,0.105418
6006,0.993155,1.32227,0.317727,0.105418
6007,0.993155,1.32227,0.317727,0.105418
6008,0.989125,1.32089,0.317282,0.105299
6009,0.989125,1.32089,0.317282,0.105299
6010,0.989125,1.32089,0.317282,0.105299
6011,1.0003,1.33828,0.320275,0.106244
6012,1.0003,1.33828,0.320275,0.106244
6013,1.0579,1.46143,0.338807,0.112309
6014,1.02894,1.40228,0.3327,0.109449
6015,1.02894,1.40228,0.3327,0.109449
6016,1.04732,1.50884,0.340901,0.110048
6017,1.04732,1.50884,0.340901,0.110048
6018,1.04148,1.51721,0.338058,0.109086
6019,1.04148,1.51721,0.338058,0.109086
6020,1.04148,1.51721,0.338058,0.109086
6021,1.03549,1.51382,0.338024,0.108565
6022,1.03549,1.51382,0.338024,0.108565
6023,1.00945,1.38048,0.320073,0.106645
6024,1.00945,1.38048,0.320073,0.106645
6025,0.988773,1.27526,0.299153,0.104955
6026,0.974498,1.24656,0.295629,0.103239
6027,0.942737,1.21911,0.294856,0.099592
6028,0.960139,1.22461,0.290299,0.101056
6029,0.960139,1.22461,0.290299,0.101056
