t,walltime
4860,321.7
4870,317.6
4880,310.6
4890,305.4
4900,308.6
4910,307.6
4920,304.7
4930,307.3
4940,309.1
4950,306.9
4960,306.3
4970,305.2
4980,305.2
4990,307.3
5000,305.2
5010,305.5
5020,308.9
5030,307.8
5040,308.9
5050,308.1
5060,305.4
5070,303.9
5080,328.4
5090,328.8
5100,329.1
5110,327.5
5120,353.2
5130,346.2
5140,350.6
5150,353.3
5160,355.4
5170,352.2
5180,352.3
5190,353.3
5200,346.1
5210,349.9
5220,348.1
5230,352
5240,343.1
5250,344.4
5260,353
5270,346.7
5280,353.6
5290,352.9
5300,348.6
5310,346.3
5320,354.6
5330,347.3
5340,345.5
5350,348.5
5360,343.7
5370,349
5380,348.1
5390,347.1
5400,349.8
5410,343.4
5420,343.6
5430,342.1
5440,343.9
5450,343.3
5460,339.8
5470,343.4
5480,339.3
5490,341.8
5500,348.8
5510,348
5520,352
5530,350.4
5540,352.6
5550,350.6
5560,350.7
5570,354.1
5580,348.2
5590,351.1
5600,348.4
5610,342.1
5620,351.8
5630,350.3
5640,350.9
5650,343.6
5660,341.5
5670,340.9
5680,344.7
5690,346.4
5700,343
5710,344.9
5720,345.2
5730,344.3
5740,347.2
5750,345.7
5760,341.3
5770,342.9
5780,342.1
5790,346
5800,347.1
5810,343.7
5820,347
5830,349.1
5840,346.7
5850,342.5
5860,343.1
5870,339.7
5880,338.5
5890,338.2
5900,337.7
5910,340
5920,340.1
5930,341.3
5940,338.7
5950,335.3
5960,336.4
5970,329.7
5980,321.3
5990,322.8
6000,329.1
6010,335.3
6020,335.6
6030,335
6040,333
6050,338
6060,336.6
6070,338.6
6080,338.3
6090,336.9
6100,336.5
6110,338.1
6120,355.2
6130,352.2
6140,355.6
6150,354.2
6160,353.2
6170,350.2
6180,353.3
6190,353.3
6200,353.5
6210,353
6220,354.4
6230,350.5
6240,353
6250,356.3
6260,355.1
6270,355.4
6280,354.2
6290,356.4
6300,360.5
6310,357.9
6320,359.4
6330,362.7
6340,358.1
6350,359.5
6360,360.2
6370,341.1
6380,349.3
6390,355.6
6400,352.2
6410,353.5
6420,353.1
6430,353.6
6440,355.7
6450,356.3
6460,355.2
6470,355.4
6480,358.2
6490,356.2
6500,355.7
6510,372.4
6520,348.2
6530,349.3
6540,359.4
6550,360.7
6560,357.4
6570,360.2
6580,357.6
6590,354.6
6600,352.9
6610,358.7
6620,356.9
6630,358
6640,353.5
6650,355.8
6660,354.3
6670,360.3
6680,355.9
6690,352.8
6700,354.5
6710,351.9
6720,351.6
6730,352.6
6740,351.1
6750,351.8
6760,353.9
6770,349.5
6780,349.3
6790,350.7
6800,353.9
6810,352.5
6820,348
6830,353.6
6840,354.4
6850,353
6860,352.2
6870,347.6
6880,343.8
6890,340.1
6900,342.7
6910,351.4
6920,336.7
6930,336.1
6940,347.4
6950,340.3
6960,337.5
6970,335.3
6980,335.7
6990,336.9
7000,339
7010,345.6
7020,338.5
7030,342.1
7040,340.6
7050,342.4
7060,341.5
7070,338.4
7080,340.3
7090,340.6
7100,342.4
7110,343.5
7120,315.6
7130,315.5
7140,314.5
7150,316.9
7160,317.1
7170,314.1
7180,316.7
7190,318.7
7200,314.3
7210,317.8
7220,316.3
7230,315.6
7240,319
7250,316.9
7260,314.9
7270,315.4
7280,315
7290,315.7
7300,316
7310,318.1
7320,313.8
7330,317.4
7340,315.9
7350,310
7360,307.6
7370,334.8
7380,344.8
7390,337.9
7400,340.6
7410,340.5
7420,337.8
7430,340.4
7440,343.3
7450,337.8
7460,337.1
7470,337.8
7480,345
7490,336.2
7500,339
7510,343.9
7520,337.4
7530,339.7
7540,335.6
7550,341.2
7560,337.5
7570,338.4
7580,333.7
7590,339.1
7600,338.2
7610,343.5
7620,349.7
