t,e^(-dS)
1,0.706028
2,1.03023
3,0.989911
4,1.10295
5,1.08171
6,1.04581
7,1.03255
8,1.00393
9,1.08027
10,1.10927
11,1.04308
12,1.06366
13,1.02988
14,1.048
15,0.998529
16,0.972554
17,1.017
18,1.03905
19,1.0076
20,0.986985
21,0.748264
22,1.15361
23,2.44611
24,1.385
25,0.670991
26,0.803884
27,1.2274
28,1.00191
29,1.51422
30,1.82778
31,1.11594
32,1.64576
33,1.54945
34,0.381517
35,0.605985
36,0.635146
37,1.47108
38,2.26868
39,2.43708
40,1.53664
41,2.98023
42,1.32326
43,3.96696
44,0.457261
45,0.363491
46,0.254107
47,0.338578
48,1.61365
49,0.233868
50,2.09008
51,0.430331
52,0.271715
53,0.273898
54,1.54388
55,1.66529
56,1.87648
57,0.839373
58,1.25358
59,1.03194
60,0.276098
61,0.854704
62,0.632864
63,0.900595
64,0.978221
65,0.842316
66,0.163982
67,1.84209
68,4.03094
69,1.79248
70,0.563212
71,0.65377
72,1.74473
73,0.118245
74,0.209716
75,0.513195
76,0.358438
77,2.66632
78,4.31458
79,0.769126
80,0.768896
81,1.48216
82,0.26955
83,0.138207
84,0.222907
85,0.390003
86,0.0916297
87,2.43124
88,0.687221
89,0.255892
90,0.285361
91,1.00255
92,4.24185
93,0.101064
94,1.13746
95,1.63722
96,0.755179
97,0.392311
98,2.85479
99,0.416862
100,3.52895
101,0.112703
102,1.03478
103,1.12761
104,0.737418
105,2.47218
106,1.17199
107,1.73585
108,0.436966
109,0.418324
110,2.08215
111,0.2608
112,0.714838
113,0.144569
114,0.624065
115,1.22691
116,0.165796
117,0.480417
118,1.24995
119,0.396095
120,0.466079
121,1.21373
122,3.33676
123,1.29499
124,0.253599
125,0.978867
126,0.767513
127,0.373701
128,0.950345
129,2.04071
130,0.747665
131,1.09366
132,0.409589
133,0.287941
134,0.265272
135,1.15165
136,1.79176
137,2.24162
138,3.66197
139,0.887808
140,0.610975
141,2.61065
142,0.256148
143,0.390862
144,0.651681
145,0.520951
146,0.357722
147,0.746097
148,0.872319
149,0.157867
150,2.55487
151,1.78158
152,1.86582
153,0.634385
154,1.44224
155,3.33342
156,1.61801
157,5.70304
158,1.99372
159,0.687908
160,0.833935
161,0.712411
162,0.46052
163,3.43838
164,0.422993
165,0.866667
166,0.960031
167,2.2646
168,1.49945
169,1.51195
170,1.9188
171,2.96536
172,0.704054
173,0.980287
174,0.290254
175,0.338917
176,0.157237
177,0.772827
178,1.64543
179,1.08712
180,1.6219
181,0.866321
182,1.33924
183,0.346802
184,0.325628
185,0.9249
186,0.517834
187,1.78104
188,0.183049
189,1.68624
190,0.640888
191,0.449015
192,0.504292
193,0.306052
194,0.528348
195,0.708716
196,0.29671
197,2.66499
198,1.39403
199,0.563099
200,4.82591
201,0.625315
202,0.238354
203,1.20828
204,0.762007
205,1.76951
206,2.0277
207,0.367144
208,0.249574
209,0.852655
210,2.16777
211,0.651681
212,4.6228
213,0.0868129
214,2.74286
215,0.711486
216,0.816523
217,0.29523
218,0.289964
219,0.894581
220,1.04835
221,0.46218
222,1.15974
223,2.16994
224,0.984423
225,1.09708
226,0.31632
227,0.202099
228,0.246844
229,1.02288
230,0.120152
231,0.280832
232,2.02891
233,0.401198
234,4.59055
235,3.3401
236,0.406041
237,4.29736
238,0.427629
239,0.509717
240,3.22522
241,0.115325
242,0.407995
243,0.754123
244,3.27396
245,0.399876
246,3.85357
247,3.45216
248,1.54326
249,2.24723
250,0.43483
