t,G,F1,F2,F3
1,0.003717,0.003846,null,null
2,0.0037,0.003709,null,null
3,0.003677,0.003702,null,null
4,0.00368,0.0037,null,null
5,0.003674,0.003704,null,null
6,0.003674,0.003707,null,null
7,0.003668,0.003701,null,null
8,0.003671,0.003709,null,null
9,0.00367,0.003723,null,null
10,0.003654,0.003722,null,null
11,0.003652,0.003726,null,null
12,0.00365,0.003737,null,null
13,0.003646,0.003738,null,null
14,0.003646,0.00374,null,null
15,0.003638,0.003742,null,null
16,0.003636,0.003745,null,null
17,0.003638,0.003744,null,null
18,0.003636,0.003751,null,null
19,0.003629,0.003749,null,null
20,0.003633,0.003749,null,null
