t,|deltaS|
1,0.5457
2,0.03793
3,0.1267
4,0.1321
5,0.1048
6,0.104
7,0.1075
8,0.1018
9,0.1195
10,0.1348
11,0.4154
12,0.3093
13,0.342
14,0.4796
15,0.3771
16,0.2958
17,0.3424
18,0.4193
19,0.3677
20,0.2722
21,0.5694
22,0.5634
23,0.2745
24,0.3997
25,0.588
26,0.605
27,0.5952
28,0.5556
29,0.4874
30,0.4402
31,1.076
32,0.4186
33,0.587
34,0.768
35,1.11
36,0.7896
37,0.892
38,0.1993
39,0.7869
40,0.8656
41,0.693
42,0.8171
43,0.9348
44,0.9168
45,0.6002
46,0.4388
47,0.872
48,0.6217
49,0.3007
50,0.4021
51,0.2461
52,1.746
53,0.623
54,1.11
55,1.004
56,0.3022
57,0.8345
58,1.222
59,0.6837
60,1.41
61,1.106
62,1.821
63,0.3452
64,0.6014
65,0.9738
66,0.9905
67,0.3515
68,0.02092
69,0.9172
70,1.273
71,0.7995
72,0.6764
73,0.6648
74,0.1852
75,1.277
76,0.1273
77,0.7443
78,0.6708
79,0.4029
80,0.3681
81,0.2237
82,0.0008659
83,0.3952
84,0.6119
85,0.228
86,0.5738
87,0.8558
88,0.8803
89,0.7194
90,0.6797
91,1.997
92,0.004811
93,0.6145
94,1.319
95,1.478
96,0.4889
97,0.3161
98,1.226
99,0.3621
100,0.2008
101,1.457
102,1.244
103,1.13
104,1.294
105,1.225
106,1.491
107,0.08732
108,0.3226
109,0.8688
110,0.4226
111,0.4934
112,0.6099
113,1.182
114,0.4238
115,0.6608
116,0.2275
117,0.1926
118,0.8052
119,0.3112
120,0.9401
121,0.4172
122,0.5132
123,0.4078
124,0.128
125,0.3346
126,0.04193
127,0.1169
128,1.085
129,0.6404
130,0.1567
131,1.52
132,0.8949
133,0.01395
134,0.5128
135,0.4423
136,0.004013
137,0.9173
138,0.1456
139,0.872
140,0.171
141,0.5154
142,1.057
143,1.611
144,0.4784
145,0.4134
146,0.965
147,0.5581
148,1.173
149,0.9096
150,0.6051
151,0.8193
152,0.7457
153,0.2432
154,0.8679
155,1.005
156,1.609
157,0.9216
158,0.76
159,1.181
160,0.9554
161,1.033
162,0.1767
163,0.2062
164,0.5877
165,1.095
166,0.8096
167,0.4602
168,1.246
169,0.1395
170,1.123
171,0.7284
172,0.4954
173,0.5262
174,1.205
175,1.651
176,0.06372
177,0.1602
178,2.149
179,0.9324
180,0.8905
181,0.623
182,0.05509
183,0.2633
184,0.2232
185,0.6532
186,0.9843
187,0.08324
188,0.4923
189,0.4473
190,0.3678
191,1.041
192,1.425
193,0.01774
194,1.088
195,1.18
196,0.5736
197,0.01836
198,1.199
199,2.107
200,0.8374
201,0.3429
202,0.6511
203,0.8078
204,0.5127
205,0.5971
206,2.368
207,0.3149
208,1.398
209,1.251
210,1.632
211,0.5654
212,0.6434
