MDTU,plaq,Re(det),Im(det),link
1,50.2023,3.2946e+09,1.45868e+08,1.24565
2,34.7178,2.68837e+08,1.30346e+07,1.00767
3,32.9267,1.87934e+08,9.45681e+06,0.977175
4,29.6029,9.38183e+07,4.94647e+06,0.917687
5,26.8607,4.91827e+07,2.68579e+06,0.867035
6,24.6993,2.80359e+07,1.59405e+06,0.825716
7,22.7703,1.67076e+07,984752,0.786345
8,21.0574,1.02726e+07,621987,0.749601
9,19.5704,6.392e+06,398417,0.717672
10,18.2891,4.24662e+06,271887,0.688026
11,17.1836,2.90001e+06,189305,0.662342
12,16.1672,2.01485e+06,134966,0.637756
13,15.1592,1.40922e+06,96595.3,0.611438
14,14.2347,988111,69097.1,0.587107
15,13.6372,754218,53500.1,0.572336
16,12.9127,551993,40081.7,0.552729
17,12.2821,424075,31147,0.53485
18,11.7273,324113,24208.1,0.519274
19,11.2157,249129,18978.5,0.504642
20,10.7559,194298,15038.5,0.491549
21,10.2863,151873,11921.7,0.477211
22,9.83006,121353,9644.33,0.462718
23,9.47338,97712,7903.12,0.452058
24,9.16895,80641.4,6592.51,0.44312
25,8.89409,67324.4,5592.23,0.434611
26,8.65067,55633.2,4654.86,0.427856
27,8.36278,46914.2,3981.17,0.41805
28,8.01065,38397.9,3298.92,0.405652
29,7.74209,32057.6,2782.67,0.396737
30,7.48525,26932.9,2371,0.387588
31,7.3193,23307.5,2050.77,0.382829
32,7.12488,20459.8,1815.2,0.375972
33,6.94024,17634.6,1588.61,0.369524
34,6.77254,15658.2,1416.85,0.363563
35,6.53513,13393.4,1227.12,0.35419
36,6.36598,11473.8,1061.08,0.348393
37,6.19956,10094,938.205,0.341921
38,6.11258,8944.21,840.625,0.339568
39,5.86974,7723.59,732.166,0.329375
40,5.74441,6689.27,640.413,0.325044
41,5.63938,5988.95,577.712,0.321238
42,5.52247,5387.48,522.523,0.316773
43,5.40213,4862.65,475.711,0.311946
44,5.31526,4322.37,425.96,0.309297
45,5.13967,3811.59,378.172,0.301502
46,5.05145,3430.86,340.466,0.298549
47,5.01021,3204.91,319.776,0.297184
48,4.88876,2859.66,288.33,0.291894
49,4.79224,2626.81,265.007,0.287907
50,4.69933,2488.97,251.541,0.283584
51,4.57383,2233.24,228.102,0.278074
52,4.50964,2005.17,206.179,0.275931
53,4.46132,1914.88,196.129,0.274118
54,4.35982,1718.21,176.547,0.269883
55,4.30773,1599.1,165.363,0.268133
56,4.23433,1467.15,153.125,0.264709
57,4.11406,1347.2,141.414,0.258805
58,4.04952,1268.28,133.592,0.256082
59,3.97511,1171.4,124.186,0.252458
60,3.87448,1083.84,114.802,0.247616
61,3.80349,996.358,106.07,0.244467
62,3.72181,932.473,99.0007,0.240509
63,3.66886,870.953,93.4959,0.23778
64,3.62242,814.354,87.9833,0.235849
65,3.57772,762.923,82.9304,0.233954
66,3.53462,726.732,79.1507,0.231739
67,3.4712,679.857,74.4873,0.228714
68,3.42724,635.788,69.5797,0.226857
69,3.33934,578.77,64.787,0.222006
70,3.31697,542.135,60.1009,0.221794
71,3.26203,510.593,56.5039,0.2192
72,3.25693,495.042,55.0296,0.219426
73,3.19514,463.461,51.7814,0.21606
74,3.15975,444.807,49.4582,0.214526
75,3.08895,399.23,44.9547,0.21118
76,3.05975,382.23,42.6314,0.210208
77,3.06156,378.67,42.6705,0.210429
78,2.9784,350.477,39.6326,0.205477
79,2.94734,331.299,37.6879,0.204008
80,2.93423,318.571,36.2334,0.203967
81,2.86677,295.787,33.7773,0.199926
82,2.84584,279.848,32.2344,0.198946
83,2.82322,267.045,30.7876,0.19815
84,2.79345,256.434,29.5778,0.196873
85,2.79031,245.844,28.4735,0.196947
86,2.78862,240.732,27.7334,0.197547
87,2.74584,228.97,26.345,0.195676
88,2.68218,218.547,25.2557,0.191666
89,2.70718,209.625,24.401,0.19367
90,2.65561,194.281,22.7866,0.190541
91,2.63561,186.162,21.8842,0.189958
92,2.5744,170.718,20.1078,0.186694
93,2.54293,165.375,19.3875,0.185059
