t,walltime
10,3104
20,1538
30,1028
40,796
50,743.6
60,667.3
70,648.6
80,658.1
90,595.4
100,474.2
110,491.5
120,488.6
130,505.2
140,485.8
150,445.6
160,434.9
170,437.3
180,437.2
190,434.6
200,432
210,411.9
220,414.1
230,416.3
240,413.6
250,413
260,460.7
270,463.4
280,468.1
290,467.8
300,460.8
310,439.9
320,440.6
330,439.5
340,439.2
350,440.9
360,439.9
370,441.8
380,441.9
390,436.6
400,439.8
410,403.6
420,404.2
430,418.3
440,422.2
450,423.8
460,422
470,407.2
480,420.8
490,418.3
500,421.4
510,416.3
520,418.8
530,432.4
540,429
550,424.5
560,431
570,442
580,438.9
590,430.3
600,423.1
610,441.1
620,443.7
630,448
640,437.8
650,439
660,432.3
670,433.1
680,435.8
690,431.2
700,423.8
710,442
720,440.2
730,437.9
740,437.3
750,429.5
760,440.5
770,437.5
780,437.4
790,440.2
800,434
810,438.2
820,439.4
830,442.5
840,440.1
850,433
860,436.7
870,434.5
880,438.8
890,447.9
900,447.5
910,390.7
920,394.8
930,390.8
940,385.1
950,385.5
960,387.2
970,387.6
980,388.4
990,391.2
1000,386.8
1010,407.7
1020,413.6
1030,412.9
1040,409.5
1050,403.6
1060,405.4
1070,405.7
1080,398.4
1090,396.1
1100,395.9
1110,422.8
1120,428.9
1130,422.6
1140,425.2
1150,437.5
1160,386.9
1170,394.3
1180,395.1
1190,395.2
1200,391.5
1210,386.1
1220,384.9
1230,388.1
1240,388.8
1250,386.6
1260,396.4
1270,394.4
1280,396.1
1290,387.1
1300,385.7
1310,388.8
1320,389.6
1330,389
1340,389.7
1350,389.5
1360,394.3
1370,398.1
1380,391.8
1390,392.6
1400,392.2
1410,395.5
1420,403.8
1430,411.5
1440,404.1
1450,404.1
1460,398.5
1470,398.2
1480,396.8
1490,401
1500,395.6
1510,434.1
1520,455.6
1530,451.7
1540,425.6
1550,435.7
1560,399.6
1570,401.6
1580,402
1590,398.2
1600,401.1
1610,372.8
1620,370.8
1630,372.1
1640,374.4
1650,376.3
1660,401.7
1670,402
1680,403.8
1690,398.6
1700,404.5
1710,565
1720,560.1
1730,546.2
1740,561.5
1750,568.3
1760,400.9
1770,401.8
1780,396
1790,398.7
1800,399.5
1810,407.2
1820,409.2
1830,407.2
1840,407.9
1850,403.2
1860,394.8
1870,394.7
1880,398.3
1890,395.5
1900,390.3
1910,396
1920,394.3
1930,395.8
1940,396.5
1950,398.2
1960,470.3
1970,501.5
1980,513.5
1990,513.1
2000,544.8
2010,383.2
2020,385.5
2030,384.8
2040,382.6
2050,391.2
2060,373.6
2070,379.7
2080,371.5
2090,371.4
2100,367.7
2110,426.9
2120,434.3
2130,436.7
2140,436.7
2150,435.5
2160,392.7
2170,394.8
2180,396.1
2190,395.4
2200,393.4
2210,393.9
2220,391.7
2230,397.3
2240,392
2250,385.4
2260,389
2270,393.1
2280,395.3
2290,394.7
2300,394.5
2310,394.7
2320,392.9
2330,391.9
2340,395.3
2350,392.7
2360,430.1
2370,427.8
2380,422.4
2390,423.4
2400,421.8
2410,369.3
2420,374.3
2430,373.6
2440,376.4
2450,373.9
2460,373.1
2470,372.1
2480,367.3
2490,374
2500,374.8
2510,375.1
2520,375.6
2530,370
2540,371.5
2550,370.1
2560,388.2
2570,390.3
2580,398.3
2590,389
2600,387.1
2610,361.6
2620,364.1
2630,388.4
2640,390.1
2650,385
2660,391
2670,393.1
2680,389.9
2690,396.3
2700,400
2710,393.6
2720,394.3
2730,393.7
2740,391.8
2750,389.7
2760,388
2770,387.4
2780,399.5
2790,397.2
2800,396.6
2810,362.1
2820,362.2
2830,361.9
2840,360.7
2850,362.3
2860,384.1
2870,385.4
2880,382.9
2890,383.2
2900,384.3
2910,400.1
2920,393.1
2930,393.1
2940,398.5
2950,433.4
2960,391.3
2970,394.6
2980,395.5
2990,401.6
3000,394.8
3010,394.7
3020,400.2
3030,399.3
3040,401.1
3050,401.1
3060,401.5
3070,396
3080,396
3090,396.2
3100,399.8
3110,399.1
3120,398.8
3130,398.7
3140,403
3150,401.1
3160,385.2
3170,389.9
3180,391.3
3190,394.1
3200,402.1
3210,377.6
3220,377.4
3230,378.7
3240,378.5
3250,373.8
3260,390.3
3270,393.2
3280,394.8
3290,393.6
3300,391.5
3310,399.6
3320,402.8
3330,403.9
3340,402.5
3350,396.1
3360,398.3
3370,401.8
3380,405.5
3390,401.3
3400,393.6
3410,369.7
3420,369
3430,366.2
3440,363.2
3450,371.2
3460,374
3470,375.3
3480,372.1
3490,370.3
3500,370.8
3510,370.6
3520,368.5
3530,369.7
3540,369.3
3550,371.2
3560,369.2
3570,368.8
3580,374.4
3590,395.6
3600,375.2
3610,375.4
3620,379.2
3630,375.9
3640,380.1
3650,379.1
3660,414.5
3670,418.9
3680,423.6
3690,422.3
3700,420
3710,421.2
3720,417.9
3730,415.5
3740,418.3
3750,419.3
3760,419.7
3770,420.4
3780,420.7
3790,421.6
3800,418.6
3810,416.2
3820,416.1
3830,414.5
3840,411
3850,415.9
3860,399.7
3870,405.6
3880,409.7
3890,411
3900,412.4
3910,414
3920,412.7
3930,409.2
3940,413
3950,414.4
3960,412.3
3970,416
3980,412.1
3990,409.5
4000,410
4010,408.7
4020,407.7
4030,410.8
4040,409.3
4050,401.7
4060,403.7
4070,405.9
4080,405.5
