MDTU,0,2,4,6,8,10
10,19.2354,19.2276,19.2224,19.2157,19.2126,19.2084
20,18.8449,18.8365,18.8321,18.8276,18.8247,18.8191
30,18.4975,18.4869,18.4851,18.4815,18.4795,18.4775
40,18.5163,18.5073,18.5036,18.4982,18.4957,18.4914
50,18.3703,18.3629,18.3596,18.3575,18.3535,18.3521
60,18.1479,18.1365,18.1349,18.133,18.1304,18.1281
70,18.1135,18.1033,18.1015,18.0935,18.0916,18.0859
80,18.0588,18.0483,18.0449,18.0421,18.0368,18.0344
90,18.008,17.9968,17.9919,17.99,17.987,17.9851
100,17.8271,17.8156,17.8145,17.811,17.8095,17.8087
110,17.8545,17.8441,17.8428,17.8388,17.8362,17.8346
120,17.7476,17.7354,17.7314,17.728,17.7227,17.7168
130,17.6874,17.6771,17.6728,17.6717,17.6687,17.6655
140,17.7052,17.6949,17.6929,17.6893,17.6868,17.6831
150,17.7186,17.7102,17.7079,17.7056,17.7027,17.7004
160,17.6311,17.6181,17.6175,17.6154,17.6119,17.609
170,17.7217,17.7127,17.7104,17.7072,17.7042,17.701
180,17.4954,17.4842,17.4821,17.4796,17.4775,17.4749
190,17.6228,17.6205,17.6123,17.6115,17.6081,17.604
200,17.5608,17.5508,17.5493,17.5411,17.5375,17.5315
