t,G,F1,F2,F3
1,0.001456,0.001653,null,null
2,0.001456,0.001653,null,null
3,0.001447,0.001587,null,null
4,0.001446,0.001586,null,null
5,0.001446,0.001587,null,null
6,0.001444,0.001587,null,null
7,0.001444,0.001589,null,null
8,0.001442,0.001589,null,null
9,0.001443,0.00159,null,null
10,0.001442,0.001589,null,null
11,0.001442,0.001592,null,null
12,0.001441,0.001593,null,null
13,0.001438,0.001593,null,null
14,0.001439,0.001593,null,null
15,0.00144,0.001593,null,null
16,0.001438,0.001596,null,null
17,0.001438,0.001597,null,null
18,0.001436,0.001597,null,null
19,0.001436,0.001597,null,null
20,0.001436,0.001599,null,null
21,0.00287,0.003198,null,null
22,0.002868,0.003199,null,null
23,0.002867,0.0032,null,null
24,0.002867,0.003201,null,null
25,0.002867,0.003204,null,null
26,0.002864,0.003206,null,null
27,0.002862,0.003207,null,null
28,0.002861,0.003205,null,null
29,0.002862,0.003206,null,null
30,0.00286,0.003207,null,null
31,0.002862,0.003207,null,null
32,0.002862,0.003209,null,null
33,0.002862,0.003208,null,null
34,0.002861,0.003208,null,null
35,0.002859,0.00321,null,null
36,0.002859,0.003211,null,null
37,0.002857,0.003215,null,null
38,0.002854,0.003217,null,null
39,0.002852,0.003217,null,null
40,0.002852,0.003217,null,null
41,0.005417,0.006117,null,null
42,0.005415,0.006126,null,null
43,0.005407,0.006126,null,null
44,0.005409,0.006128,null,null
45,0.005404,0.00613,null,null
46,0.005405,0.006137,null,null
47,0.005399,0.006139,null,null
48,0.005401,0.006139,null,null
49,0.005396,0.006142,null,null
50,0.005396,0.006142,null,null
51,0.005399,0.006143,null,null
52,0.005395,0.00614,null,null
53,0.005399,0.006141,null,null
54,0.005396,0.006151,null,null
55,0.005389,0.006153,null,null
56,0.005384,0.006154,null,null
57,0.005383,0.006159,null,null
58,0.005385,0.006157,null,null
59,0.005383,0.006157,null,null
60,0.005384,0.006161,null,null
61,0.005384,0.006156,null,null
62,0.005383,0.006161,null,null
63,0.005385,0.006158,null,null
64,0.005381,0.006165,null,null
65,0.005379,0.006162,null,null
66,0.005376,0.006169,null,null
67,0.005373,0.006168,null,null
68,0.005373,0.006172,null,null
69,0.005377,0.006175,null,null
70,0.005369,0.00618,null,null
71,0.005365,0.006177,null,null
72,0.005368,0.006177,null,null
73,0.005364,0.006179,null,null
74,0.005363,0.006187,null,null
75,0.005355,0.006184,null,null
76,0.005356,0.006186,null,null
77,0.005356,0.006187,null,null
78,0.005356,0.006193,null,null
79,0.005357,0.006191,null,null
80,0.005357,0.006187,null,null
81,0.005361,0.006187,null,null
82,0.005357,0.00619,null,null
83,0.005354,0.006189,null,null
84,0.005354,0.006191,null,null
