ReTr(L*),ImTr(Lx),ImTr(Ly),ImTr(Lz),ImTr(L5)
0.995313,0.0209766,null,null,null
-0.367809,null,-0.0161045,null,null
-0.0377738,null,null,0.00272234,null
-0.000912524,null,null,null,0.000131339
0.995354,0.0188655,null,null,null
-0.373721,null,-0.0246215,null,null
-0.0252542,null,null,0.0118975,null
-0.0030719,null,null,null,0.00379164
0.995324,0.0194275,null,null,null
-0.406025,null,-0.00803113,null,null
-0.0110589,null,null,0.0253342,null
-0.000320127,null,null,null,0.00057791
0.995291,0.0206384,null,null,null
-0.430016,null,0.0004891,null,null
-0.0070034,null,null,0.0309329,null
0.00236909,null,null,null,0.00539775
0.995308,0.0191983,null,null,null
-0.429768,null,-0.0122366,null,null
0.00368442,null,null,0.025098,null
-0.00028204,null,null,null,0.00299664
0.995278,0.0220048,null,null,null
-0.379514,null,-0.022453,null,null
-0.0323984,null,null,-0.00381759,null
-0.000485507,null,null,null,0.00139071
0.995208,0.023456,null,null,null
-0.329939,null,-0.01597,null,null
-0.00330091,null,null,-0.00223579,null
0.00354834,null,null,null,0.00406514
0.995315,0.0185964,null,null,null
-0.378019,null,-0.0136776,null,null
0.0311309,null,null,0.00583344,null
-0.00152841,null,null,null,0.00423256
0.99527,0.0181959,null,null,null
-0.378673,null,0.0546559,null,null
-0.00658871,null,null,0.0201815,null
-0.000999715,null,null,null,0.00168699
0.99531,0.0160109,null,null,null
-0.402699,null,0.0315275,null,null
-0.0836771,null,null,0.0638041,null
-0.00146469,null,null,null,-0.00101266
0.99529,0.017838,null,null,null
-0.361932,null,-0.00599646,null,null
-0.0223769,null,null,0.1032,null
0.000215652,null,null,null,-0.00188334
0.995295,0.0159378,null,null,null
-0.353371,null,0.0280376,null,null
-0.0534922,null,null,0.0651775,null
0.00211035,null,null,null,-0.00309726
0.995344,0.0158696,null,null,null
-0.357051,null,0.0412166,null,null
-0.0307054,null,null,0.108218,null
-0.00166482,null,null,null,-0.00260715
0.99545,0.013569,null,null,null
-0.32966,null,0.0401556,null,null
-0.0219539,null,null,0.103953,null
0.0016419,null,null,null,-0.00385259
0.99546,0.0113881,null,null,null
-0.372686,null,0.10581,null,null
-0.049286,null,null,0.115318,null
0.00052964,null,null,null,-0.00221034
0.995422,0.0116758,null,null,null
-0.376628,null,0.0593104,null,null
-0.112245,null,null,0.0426211,null
-0.0019487,null,null,null,-0.000971663
0.995352,0.0115634,null,null,null
-0.397629,null,0.038966,null,null
-0.00269169,null,null,0.0527535,null
0.00137059,null,null,null,-0.000416568
0.995398,0.0122102,null,null,null
-0.379609,null,0.0583399,null,null
0.00695075,null,null,0.0524519,null
-0.00332731,null,null,null,-0.000437809
0.99533,0.0131854,null,null,null
-0.321676,null,0.0484433,null,null
0.0441015,null,null,0.0467661,null
-0.00305236,null,null,null,-0.000540404
0.995402,0.0102489,null,null,null
-0.335062,null,-0.0181039,null,null
-0.00789526,null,null,-0.000532259,null
-0.00105227,null,null,null,0.000557523
