ReTr(L),ImTr(L)
0.666054,0.592291
0.750044,0.614745
0.765346,0.627973
0.765346,0.627973
0.760718,0.642842
0.802399,0.64434
0.877308,0.627323
0.868058,0.661716
0.835432,0.695573
0.825678,0.769328
0.850361,0.772909
0.830416,0.770683
0.822921,0.761849
0.810207,0.833466
0.846391,0.802098
0.869703,0.865312
0.842541,0.860669
0.896532,0.877541
0.846042,0.854218
0.87865,0.809727
0.871166,0.8561
0.867002,0.8036
0.867002,0.8036
0.867002,0.8036
0.907175,0.799467
0.907175,0.799467
0.907175,0.799467
0.907175,0.799467
0.907175,0.799467
0.981291,0.831792
1.04511,0.864188
0.984259,0.8401
1.02674,0.86439
1.02674,0.86439
1.02674,0.86439
1.00321,0.887861
1.00321,0.887861
0.97615,0.904936
0.97615,0.904936
1.04134,0.866376
1.07021,0.835641
1.07021,0.835641
1.07021,0.835641
1.05307,0.90116
1.04389,0.885538
1.04389,0.885538
0.987027,0.894593
0.987027,0.894593
1.02135,0.851872
1.02711,0.895777
0.981697,0.866428
0.981697,0.866428
0.962077,0.926846
0.947902,0.960052
0.968249,0.944126
0.986376,0.910557
1.00931,0.894991
1.00931,0.894991
1.01728,0.893793
1.0278,0.857857
1.0278,0.857857
1.0278,0.857857
1.09647,0.853701
1.10049,0.876683
1.05385,0.973118
1.17351,0.942995
1.21885,0.910006
1.21447,0.912572
1.17777,0.882097
1.17777,0.882097
1.17574,0.889107
1.17574,0.889107
1.17574,0.889107
1.1119,0.827537
1.16411,0.862633
1.15212,0.850976
1.1585,0.867166
1.13643,0.910561
1.12118,0.910132
1.17601,0.900364
1.17601,0.900364
1.1993,0.928171
1.21717,0.945727
1.21891,0.958292
1.1622,0.980767
1.10327,0.997649
1.10327,0.997649
1.14294,0.967493
1.09151,1.01731
1.09151,1.01731
1.09151,1.01731
1.16033,0.985206
1.16213,0.903461
1.20695,0.887715
1.23268,0.862408
1.2056,0.888166
1.21068,0.893027
1.21068,0.893027
1.21068,0.893027
1.21801,0.876554
1.24227,0.937243
1.2028,0.950513
1.14192,0.939424
1.14192,0.939424
1.14192,0.939424
1.14192,0.939424
1.06686,1.03718
1.06686,1.03718
1.05164,0.981112
1.09106,0.919495
1.06123,0.893312
1.06123,0.893312
1.07909,0.893551
1.13719,0.927066
1.13719,0.927066
1.13719,0.927066
1.13719,0.927066
1.13719,0.927066
1.15495,0.97366
1.07883,0.983524
1.04474,0.976883
1.01593,0.990653
1.04796,1.06777
1.01596,1.07124
0.992652,1.02973
0.992652,1.02973
1.01412,1.08376
1.0289,1.10906
0.994798,1.11764
1.00597,1.10952
0.957216,1.11604
0.974111,1.10567
0.974111,1.10567
0.974111,1.10567
0.932489,1.10072
0.920115,1.11828
0.922073,1.13535
0.886004,1.08799
0.861371,1.08258
0.856954,1.12012
0.856954,1.12012
0.88746,1.05881
0.881507,1.09128
0.875764,1.14197
0.934397,1.1107
0.998539,1.1297
1.04022,1.05906
1.04022,1.05906
0.996447,1.02322
0.996447,1.02322
1.1084,1.01007
1.05577,1.02837
1.09299,1.05973
1.09299,1.05973
1.10334,1.04056
1.08895,0.98679
1.12315,0.990405
1.17946,1.03407
1.17946,1.03407
1.17946,1.03407
1.21612,1.00293
1.17882,0.961549
1.17882,0.961549
1.17882,0.961549
1.20407,0.98188
1.18197,0.972705
1.14119,0.95781
1.14119,0.95781
1.14267,0.925741
1.21056,0.906615
1.21056,0.906615
1.16658,0.894344
1.2103,0.887598
1.23262,0.858835
1.21583,0.930508
1.21883,0.953162
1.1609,0.920367
1.1709,0.969402
1.1709,0.969402
1.12161,0.951034
1.12161,0.951034
1.12161,0.951034
1.09019,0.893254
1.0906,0.899775
1.06343,0.873699
1.08607,0.874851
1.14683,0.85826
1.1224,0.85889
1.14652,0.866016
1.11797,0.913022
1.11797,0.913022
1.09279,0.92242
1.14319,0.946294
1.14319,0.946294
1.15678,0.955001
1.17199,0.947502
1.16632,0.932729
1.12334,0.954914
1.1547,0.98627
1.11324,0.950866
1.11324,0.950866
1.11324,0.950866
1.12568,0.96177
1.13058,0.98511
1.14136,0.972743
1.15613,0.936326
1.15613,0.936326
1.21928,0.95532
1.2484,0.935497
1.2585,0.940153
1.2102,0.985265
1.14033,1.00805
1.14033,1.00805
1.0983,1.05024
1.10717,1.079
1.1236,1.06846
1.13217,1.07846
1.15448,1.07435
1.06035,1.13073
1.02245,1.19963
1.02245,1.19963
1.00524,1.17327
0.99458,1.20865
0.99458,1.20865
0.999617,1.16396
0.975086,1.15395
0.952936,1.23407
0.952936,1.23407
0.952936,1.23407
0.952936,1.23407
0.847692,1.22204
0.809976,1.26655
0.809976,1.26655
0.846183,1.26456
0.760957,1.24137
0.733533,1.28369
0.7777,1.28381
0.72038,1.33264
0.72038,1.33264
0.718049,1.33474
0.624676,1.37957
0.69695,1.33543
0.69695,1.33543
0.740926,1.30002
0.740926,1.30002
0.740926,1.30002
0.707761,1.323
0.760747,1.37437
0.651882,1.37242
0.668695,1.37474
0.66092,1.40323
0.66092,1.40323
0.632425,1.42602
0.581126,1.3691
0.531081,1.40525
0.460489,1.4239
0.433239,1.36712
0.433239,1.36712
0.446162,1.41193
0.474167,1.39824
0.460945,1.42562
0.408328,1.4248
0.408235,1.45517
0.476178,1.4359
0.471463,1.38792
0.459195,1.43462
0.469919,1.45675
0.476368,1.49811
0.476368,1.49811
0.440854,1.5389
0.471831,1.5007
0.425711,1.51772
0.407783,1.53939
0.458508,1.57748
0.348483,1.59869
0.294627,1.61775
0.320202,1.71579
0.360194,1.74573
0.394329,1.65872
0.406531,1.63133
0.406531,1.63133
0.406531,1.63133
0.419792,1.68417
0.474988,1.62496
0.474988,1.62496
0.476757,1.62953
0.476757,1.62953
0.510605,1.62435
0.619818,1.574
0.636376,1.57142
0.636376,1.57142
0.667048,1.54825
0.667048,1.54825
0.653887,1.56455
0.696684,1.54081
0.657492,1.53008
0.657492,1.53008
0.657492,1.53008
0.585465,1.51598
0.502651,1.56591
0.503438,1.54889
0.525199,1.56709
0.525199,1.56709
