t,eps_f,eps_g
10,0.0125,0.00104167
20,0.0125,0.00104167
30,0.0277778,0.00231481
40,0.0277778,0.00231481
50,0.0277778,0.00231481
60,0.0277778,0.00231481
70,0.0277778,0.00231481
80,0.0277778,0.00231481
90,0.0277778,0.00231481
100,0.0277778,0.00231481
110,0.0277778,0.00231481
120,0.0277778,0.00231481
130,0.0277778,0.00231481
140,0.0277778,0.00231481
150,0.0277778,0.00231481
160,0.0277778,0.00231481
170,0.0277778,0.00231481
180,0.0277778,0.00231481
190,0.0277778,0.00231481
200,0.0277778,0.00231481
210,0.0277778,0.00231481
220,0.0277778,0.00231481
230,0.0277778,0.00231481
240,0.0277778,0.00231481
250,0.0277778,0.00231481
260,0.0277778,0.00231481
270,0.0277778,0.00231481
280,0.0277778,0.00231481
290,0.0277778,0.00231481
300,0.0277778,0.00231481
310,0.0277778,0.00231481
320,0.0277778,0.00231481
330,0.0277778,0.00231481
340,0.0277778,0.00231481
350,0.0277778,0.00231481
360,0.0277778,0.00231481
370,0.0277778,0.00231481
380,0.0277778,0.00231481
390,0.0277778,0.00231481
400,0.0277778,0.00231481
410,0.0277778,0.00231481
420,0.0277778,0.00231481
430,0.0277778,0.00231481
440,0.0277778,0.00231481
450,0.0277778,0.00231481
460,0.0277778,0.00231481
470,0.0277778,0.00231481
480,0.0277778,0.00231481
490,0.0277778,0.00231481
500,0.0277778,0.00231481
510,0.0277778,0.00231481
520,0.0277778,0.00231481
530,0.0277778,0.00231481
540,0.0277778,0.00231481
550,0.0277778,0.00231481
560,0.0277778,0.00231481
570,0.0277778,0.00231481
580,0.0277778,0.00231481
590,0.0277778,0.00231481
600,0.0277778,0.00231481
610,0.0277778,0.00231481
620,0.0277778,0.00231481
630,0.0277778,0.00231481
640,0.0277778,0.00231481
650,0.0277778,0.00231481
660,0.0277778,0.00231481
670,0.0277778,0.00231481
680,0.0277778,0.00231481
690,0.0277778,0.00231481
700,0.0277778,0.00231481
710,0.0277778,0.00231481
720,0.0277778,0.00231481
730,0.0277778,0.00231481
740,0.0277778,0.00231481
750,0.0277778,0.00231481
760,0.0277778,0.00231481
770,0.0277778,0.00231481
780,0.0277778,0.00231481
790,0.0277778,0.00231481
800,0.0277778,0.00231481
810,0.0277778,0.00231481
820,0.0277778,0.00231481
830,0.0277778,0.00231481
840,0.0277778,0.00231481
850,0.0277778,0.00231481
860,0.0277778,0.00231481
870,0.0277778,0.00231481
880,0.0277778,0.00231481
890,0.0277778,0.00231481
900,0.0277778,0.00231481
910,0.0277778,0.00231481
920,0.0277778,0.00231481
930,0.0277778,0.00231481
940,0.0277778,0.00231481
