t,e^(-dS)
456,0.574072
457,0.759344
458,3.39058
459,2.46625
460,0.121238
461,2.18344
462,2.92706
463,0.339256
464,0.292878
465,0.704125
466,0.621947
467,0.860622
468,2.06287
469,0.579552
470,1.30722
471,0.465613
472,0.100259
473,0.455527
474,1.36097
475,1.60801
476,0.257689
477,1.30852
478,0.508698
479,1.3371
480,0.599775
481,0.615513
482,0.143848
483,0.397047
484,2.39312
485,0.403008
486,0.71541
487,0.809046
488,3.31348
489,1.9077
490,3.59664
491,0.697816
492,0.166793
493,0.514119
494,0.0650239
495,0.564113
496,0.252082
497,0.270901
498,0.266069
499,1.22262
500,0.693642
501,0.699703
502,1.03493
503,0.385467
504,0.238592
505,0.780828
506,1.46053
507,0.590964
508,0.586666
509,3.27069
510,0.590846
511,0.548702
512,2.49503
513,1.19244
514,0.998459
515,0.814973
516,3.43151
517,1.1086
518,0.125682
519,0.374411
520,0.850101
521,0.257432
522,0.248578
523,1.278
524,0.5498
525,5.84742
526,1.2743
527,3.1772
528,1.29111
529,0.416779
530,0.349938
531,0.527345
532,0.295526
533,1.24608
534,2.41452
535,0.461672
536,0.771514
537,1.238
538,0.900415
539,0.674624
540,1.19542
541,0.221131
542,0.885237
543,0.690527
544,1.36656
545,2.22732
546,1.52806
547,0.347497
548,0.461349
549,1.13758
550,0.231541
551,0.518819
552,0.256918
553,0.409753
554,0.523248
555,0.167127
556,2.72918
557,0.709567
558,0.483164
559,0.37878
560,0.471328
561,0.238592
562,1.07435
563,0.530678
564,0.727676
565,0.355226
566,0.396888
567,1.10347
568,0.429214
569,0.200288
570,1.2743
571,1.39125
572,2.49902
573,0.204334
574,0.844256
575,0.513451
576,0.454526
577,1.00438
578,2.07301
579,0.389302
580,0.767897
581,1.02942
582,0.514943
583,0.445081
584,2.26642
585,0.870141
586,0.0550783
587,0.629581
588,0.101774
589,0.728695
590,1.16044
591,0.695795
592,6.65255
593,0.183416
594,0.601638
595,0.411272
596,0.44888
597,0.418407
598,1.47094
599,0.820452
600,0.846284
601,0.769357
602,6.36618
603,0.724119
604,0.676651
605,1.22079
606,0.19282
607,4.45934
608,1.19411
609,1.77855
610,0.778489
611,0.264477
612,1.24446
613,0.404663
614,0.428185
615,1.34622
616,1.26504
617,0.297007
618,1.5118
619,0.593155
620,0.63337
621,0.969563
622,1.21288
623,0.299992
624,0.629644
625,0.96078
626,0.6967
627,0.23551
628,1.16358
629,0.965576
630,2.38429
631,2.20891
632,1.49945
633,1.30265
634,0.422148
635,0.211401
636,0.337564
637,3.74717
638,0.862862
639,0.633814
640,2.36813
641,0.623816
642,0.163491
643,0.153355
644,0.877393
645,0.173948
646,1.7179
647,0.309747
648,0.278037
649,1.68152
650,0.34889
651,0.746993
652,0.667444
653,1.13769
654,0.279711
655,0.734768
656,0.0900851
657,1.29085
658,0.218712
659,0.218493
660,1.33991
661,1.00127
662,0.8424
663,0.693364
664,0.333204
665,0.633814
666,2.13999
667,1.36875
668,0.426262
669,0.18452
670,1.9121
671,0.513349
672,0.337227
673,0.819878
674,0.19398
675,0.678684
676,1.10337
677,2.08111
678,0.671595
679,1.93015
680,0.199888
681,0.297601
682,0.914498
683,0.160093
684,0.706099
685,0.96101
686,0.207008
687,0.320139
688,0.658494
689,1.10628
690,0.952991
