t,file
1,0-10
2,0-10
3,0-10
4,0-10
5,0-10
6,0-10
7,0-10
8,0-10
9,0-10
10,0-10
11,10-20
12,10-20
13,10-20
14,10-20
15,10-20
16,10-20
17,10-20
18,10-20
19,10-20
20,10-20
21,20-30
22,20-30
23,20-30
24,20-30
25,20-30
26,20-30
27,20-30
28,20-30
29,20-30
30,20-30
31,30-40
32,30-40
33,30-40
34,30-40
35,30-40
36,30-40
37,30-40
38,30-40
39,30-40
40,30-40
41,40-50
42,40-50
43,40-50
44,40-50
45,40-50
46,40-50
47,40-50
48,40-50
49,40-50
50,40-50
51,50-60
52,50-60
53,50-60
54,50-60
55,50-60
56,50-60
57,50-60
58,50-60
59,50-60
60,50-60
61,60-70
62,60-70
63,60-70
64,60-70
65,60-70
66,60-70
67,60-70
68,60-70
69,60-70
70,60-70
71,70-80
72,70-80
73,70-80
74,70-80
75,70-80
76,70-80
77,70-80
78,70-80
79,70-80
80,70-80
81,80-90
82,80-90
83,80-90
84,80-90
85,80-90
86,80-90
87,80-90
88,80-90
89,80-90
90,80-90
91,90-100
92,90-100
93,90-100
94,90-100
95,90-100
96,90-100
97,90-100
98,90-100
99,90-100
100,90-100
101,100-110
102,100-110
103,100-110
104,100-110
105,100-110
106,100-110
107,100-110
108,100-110
109,100-110
110,100-110
111,110-120
112,110-120
113,110-120
114,110-120
115,110-120
116,110-120
117,110-120
118,110-120
119,110-120
120,110-120
121,120-130
122,120-130
123,120-130
124,120-130
125,120-130
126,120-130
127,120-130
128,120-130
129,120-130
130,120-130
131,130-140
132,130-140
133,130-140
134,130-140
135,130-140
136,130-140
137,130-140
138,130-140
139,130-140
140,130-140
141,140-150
142,140-150
143,140-150
144,140-150
145,140-150
146,140-150
147,140-150
148,140-150
149,140-150
150,140-150
