t,walltime
10,1398
20,1419
30,727.1
40,444.8
50,384.2
60,393.5
70,384.3
80,385.5
90,379.7
100,379.1
110,375.9
120,379
130,377.8
140,383
150,381.1
160,362.8
170,366.3
180,366.4
190,364.7
200,364.7
210,1231
220,1288
230,1278
240,1231
250,1112
260,1235
270,1199
280,345.3
290,340.3
300,336.6
310,336.4
320,336.5
330,337.8
340,334.8
350,349.9
360,359
370,355
380,357.1
390,367.9
400,358.7
410,360.7
420,361.8
430,356.4
440,355.3
450,353.9
460,338.9
470,338.3
480,340.2
490,339.8
500,343.7
510,340.9
520,342.9
530,357.7
540,372.3
550,368.1
560,373.9
570,371
580,367.2
590,372.1
600,374.2
610,374.1
620,371.2
630,364.8
640,372.2
650,365.8
660,373.8
670,366.8
680,351.3
690,344.2
700,348.2
710,347.4
720,347.7
730,350.5
740,346.3
750,348.9
760,347.9
770,350.7
780,355.8
790,349.9
800,351
810,348
820,351.2
830,351.6
840,352.1
850,352.7
860,351.1
870,352.1
880,375.3
890,378
900,380.2
910,386.4
920,385.9
930,384.8
940,388.8
950,399.9
960,421.8
970,417.3
980,416.7
990,412.4
1000,385.5
1010,382.8
1020,382.5
1030,383
1040,383.1
1050,383.3
1060,385.4
1070,385.7
1080,385.7
1090,383.2
1100,391.1
1110,401.4
1120,397.8
1130,387.1
1140,387.8
1150,386.9
1160,387
1170,392.1
1180,397.7
1190,390.3
1200,382.4
1210,383.3
1220,379.3
1230,373.3
1240,367.9
1250,369.5
1260,368.7
1270,368.4
1280,370.2
1290,369.8
1300,370.4
1310,368.3
1320,366.5
1330,370.7
1340,368.6
1350,392
1360,392
1370,383.9
1380,383
1390,383.2
1400,383.7
1410,383.1
1420,379.7
1430,384.6
1440,389.2
1450,386.8
1460,390.1
1470,393
1480,390.3
1490,379.7
1500,381.2
1510,381.3
1520,381
1530,380.4
1540,382.3
1550,381.9
1560,379.4
1570,383.3
1580,383.6
1590,383.2
1600,374.5
1610,376.7
1620,379.2
1630,386.2
1640,383.2
1650,384.9
1660,388.5
1670,389.1
1680,408.4
1690,409.3
1700,412
1710,411.9
1720,414.5
1730,414
1740,414.8
1750,411.8
1760,397.1
1770,382.9
1780,399.6
1790,399.2
1800,408.5
1810,388.5
1820,388
1830,393.4
1840,408.2
1850,408
1860,409.3
1870,406.2
1880,410.8
1890,412.6
1900,411
1910,413.2
1920,404.1
