MDTU,plaq_ss,plaq_st
266,0.948372,1.05461
267,0.950374,1.05391
268,0.950374,1.05391
269,0.950374,1.05391
270,0.951901,1.05718
271,0.949802,1.06225
272,0.949802,1.06225
273,0.945991,1.05679
274,0.946389,1.05433
275,0.951915,1.0538
276,0.945151,1.0576
277,0.945151,1.0576
278,0.943344,1.06428
279,0.940603,1.06448
280,0.93964,1.06578
281,0.945036,1.06088
282,0.947965,1.06369
283,0.947965,1.06369
284,0.95031,1.05865
285,0.95031,1.05865
286,0.95031,1.05865
287,0.9404,1.05677
288,0.94612,1.06488
289,0.94612,1.06488
290,0.947795,1.06347
291,0.947795,1.06347
292,0.947795,1.06347
293,0.949048,1.06281
294,0.944729,1.06365
295,0.94983,1.06169
296,0.94797,1.05656
297,0.94797,1.05656
298,0.946155,1.05601
299,0.940244,1.05669
300,0.945543,1.05553
301,0.948674,1.06095
302,0.94821,1.0649
303,0.94821,1.0649
304,0.94821,1.0649
305,0.94821,1.0649
306,0.942785,1.06559
307,0.946916,1.05979
308,0.946916,1.05979
309,0.947648,1.05778
310,0.947648,1.05778
311,0.946285,1.05876
312,0.946285,1.05876
313,0.94651,1.05883
314,0.945841,1.06318
315,0.948562,1.05835
316,0.949865,1.05325
317,0.949865,1.05325
318,0.950901,1.04855
319,0.952773,1.05353
320,0.949741,1.05215
321,0.95157,1.05342
322,0.95157,1.05342
323,0.944389,1.05648
324,0.944389,1.05648
325,0.944389,1.05648
326,0.943061,1.05935
327,0.943061,1.05935
328,0.943061,1.05935
329,0.941469,1.05629
330,0.941469,1.05629
331,0.937557,1.05142
332,0.940066,1.05453
333,0.940066,1.05453
334,0.940209,1.05425
335,0.942037,1.05719
336,0.939174,1.05975
337,0.938617,1.05713
338,0.940463,1.05226
339,0.93965,1.05896
340,0.944162,1.05324
341,0.940841,1.05679
342,0.936824,1.05489
343,0.942021,1.05794
344,0.942021,1.05794
345,0.942021,1.05794
346,0.944558,1.05843
347,0.940861,1.059
348,0.947736,1.05562
349,0.950527,1.05734
350,0.951612,1.059
351,0.951612,1.059
352,0.948819,1.06181
353,0.948819,1.06181
354,0.951001,1.06661
355,0.951001,1.06661
356,0.952828,1.0611
357,0.945954,1.06477
358,0.948881,1.06643
359,0.952356,1.06496
360,0.952151,1.06591
361,0.952151,1.06591
362,0.959706,1.06884
363,0.959769,1.06555
364,0.962374,1.07163
365,0.96393,1.06697
366,0.96393,1.06697
367,0.964423,1.06742
368,0.966186,1.06152
369,0.965534,1.05958
370,0.971017,1.05653
371,0.9648,1.06263
372,0.9648,1.06263
373,0.959732,1.0631
374,0.95501,1.05915
375,0.956667,1.06757
376,0.953514,1.06687
377,0.953514,1.06687
378,0.955532,1.0603
379,0.953328,1.06527
380,0.953881,1.06506
381,0.947189,1.06238
382,0.947171,1.05253
383,0.951354,1.05217
384,0.951354,1.05217
385,0.951354,1.05217
386,0.951354,1.05217
387,0.953383,1.05587
388,0.955307,1.05395
389,0.956228,1.04767
390,0.956228,1.04767
391,0.954965,1.04881
392,0.952694,1.04663
393,0.949819,1.04564
394,0.949819,1.04564
395,0.952821,1.04518
396,0.952821,1.04518
397,0.952821,1.04518
398,0.952821,1.04518
399,0.950962,1.04725
400,0.946927,1.04638
401,0.946927,1.04638
402,0.946927,1.04638
403,0.946927,1.04638
404,0.946927,1.04638
405,0.952619,1.04794
406,0.951224,1.04752
407,0.956751,1.04576
408,0.948882,1.04291
409,0.954092,1.0459
410,0.952217,1.04324
411,0.953024,1.0516
412,0.95373,1.054
413,0.95373,1.054
414,0.95373,1.054
415,0.95373,1.054
416,0.95373,1.054
417,0.951468,1.0531
418,0.949996,1.05088
419,0.952577,1.05475
420,0.952808,1.0532
421,0.952808,1.0532
422,0.951404,1.05481
423,0.955821,1.05238
424,0.955821,1.05238
425,0.955821,1.05238
426,0.950731,1.0528
427,0.950731,1.0528
428,0.950731,1.0528
429,0.951784,1.04981
430,0.951784,1.04981
431,0.948117,1.05496
432,0.948893,1.05018
433,0.948893,1.05018
434,0.948893,1.05018
435,0.947829,1.05296
436,0.948179,1.05048
437,0.948179,1.05048
438,0.948179,1.05048
439,0.948179,1.05048
440,0.950423,1.05288
