MDTU,S_F
320,1.01895e-05
321,1.02922e-05
322,1.03337e-05
323,1.03337e-05
324,1.04124e-05
325,1.04124e-05
326,1.04125e-05
327,1.03933e-05
328,1.05263e-05
329,1.05255e-05
330,1.03975e-05
331,1.03975e-05
332,1.03975e-05
333,1.03975e-05
334,1.03975e-05
335,1.03227e-05
336,1.04352e-05
337,1.03514e-05
338,1.02282e-05
339,1.02282e-05
340,1.02021e-05
341,1.02021e-05
342,1.03462e-05
343,1.03462e-05
344,1.04045e-05
345,1.0405e-05
346,1.03663e-05
347,1.03065e-05
348,1.01878e-05
349,1.03157e-05
350,1.03157e-05
351,1.02773e-05
352,1.02331e-05
353,1.02012e-05
354,1.02012e-05
355,1.01943e-05
356,1.01143e-05
357,1.00164e-05
358,9.98867e-06
359,9.98312e-06
360,9.98312e-06
361,9.95926e-06
362,1.00337e-05
363,9.92317e-06
364,9.92317e-06
365,9.88613e-06
366,9.88613e-06
367,9.90102e-06
368,9.89441e-06
369,9.86557e-06
370,9.84573e-06
371,9.97676e-06
372,9.97494e-06
373,9.91883e-06
374,9.8334e-06
375,9.86452e-06
376,1.00028e-05
377,1.00028e-05
378,1.00028e-05
379,1.00336e-05
380,1.01076e-05
381,1.01554e-05
382,1.02251e-05
383,1.01629e-05
384,1.01629e-05
385,1.01537e-05
386,1.01537e-05
387,1.01548e-05
388,1.0116e-05
389,1.01986e-05
390,1.0197e-05
391,1.0197e-05
392,1.01839e-05
393,1.01292e-05
394,1.01292e-05
395,1.01819e-05
396,1.00695e-05
397,1.00715e-05
398,1.00715e-05
399,1.02255e-05
400,1.00937e-05
401,1.00445e-05
402,1.00056e-05
403,1.00772e-05
404,1.00552e-05
405,1.00552e-05
406,1.00552e-05
407,1.00072e-05
408,1.00072e-05
409,1.01003e-05
410,9.93333e-06
411,9.92974e-06
412,9.92974e-06
413,9.98693e-06
414,9.98693e-06
415,9.93818e-06
416,9.91612e-06
417,9.91612e-06
418,9.94172e-06
419,9.94172e-06
420,9.94172e-06
421,9.94172e-06
422,9.83999e-06
423,9.76588e-06
424,9.91617e-06
425,9.91617e-06
426,9.77991e-06
427,9.93213e-06
428,1.00491e-05
429,1.00491e-05
430,1.01346e-05
431,1.0051e-05
432,1.0051e-05
433,1.0051e-05
434,1.00474e-05
435,9.97017e-06
436,1.00232e-05
437,9.94577e-06
438,9.99923e-06
439,9.99923e-06
440,9.98062e-06
441,9.98062e-06
442,1.00185e-05
443,1.00407e-05
444,9.98216e-06
445,9.96011e-06
446,9.96523e-06
447,1.00428e-05
448,9.77329e-06
449,9.88395e-06
450,9.78108e-06
451,9.79602e-06
452,9.64783e-06
453,9.6687e-06
454,9.65531e-06
455,9.77047e-06
456,9.75055e-06
457,9.91903e-06
458,9.83875e-06
459,9.83875e-06
460,9.83875e-06
461,9.66252e-06
462,9.66735e-06
463,9.69062e-06
464,9.67954e-06
465,9.67954e-06
466,9.77471e-06
467,9.77471e-06
468,9.72867e-06
469,9.7513e-06
470,9.80809e-06
471,9.73488e-06
472,9.79039e-06
473,9.79039e-06
474,9.76621e-06
475,9.76621e-06
476,9.69367e-06
477,9.69367e-06
478,9.69367e-06
479,9.69367e-06
480,9.73118e-06
481,9.73411e-06
482,9.71866e-06
483,9.74044e-06
484,9.75983e-06
485,9.70098e-06
486,9.69347e-06
487,9.7377e-06
488,9.7765e-06
489,9.7765e-06
490,9.7765e-06
491,9.71854e-06
492,9.71854e-06
493,9.65197e-06
494,9.64846e-06
495,9.77254e-06
496,9.77108e-06
497,9.78934e-06
498,9.76701e-06
499,9.77281e-06
500,9.74689e-06
501,9.74689e-06
502,9.80561e-06
503,9.79743e-06
504,9.84418e-06
505,9.84418e-06
506,9.80989e-06
507,9.77265e-06
508,9.78136e-06
509,9.78136e-06
510,9.88333e-06
511,1.00097e-05
512,1.0118e-05
513,1.0118e-05
514,1.00914e-05
515,1.01291e-05
516,1.00487e-05
517,1.00528e-05
518,1.00785e-05
519,9.995e-06
520,1.00329e-05
521,9.89778e-06
522,9.85237e-06
523,9.85237e-06
524,9.85237e-06
525,9.82686e-06
526,9.91627e-06
527,9.86253e-06
528,9.89867e-06
529,1.00279e-05
530,1.00953e-05
531,1.01753e-05
532,1.01579e-05
533,1.0103e-05
534,1.02722e-05
535,1.02722e-05
536,1.02722e-05
537,1.02722e-05
538,1.02722e-05
539,1.03063e-05
540,1.03063e-05
541,1.02752e-05
542,1.02752e-05
543,1.02752e-05
544,1.04237e-05
545,1.02452e-05
546,1.02082e-05
547,1.02082e-05
548,1.0119e-05
549,1.00828e-05
550,1.00828e-05
551,1.00828e-05
552,1.00828e-05
553,9.93714e-06
554,9.99515e-06
555,9.99515e-06
556,9.9824e-06
557,1.00116e-05
558,1.01527e-05
559,1.01527e-05
560,9.93108e-06
561,9.91117e-06
562,9.91117e-06
563,9.94093e-06
564,9.96805e-06
565,9.9185e-06
566,1.00219e-05
567,9.94644e-06
568,9.91147e-06
569,9.91147e-06
570,9.90542e-06
571,1.0017e-05
572,9.94756e-06
573,9.9809e-06
574,9.9809e-06
575,9.9809e-06
576,1.0001e-05
577,9.98059e-06
578,9.96345e-06
579,9.96345e-06
580,9.96345e-06
581,9.96345e-06
582,9.96345e-06
583,9.96345e-06
584,9.86285e-06
585,9.84978e-06
586,9.92075e-06
587,9.92075e-06
588,9.94787e-06
589,9.87946e-06
590,9.87946e-06
591,9.99174e-06
592,1.0055e-05
593,1.0055e-05
594,1.00355e-05
595,1.01209e-05
596,1.02164e-05
597,1.02154e-05
598,1.02154e-05
599,1.01558e-05
600,1.01601e-05
601,1.01091e-05
602,1.01091e-05
603,1.01091e-05
604,1.01417e-05
605,1.0141e-05
606,1.01037e-05
607,1.01322e-05
608,1.00131e-05
609,1.00131e-05
610,1.01644e-05
611,1.02119e-05
612,1.03093e-05
613,1.03093e-05
614,1.02303e-05
615,1.02877e-05
616,1.02877e-05
617,1.02061e-05
618,1.02292e-05
619,1.02153e-05
620,1.01922e-05
621,1.0351e-05
622,1.04902e-05
623,1.04902e-05
624,1.04902e-05
625,1.03437e-05
626,1.03437e-05
627,1.03437e-05
628,1.04031e-05
629,1.05075e-05
630,1.05075e-05
631,1.05075e-05
632,1.05154e-05
633,1.05384e-05
634,1.05115e-05
635,1.04498e-05
636,1.05117e-05
637,1.05117e-05
638,1.05117e-05
639,1.05117e-05
640,1.04504e-05
641,1.02569e-05
642,1.02569e-05
643,1.0087e-05
644,1.0087e-05
645,1.01023e-05
646,1.02227e-05
647,1.01868e-05
648,1.02e-05
649,1.02e-05
650,1.01529e-05
651,1.02377e-05
652,1.01683e-05
653,1.02795e-05
654,1.03211e-05
655,1.04237e-05
656,1.02377e-05
657,1.00234e-05
658,9.95964e-06
659,9.95964e-06
660,1.00544e-05
661,1.0089e-05
662,1.0089e-05
663,1.0089e-05
664,9.9918e-06
665,9.9918e-06
666,1.03121e-05
667,1.02361e-05
668,1.02225e-05
669,1.01553e-05
670,1.01958e-05
671,1.01584e-05
672,1.02578e-05
673,1.02578e-05
674,1.01196e-05
675,1.01196e-05
676,1.00997e-05
677,9.95005e-06
678,9.95149e-06
679,9.99414e-06
680,9.99414e-06
681,9.99432e-06
682,9.99432e-06
683,9.96121e-06
684,9.95588e-06
685,9.99234e-06
686,9.99234e-06
687,9.99234e-06
688,9.99234e-06
689,9.99234e-06
690,9.97379e-06
691,1.00036e-05
692,1.00954e-05
693,1.01755e-05
694,1.02344e-05
695,1.04003e-05
696,1.01933e-05
697,1.01327e-05
698,1.01327e-05
699,1.01327e-05
700,1.00928e-05
701,1.01305e-05
702,1.0065e-05
703,1.00798e-05
704,1.00798e-05
705,1.02177e-05
706,1.02177e-05
707,1.01345e-05
708,1.01345e-05
709,1.0108e-05
710,1.00678e-05
711,1.02605e-05
712,1.0175e-05
713,1.01749e-05
714,1.01586e-05
715,1.0233e-05
716,1.0233e-05
717,1.02713e-05
718,1.01516e-05
719,1.01849e-05
720,1.01849e-05
721,1.01593e-05
722,1.01593e-05
723,1.00861e-05
724,1.00727e-05
725,1.00727e-05
726,1.00727e-05
727,9.9415e-06
728,9.93689e-06
729,1.00076e-05
730,1.01757e-05
731,1.02928e-05
732,1.03044e-05
733,1.01956e-05
734,1.01953e-05
735,1.01434e-05
736,1.01543e-05
737,1.01543e-05
738,1.01094e-05
739,1.0045e-05
740,1.00522e-05
741,1.00522e-05
742,1.00599e-05
743,1.00031e-05
744,1.01322e-05
745,1.01322e-05
746,1.01322e-05
747,1.01322e-05
748,1.01322e-05
749,1.01322e-05
750,1.01322e-05
751,1.01322e-05
752,1.01356e-05
753,1.02191e-05
754,1.02191e-05
755,1.02191e-05
756,1.02443e-05
757,1.02443e-05
758,1.02443e-05
759,1.02443e-05
760,1.02443e-05
761,1.02443e-05
762,1.01341e-05
763,1.02143e-05
764,1.02783e-05
765,1.02462e-05
766,1.01998e-05
767,1.01998e-05
768,1.01998e-05
769,1.01033e-05
770,1.01033e-05
771,1.01033e-05
772,1.01323e-05
773,1.02365e-05
774,1.0142e-05
775,1.0142e-05
776,1.0142e-05
777,1.02115e-05
778,1.02115e-05
779,1.02435e-05
780,1.02435e-05
781,1.02895e-05
782,1.02895e-05
783,1.02895e-05
784,1.02895e-05
785,1.03789e-05
786,1.01419e-05
787,1.02701e-05
788,1.02626e-05
789,1.04465e-05
790,1.03781e-05
791,1.01522e-05
792,1.02122e-05
793,1.01779e-05
794,1.01779e-05
795,1.02646e-05
796,1.02223e-05
797,1.02223e-05
798,1.03172e-05
799,1.03172e-05
800,1.02815e-05
801,1.0241e-05
802,1.02273e-05
803,1.01438e-05
804,1.03632e-05
805,1.03632e-05
806,1.03632e-05
807,1.03632e-05
808,1.0316e-05
809,1.02776e-05
810,1.02776e-05
811,1.02776e-05
812,1.02776e-05
813,1.02915e-05
814,1.03747e-05
815,1.04787e-05
816,1.05781e-05
817,1.0362e-05
818,1.04363e-05
819,1.04363e-05
820,1.04418e-05
821,1.03994e-05
822,1.03994e-05
823,1.03403e-05
824,1.04521e-05
825,1.02801e-05
826,1.01703e-05
827,1.00797e-05
828,9.9233e-06
829,9.9896e-06
830,1.00248e-05
831,9.98503e-06
832,9.98503e-06
833,9.98503e-06
834,9.98503e-06
835,1.00596e-05
836,1.01181e-05
837,1.01181e-05
838,1.01435e-05
839,1.01287e-05
840,1.01123e-05
841,1.01123e-05
842,1.04059e-05
843,1.0341e-05
844,1.02812e-05
845,1.02812e-05
846,1.02812e-05
