t,G,F1,F2,F3
1,0.008046,0.006354,null,null
2,0.007541,0.006176,null,null
3,0.007542,0.006193,null,null
4,0.007517,0.006181,null,null
5,0.007513,0.006181,null,null
6,0.007519,0.006187,null,null
7,0.007534,0.006177,null,null
8,0.007526,0.006174,null,null
9,0.007528,0.006178,null,null
10,0.007527,0.00619,null,null
11,0.007528,0.006187,null,null
12,0.007523,0.006177,null,null
13,0.007527,0.00618,null,null
14,0.007525,0.006179,null,null
15,0.007535,0.00618,null,null
16,0.007531,0.006171,null,null
17,0.007532,0.006168,null,null
18,0.007526,0.006171,null,null
19,0.007526,0.006175,null,null
20,0.007531,0.00617,null,null
21,0.01674,0.01376,null,null
22,0.01671,0.01374,null,null
23,0.0167,0.01375,null,null
24,0.0167,0.01375,null,null
25,0.01674,0.01376,null,null
26,0.01674,0.01373,null,null
27,0.01673,0.01374,null,null
28,0.01675,0.01374,null,null
29,0.01673,0.01373,null,null
30,0.01675,0.01373,null,null
31,0.01676,0.01373,null,null
32,0.01675,0.01371,null,null
33,0.01675,0.01373,null,null
34,0.01675,0.01371,null,null
35,0.01678,0.0137,null,null
36,0.01679,0.01371,null,null
37,0.01681,0.01368,null,null
38,0.01682,0.01368,null,null
39,0.01682,0.01368,null,null
40,0.01679,0.01368,null,null
41,0.01679,0.01368,null,null
42,0.01679,0.01368,null,null
43,0.0168,0.01367,null,null
44,0.01681,0.01367,null,null
45,0.01682,0.01368,null,null
46,0.0168,0.01366,null,null
47,0.0168,0.01366,null,null
48,0.01683,0.01367,null,null
49,0.01681,0.01366,null,null
50,0.01682,0.01366,null,null
51,0.01684,0.01366,null,null
52,0.0168,0.01366,null,null
53,0.01681,0.01366,null,null
54,0.01683,0.01366,null,null
55,0.01682,0.01365,null,null
56,0.01683,0.01365,null,null
57,0.01683,0.01367,null,null
58,0.01682,0.01366,null,null
59,0.01683,0.01365,null,null
60,0.01682,0.01365,null,null
61,0.01681,0.01367,null,null
62,0.0168,0.01366,null,null
63,0.01683,0.01367,null,null
64,0.01683,0.01364,null,null
65,0.01682,0.01365,null,null
66,0.01683,0.01366,null,null
67,0.01682,0.01367,null,null
68,0.01683,0.01366,null,null
69,0.01681,0.01366,null,null
70,0.01682,0.01366,null,null
71,0.01683,0.01365,null,null
72,0.01683,0.01366,null,null
73,0.01685,0.01366,null,null
74,0.01683,0.01364,null,null
75,0.01683,0.01364,null,null
76,0.01683,0.01365,null,null
77,0.01684,0.01364,null,null
78,0.01686,0.01363,null,null
79,0.01686,0.01363,null,null
80,0.01686,0.01362,null,null
81,0.01686,0.01362,null,null
82,0.01688,0.01363,null,null
83,0.01688,0.01361,null,null
84,0.0169,0.0136,null,null
85,0.0169,0.0136,null,null
86,0.0169,0.01359,null,null
87,0.01688,0.0136,null,null
88,0.01689,0.0136,null,null
89,0.01689,0.01361,null,null
90,0.01687,0.01361,null,null
91,0.01689,0.01361,null,null
92,0.01692,0.01359,null,null
93,0.01691,0.01359,null,null
94,0.0169,0.01358,null,null
95,0.01689,0.01358,null,null
96,0.01691,0.01358,null,null
97,0.01691,0.01359,null,null
98,0.01691,0.01358,null,null
99,0.01692,0.01359,null,null
100,0.01692,0.01359,null,null
101,0.01692,0.01358,null,null
102,0.01692,0.01359,null,null
103,0.01692,0.0136,null,null
104,0.01689,0.0136,null,null
105,0.0169,0.0136,null,null
106,0.01692,0.0136,null,null
107,0.01691,0.0136,null,null
108,0.01691,0.01359,null,null
109,0.01689,0.01359,null,null
110,0.01689,0.0136,null,null
111,0.01689,0.01361,null,null
112,0.01687,0.01361,null,null
113,0.01688,0.01362,null,null
114,0.01691,0.01363,null,null
115,0.01688,0.01361,null,null
116,0.0169,0.01361,null,null
117,0.0169,0.01358,null,null
118,0.01693,0.0136,null,null
119,0.0169,0.01358,null,null
120,0.0169,0.01358,null,null
121,0.0169,0.01358,null,null
122,0.01691,0.01359,null,null
123,0.01689,0.0136,null,null
124,0.0169,0.0136,null,null
125,0.01689,0.01361,null,null
126,0.01688,0.01363,null,null
127,0.01686,0.01362,null,null
128,0.01685,0.01362,null,null
129,0.01686,0.01364,null,null
130,0.01686,0.01363,null,null
131,0.01684,0.01362,null,null
132,0.01688,0.01363,null,null
133,0.0169,0.01361,null,null
134,0.0169,0.0136,null,null
135,0.01691,0.01361,null,null
136,0.0169,0.0136,null,null
137,0.0169,0.01358,null,null
138,0.0169,0.0136,null,null
139,0.01691,0.01361,null,null
