MDTU,plaq,Re(det),Im(det),link
1,1.86316,1.87713,0.209414,0.228023
2,1.88986,1.98583,0.215063,0.231029
3,1.86972,1.87171,0.209918,0.228831
4,1.91864,2.20216,0.235533,0.233386
5,1.95791,2.32354,0.251562,0.239346
6,1.97454,2.41795,0.260132,0.241252
7,2.01156,2.40635,0.262659,0.248645
8,2.04172,2.58424,0.28682,0.252417
9,2.03351,2.52933,0.272896,0.251475
10,2.01372,2.43678,0.271041,0.249059
11,2.06476,2.7604,0.304437,0.254779
12,2.07194,2.83894,0.307331,0.255428
13,2.05853,2.79373,0.304836,0.253285
14,2.03551,2.48648,0.27219,0.252625
15,2.04609,2.57366,0.278321,0.253458
16,2.05734,2.82399,0.309932,0.252856
17,2.06907,2.86216,0.318383,0.25455
18,2.06173,2.73415,0.303529,0.254366
19,2.06719,2.76745,0.301838,0.255068
20,2.07467,2.78332,0.302189,0.255894
21,2.10453,2.93359,0.312852,0.260209
22,2.07103,2.83769,0.319139,0.254842
23,2.08669,2.95454,0.317657,0.256983
24,2.08264,2.84716,0.310865,0.257277
25,2.0975,2.93281,0.320313,0.259391
26,2.13171,3.50693,0.368666,0.259717
27,2.17181,3.82382,0.404438,0.264696
28,2.17181,3.82382,0.404438,0.264696
29,2.16754,3.86369,0.400715,0.263137
30,2.17189,3.88234,0.411847,0.264432
31,2.17189,3.88234,0.411847,0.264432
32,2.14902,3.40831,0.359688,0.264215
33,2.18688,3.7448,0.391271,0.268351
34,2.17726,3.75166,0.393444,0.266684
35,2.17726,3.75166,0.393444,0.266684
36,2.19082,3.84792,0.407335,0.268005
37,2.22254,4.23914,0.444378,0.271088
38,2.22254,4.23914,0.444378,0.271088
39,2.2105,4.42029,0.458259,0.267133
40,2.25398,4.69853,0.494612,0.272941
41,2.23912,4.63761,0.480718,0.270597
42,2.24842,4.4723,0.469853,0.27378
43,2.2217,3.99187,0.424032,0.272339
44,2.21364,3.86422,0.415645,0.271513
45,2.21364,3.86422,0.415645,0.271513
46,2.17427,3.45778,0.375744,0.268171
47,2.18563,3.42599,0.373739,0.270332
48,2.19137,3.63759,0.385247,0.269547
49,2.17808,3.43854,0.371718,0.268911
50,2.17511,3.36236,0.355139,0.269139
51,2.17511,3.36236,0.355139,0.269139
52,2.2313,3.86166,0.408723,0.27486
53,2.23485,3.90847,0.416126,0.275262
54,2.24679,4.00197,0.422097,0.2768
