MDTU,|Tr(Lx)|,|Tr(Ly)|,|Tr(Lz)|,|Tr(L5)|
1,0.996069,0.376459,0.379034,0.00450069
2,0.996064,0.347066,0.430927,0.00292439
3,0.996112,0.439472,0.47017,0.00393056
4,0.996214,0.419365,0.468089,0.00328289
5,0.996249,0.440438,0.457836,0.00203349
6,0.996233,0.395259,0.417319,0.00558032
7,0.996208,0.445939,0.486967,0.00136324
8,0.996222,0.454034,0.49193,0.00759524
9,0.9962,0.463909,0.412732,0.00152603
10,0.996056,0.421156,0.463598,0.00527153
11,0.996052,0.384827,0.465134,0.00690329
12,0.996186,0.428954,0.501503,0.00721223
13,0.996191,0.427901,0.407463,0.00644274
14,0.996092,0.423438,0.458585,0.00439138
15,0.996108,0.478794,0.437824,0.00205857
16,0.996152,0.534117,0.422989,0.00547745
17,0.99623,0.497134,0.439589,0.00599245
18,0.996213,0.529566,0.488595,0.00309172
19,0.996119,0.556332,0.539381,0.00219954
20,0.996186,0.524251,0.473862,0.00325487
21,0.996204,0.459404,0.43818,0.00839341
22,0.99615,0.439196,0.410314,0.00379859
23,0.996212,0.468621,0.35709,0.00302652
24,0.996176,0.437973,0.351055,0.00737992
25,0.996224,0.413881,0.405528,0.0105109
26,0.996247,0.430532,0.303881,0.00625463
27,0.996317,0.44669,0.343268,0.0089789
28,0.996317,0.44669,0.343268,0.0089789
29,0.996218,0.357619,0.410695,0.00502531
30,0.99626,0.393154,0.468942,0.00677199
31,0.99626,0.393154,0.468942,0.00677199
32,0.996306,0.451263,0.375716,0.00235042
33,0.996307,0.465476,0.376413,0.00481281
34,0.996281,0.48884,0.344311,0.00135481
35,0.996281,0.48884,0.344311,0.00135481
36,0.996278,0.444739,0.305546,0.00197265
37,0.996348,0.542692,0.407398,0.00248228
38,0.996348,0.542692,0.407398,0.00248228
39,0.996363,0.514734,0.402511,0.00356971
40,0.996331,0.400102,0.417582,0.00386254
41,0.996369,0.392795,0.45857,0.00734346
42,0.996338,0.414328,0.435464,0.00470172
43,0.996294,0.366679,0.54827,0.00509181
44,0.996285,0.33042,0.510428,0.00290404
45,0.996285,0.33042,0.510428,0.00290404
46,0.996219,0.3333,0.415877,0.00578241
47,0.996209,0.329583,0.457131,0.00708971
48,0.996222,0.355633,0.401902,0.00357493
49,0.996231,0.395318,0.462321,0.00260351
50,0.996191,0.38514,0.351234,0.00681437
51,0.996191,0.38514,0.351234,0.00681437
52,0.996261,0.317269,0.332858,0.00776059
53,0.996304,0.300223,0.243065,0.00652437
54,0.996232,0.287856,0.350129,0.00481013
55,0.996243,0.348372,0.312298,0.00511503
56,0.996249,0.288232,0.292757,0.00414697
57,0.996272,0.282077,0.238159,0.000713765
58,0.996272,0.282077,0.238159,0.000713765
59,0.996336,0.190656,0.260977,0.00389131
60,0.996335,0.19536,0.233911,0.00164784
61,0.996284,0.19968,0.246377,0.00455245
62,0.996284,0.19968,0.246377,0.00455245
63,0.996188,0.172338,0.20372,0.00658709
64,0.996188,0.172338,0.20372,0.00658709
65,0.99624,0.218787,0.155496,0.00143535
66,0.996325,0.138638,0.189703,0.00618167
67,0.996297,0.190884,0.151981,0.00662744
68,0.996278,0.140559,0.25227,0.00390203
69,0.996278,0.140559,0.25227,0.00390203
70,0.996261,0.258568,0.3205,0.00548756
71,0.9963,0.236883,0.319787,0.00222971
72,0.996265,0.226525,0.305924,0.00106489
73,0.996265,0.226525,0.305924,0.00106489
74,0.996265,0.226525,0.305924,0.00106489
75,0.996343,0.222465,0.325722,0.00251104
76,0.996343,0.222465,0.325722,0.00251104
77,0.996254,0.255583,0.263757,0.00486372
78,0.996254,0.255583,0.263757,0.00486372
79,0.996334,0.264183,0.261282,0.005333
80,0.996334,0.264183,0.261282,0.005333
81,0.996264,0.325361,0.314339,0.0014621
82,0.996345,0.381393,0.34584,0.00395505
83,0.996443,0.312424,0.304609,0.00405553
84,0.996343,0.392443,0.354437,0.00749899
85,0.996329,0.336932,0.393937,0.00568738
86,0.996326,0.44067,0.343441,0.00406227
87,0.996411,0.444683,0.350442,0.0128544
88,0.996318,0.510004,0.365333,0.00644985
89,0.996318,0.510004,0.365333,0.00644985
90,0.996332,0.453174,0.359203,0.00528539
91,0.996396,0.483225,0.423153,0.00582972
