MDTU,rho_M
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
110,0
120,0
130,0
140,0
150,0
160,0
170,0
180,0
190,0
200,0
210,0
220,0
230,0
240,0
250,0
260,0
270,0
280,0
290,0
300,0
310,0
320,0
330,0
340,0
350,0
360,0
370,0
380,0
390,0
400,0
410,0
420,0
430,0
440,0
450,0
460,0
470,0
480,0
490,0
500,0
510,0
520,0
530,0
540,0
550,0
560,0
570,0
580,0
590,0
600,0
610,0
620,0
630,0
640,0
650,0
660,0
670,0
680,0
690,0
700,0
710,0
720,0
730,0
740,0
750,0
760,0
770,0
780,0
790,0
800,0
810,0
820,0
830,0
840,0
850,0
860,0
870,0
880,0
890,0
900,0
910,0
920,0
930,0
940,0
950,0
960,0
970,0
980,0
990,0
1000,0
1010,0
1020,0
1030,0
1040,0
1050,0
1060,0
1070,0
1080,0
1090,0
1100,0
1110,0
1120,0
1130,0
1140,0
1150,0
1160,0
1170,0
1180,0
1190,0
1200,0
1210,0
1220,0
1230,0
1240,0
1250,0
1260,0
1270,0
1280,0
1290,0
1300,0
1310,0
1320,0
1330,0
1340,0
1350,0
1360,0
1370,0
1380,0
1390,0
1400,0
1410,0
1420,0
1430,0
1440,0
1450,0
1460,0
1470,0
1480,0
1490,0
1500,0
1510,0
1520,0
1530,0
1540,0.0987413
1550,0.0987413
1560,0.0987413
1570,0.0987413
1580,0.0987413
1590,0.0987413
1600,0.0987413
1610,0.0987413
1620,0.0987413
1630,0.0987413
1640,0.0987413
1650,0.104167
1660,0.0962457
1670,0.0962457
1680,0.0962457
1690,0.0962457
1700,0.0932075
1710,0.0932075
1720,0.0903863
1730,0.0896267
1740,0.0891927
1750,0.0881076
1760,0.0908203
1770,0.0886502
1780,0.0912543
1790,0.0874566
1800,0.0872396
1810,0.08648
1820,0.085612
1830,0.0874566
1840,0.0872396
1850,0.0890842
1860,0.085395
1870,0.0902778
1880,0.0870226
1890,0.0902778
1900,0.0889757
1910,0.0888672
1920,0.0881076
1930,0.0857205
1940,0.0863715
1950,0.0881076
1960,0.0879991
1970,0.0900608
1980,0.0911458
1990,0.0881076
2000,0.0855035
