t,deltaS
1,0.6542
2,-0.03441
3,0.006303
4,-0.008266
5,-0.02905
6,0.002162
7,0.03119
8,-0.03782
9,-0.09078
10,-0.06466
11,0.02111
12,-0.06222
13,-0.02419
14,0.002952
15,-0.02349
16,0.03132
17,-0.0403
18,0.005545
19,-0.04032
20,0.001722
21,0.4115
22,0.498
23,-0.1183
24,-0.6985
25,-0.7753
26,1.145
27,0.719
28,0.9231
29,-0.2532
30,0.4178
31,-0.3726
32,0.002386
33,-0.1182
34,-1.039
35,-0.465
36,-0.03322
37,-0.1258
38,0.816
39,0.2071
40,0.2353
41,0.2192
42,-0.08836
43,0.15
44,-0.06895
45,0.3909
46,-1.454
47,0.09353
48,-0.2494
49,-0.1111
50,-0.8556
51,-0.6918
52,-0.1401
53,0.4184
54,-0.96
55,-0.239
56,-0.8629
57,0.9412
58,0.6176
59,-0.5255
60,1.127
61,-0.2008
62,1.192
63,-0.8791
64,0.333
65,-0.2069
66,0.4198
67,1.93
68,-0.4055
69,0.2863
70,0.6693
71,0.9273
72,0.9092
73,0.1907
74,-1.101
75,1.779
76,-0.3956
77,-1.076
78,-0.1342
79,-1.76
80,0.07949
81,-0.2189
82,0.8943
83,1.319
84,-0.1971
85,-0.5911
86,-0.05914
87,0.1026
88,-0.7741
89,-0.7066
90,0.3819
91,-0.1418
92,0.7809
93,0.6782
94,-0.9785
95,0.1491
96,0.3917
97,-1.063
98,-0.4719
99,-0.3083
100,0.02354
101,-0.7419
102,0.03558
103,0.4421
104,0.04405
105,1.423
106,0.4809
107,-0.5958
108,0.9109
109,-0.7345
110,-0.2155
111,-1.23
112,2.342
113,2.082
114,0.9997
115,0.3203
116,0.4568
117,-0.4934
118,0.4801
119,0.6084
120,0.9842
121,0.3402
122,-1.303
123,0.1029
124,0.6271
125,0.4726
126,-0.4169
127,0.3595
128,-0.2834
129,1.259
130,0.19
131,-0.7786
132,-0.2767
133,0.2047
134,-0.0959
135,0.1771
136,-0.2795
137,-0.1298
138,1.106
139,1.351
140,1.125
141,1.304
142,1.559
143,1.218
144,0.6624
145,1.389
146,-0.7231
147,0.3874
148,0.5309
149,-0.3048
150,0.09023
151,-1.256
152,-0.09955
153,-0.1979
154,0.5192
155,-0.4398
156,0.1633
157,-1.17
158,0.8362
159,1.624
160,-0.1504
161,0.8602
162,0.826
163,0.05101
164,0.6629
165,-1.086
166,0.8964
167,2.094
168,-0.006821
169,0.2512
170,0.3056
171,0.3975
172,-0.08723
173,-0.8244
174,-0.09282
175,0.308
176,0.5474
177,0.09557
178,-0.7856
179,0.3042
180,0.2534
181,-0.006711
182,0.8627
183,-1.748
184,-0.2861
185,-0.1505
186,-1.594
187,0.6561
188,-0.04547
189,-0.3006
190,0.1172
191,0.3876
192,0.2898
193,-0.6007
194,-0.08487
195,-1.271
196,0.5622
197,-0.7801
198,0.6297
199,-0.6691
200,-0.08253
201,-0.1946
202,1.697
203,-0.4984
204,-1.076
205,0.6344
206,-0.5104
207,0.4373
208,-0.4503
209,0.03213
210,-0.08354
211,-1.14
212,1.459
213,1.926
214,-0.7339
215,0.3681
216,-1.201
217,0.572
218,-0.01244
219,0.5266
220,0.1761
221,1.046
222,-0.05352
223,1.828
224,0.6255
225,1.134
226,1.187
227,-0.3402
228,-0.7686
229,0.8997
230,-0.4013
231,-0.1365
232,-0.02282
233,0.126
234,-0.7891
235,1.262
236,0.6298
237,0.5128
238,-0.2357
239,-0.2142
240,0.4045
241,0.4534
242,0.3416
243,1.48
244,0.6671
245,0.6567
246,-0.2239
247,-0.1772
248,-0.5426
249,0.02798
250,-0.3038
251,0.06891
252,0.1074
253,0.6786
254,0.7379
255,1.8
256,-0.4025
257,-0.2278
258,-1.026
259,0.81
260,0.05134
261,0.04796
262,-0.7639
263,0.596
264,-0.353
265,0.3159
266,-0.1338
267,0.677
268,0.7393
269,0.5378
270,-0.101
271,-0.3379
272,1.358
273,-0.639
274,1.656
275,-1.404
276,-0.2073
277,0.2392
278,1.574
279,0.0347
280,-1.507
281,1.353
282,0.6219
283,-0.06244
284,-0.06602
285,0.0009288
286,-1.146
287,0.2704
288,-1.219
289,0.4547
290,0.6639
291,1.404
292,1.468
293,1.261
294,0.672
295,-0.1078
296,-0.3191
297,0.393
298,0.9589
299,0.2941
300,-0.01725
301,0.6571
302,1.224
303,1.406
304,-0.04747
305,0.6311
306,0.2634
307,-0.04349
308,0.4052
309,0.9882
310,-0.5327
311,-0.4053
312,-0.3207
313,6.251e-05
314,0.6501
315,-0.1934
316,0.1202
317,0.1616
318,0.7201
319,0.6805
320,0.8523
321,-0.08684
322,0.1625
323,-1.204
324,-0.4579
325,-1.336
326,-1.348
327,0.1313
328,0.9424
329,1.147
330,0.8445
331,-0.6269
332,0.7836
333,0.4883
334,0.8795
335,0.7271
336,0.6755
337,0.2955
338,-0.3281
339,1.465
340,0.5297
341,-0.08407
342,0.149
343,-0.09023
344,0.9601
345,-0.2902
346,0.2091
347,1.307
348,0.3913
349,0.9829
350,-0.2633
351,0.4364
352,-0.1822
353,1.004
354,0.2977
355,0.3189
356,0.405
357,-0.9618
358,-0.1859
359,1.164
360,-0.3707
361,-0.8713
362,0.412
363,0.35
364,0.4685
365,-0.6572
366,-0.276
367,-0.6317
368,0.7407
369,-0.716
370,1.033
371,2.109
372,-1.297
373,-0.6055
374,0.7192
375,-0.1998
376,0.4099
377,1.968
378,1.491
379,0.2504
380,-0.2768
381,0.9533
382,-0.2473
383,-0.5753
384,0.4842
385,0.4709
386,1.016
387,-0.1208
388,0.9204
389,-0.9865
390,0.9741
391,-0.5584
392,0.5789
393,0.5349
394,0.2787
395,0.5661
396,-0.5982
397,1.636
398,0.1717
399,-1.495
400,-0.2492
401,0.08646
402,-0.505
403,0.1507
404,0.5898
405,1.173
406,0.1781
407,0.8204
408,-0.8011
409,0.2051
410,-0.1527
411,1.315
412,0.02825
413,-0.6822
414,1.779
415,-0.6155
416,0.6765
417,-0.8776
418,1.092
419,0.4054
420,-0.1098
421,-0.6316
422,0.8409
423,0.2439
424,-0.9877
425,0.1596
426,-0.01256
427,1.134
428,0.5116
429,0.5448
430,0.3569
431,-0.409
432,-1.065
433,0.05914
434,0.9365
435,0.5088
436,-0.4725
437,-0.9362
438,0.3406
439,0.7055
440,-0.09989
441,0.4582
442,-0.9568
443,1.001
444,0.1425
445,-0.7858
446,0.4282
447,0.4601
448,-1.365
449,-0.6735
450,-0.05963
451,0.466
452,2.94
453,1.383
454,0.09405
455,0.9321
456,-1.053
457,-0.4164
458,0.6442
459,0.2132
460,0.7443
461,-0.1521
462,0.9244
463,1.443
464,0.1813
465,1.188
466,0.7341
467,0.8577
468,-0.2386
469,-1.286
470,0.407
471,0.4365
472,-0.4552
473,0.4151
474,-0.5222
475,0.3249
476,1.94
477,-0.4004
478,0.3836
479,-0.759
480,0.1801
481,0.1461
482,-0.7435
483,1.234
484,0.8221
485,-0.2859
486,1.626
487,0.9196
488,-0.6121
489,-0.7204
490,-0.3046
491,0.9031
492,-0.007888
493,0.8091
494,-1.303
495,-0.298
496,1.88
497,0.1213
498,-0.145
499,0.8878
500,0.7544
501,1.972
502,0.6092
503,0.8428
504,0.01378
505,0.8501
506,1.247
507,0.3392
508,0.5535
509,0.9332
510,-0.275
511,0.7463
512,0.3649
513,0.4861
514,-2.339
515,1.419
516,2.904
517,0.4462
518,0.9089
519,-0.1314
520,0.3968
521,-0.6853
522,1.413
