t,walltime
10,1560
20,792.1
30,515.8
40,469.5
50,566.9
60,398.9
70,375.4
80,367.1
90,340.2
100,338
110,339
120,360.2
130,359.5
140,366.7
150,375.1
160,392.8
170,396.5
180,405.9
190,403.9
200,407.4
210,405.4
220,401.2
230,401.8
240,411.5
250,413.4
260,413.6
270,410
280,409.6
290,405.6
300,404.5
310,417.9
320,415.5
330,417.8
340,422.5
350,417.9
360,359.3
370,358.7
380,358.1
390,360.3
400,363.3
410,366.2
420,362.3
430,363.9
440,369.4
450,374.4
460,370.8
470,366.8
480,373.1
490,371.4
500,379.5
510,391.4
520,378.1
530,375.2
540,368.6
550,372
560,391.9
570,388.4
580,395.6
590,398.4
600,394.4
610,393.4
620,392.8
630,397.1
640,402.4
650,395.5
660,398.8
670,395
680,393.2
690,393
700,392.3
710,393
720,393.8
730,396.4
740,403
750,404.1
760,387.2
770,388.4
780,389.5
790,386.3
800,388.8
810,390.7
820,396.2
830,393.6
840,396.4
850,395
860,394.5
870,394.8
880,397.2
890,396.1
900,395.5
910,391.8
920,393.4
930,391.1
940,389.1
950,392.1
960,409.4
970,408.5
980,404.7
990,404.4
1000,407.6
1010,408.3
1020,403.7
1030,410.5
1040,407.2
1050,408.9
1060,406.1
1070,406.1
1080,411.1
1090,412
1100,407.4
1110,412.2
1120,412.9
1130,406.1
1140,410.3
1150,412.8
1160,374.1
1170,373.7
1180,374.7
1190,377.1
1200,377.8
1210,371.6
1220,372.3
1230,373.9
1240,373.6
1250,373
1260,372.9
1270,373.3
1280,377.3
1290,372.9
1300,375.6
1310,372
1320,372.6
1330,376.2
1340,376.3
1350,376.3
1360,385.7
1370,387
1380,380
1390,389.4
1400,383.3
1410,376.9
1420,375.1
1430,376
1440,378.9
1450,398.3
1460,382.2
1470,377.7
1480,376.4
1490,377.6
1500,379.9
1510,382.3
1520,381.9
1530,379.9
1540,380.6
1550,381.3
1560,373.2
1570,374.8
1580,377.8
1590,374.8
1600,374.9
1610,375.9
1620,373.6
1630,374.3
1640,374.7
1650,372
1660,373
1670,372.1
1680,374
1690,374.1
1700,370.3
1710,372.9
1720,372.3
1730,373
1740,373.8
1750,376.2
1760,375.9
1770,375.3
1780,373.8
1790,371.1
1800,367.5
1810,367.3
1820,366.1
1830,367.9
1840,367.2
1850,375.6
1860,375.6
1870,376
1880,375.1
1890,374.8
1900,375.2
1910,373.5
1920,376.8
1930,373.2
1940,373.6
1950,375.5
1960,374.4
1970,375.7
1980,377
1990,372.4
2000,374.5
2010,372.8
2020,372.7
2030,373.1
2040,372.9
2050,373.8
2060,374.7
2070,375.3
2080,372.5
2090,375.7
2100,378.4
2110,376.4
2120,377
2130,377
2140,377.1
2150,381.3
2160,375.7
2170,377.9
2180,376.1
2190,375.4
2200,369.9
2210,366.5
2220,366.9
2230,369.5
2240,368.1
2250,366.5
2260,365.6
2270,366.9
2280,379.9
2290,385.6
2300,382.5
2310,381.6
2320,382.6
2330,369.2
2340,375.1
2350,385.5
2360,387.3
2370,389.2
2380,371.9
2390,371.1
2400,369.9
2410,371.9
2420,368.5
2430,367.7
2440,369.7
2450,370
2460,368.3
2470,370.1
2480,369.1
2490,371.4
2500,372
2510,370.4
2520,371.7
2530,374.6
2540,373
2550,370.8
2560,369.8
2570,368.7
2580,373.2
2590,369.5
2600,369.2
2610,369
2620,369.5
2630,367.9
2640,371.1
2650,367.9
2660,381.5
2670,398.5
2680,396.1
2690,396.3
2700,398.5
2710,394.9
2720,392.5
2730,392.3
2740,391.1
2750,392.3
2760,392.8
2770,377.7
2780,370.5
2790,367.2
2800,370.6
2810,368.9
2820,369.3
2830,368.7
2840,371
2850,372.5
2860,369.2
2870,369.8
2880,368.2
2890,365.6
2900,368.9
2910,369.8
2920,368.5
2930,369
2940,370.7
2950,368.7
2960,368.3
2970,366.4
2980,369.9
2990,371.1
3000,371.9
3010,373.2
3020,373.5
3030,373.7
3040,371.4
3050,368.2
3060,370.3
3070,369.5
3080,369.8
3090,373.4
3100,366.9
3110,379.2
3120,393.3
3130,393.8
3140,391.5
3150,395.2
3160,392.6
3170,390.2
3180,387.2
3190,389.9
3200,391.1
3210,390.3
3220,385.2
3230,374.4
3240,374.2
3250,371.9
3260,370.8
3270,371.3
3280,382.8
3290,395.5
3300,382.5
3310,380.9
3320,385.5
3330,385.2
3340,382.9
3350,379.7
3360,383.3
3370,376.8
3380,379.8
3390,378
3400,381.2
3410,385
3420,385.3
3430,377.7
3440,374.7
3450,374.1
3460,371.6
3470,376.3
3480,376.2
3490,377.1
3500,374.1
3510,375.2
3520,375.9
3530,371.2
3540,371.3
3550,369
3560,369.5
3570,370
3580,373.1
3590,368.7
3600,371.8
3610,371.9
3620,371.3
3630,370.7
3640,374.6
3650,370.3
3660,371.2
3670,368.5
3680,367.7
3690,367.4
3700,370.3
3710,369
3720,372.3
3730,368.2
3740,370.3
3750,368.4
3760,370
3770,367.7
3780,368.2
3790,370.4
3800,368.4
3810,367.8
