MDTU,susyTrans,Im(bilin)
10,-0.00508162,-0.00103336
20,-0.00371284,0.000388612
30,-0.0048497,0.000348536
40,-0.00193459,0.000326508
50,0.00105176,0.00153382
60,0.00526495,0.000975263
70,-0.00211196,0.000954417
80,0.0035539,0.000160255
90,0.000485629,0.000568912
100,-0.000866867,0.00057317
110,-0.00366371,-0.000114279
120,-0.00186412,0.000209738
130,-0.000278563,-0.000333151
140,0.00425572,-0.000580636
150,0.00165591,0.00152777
160,0.000600789,0.00169192
170,0.00202316,0.000344669
180,-0.00206444,0.000996482
190,-0.00404537,-0.00163968
200,0.000702277,-0.00149698
210,-0.00307177,0.00138643
220,-0.000751587,-0.000770811
230,-0.00365378,0.00172118
240,-0.000579152,-0.000240357
250,-0.00124315,4.22551e-05
260,-0.00298729,0.00129687
270,-0.000534184,0.00104211
280,-0.00425065,0.00078352
290,-0.00069801,-0.000647642
300,0.00044125,-0.000610298
310,-0.00311592,-0.000722827
320,0.00371239,-0.00105972
330,0.000511712,0.000576286
340,-0.00248334,-6.33411e-06
350,-0.00268075,-0.000231999
360,-0.00326239,-0.000778779
370,-0.00215217,0.000528936
380,-0.000663638,-0.000868181
390,0.00281448,0.000864001
400,-0.00589145,-0.000583436
410,-0.00283272,0.00143868
420,-0.00290492,-0.000651542
430,-0.00472999,0.000665215
440,-0.00265143,0.0011729
450,-0.000495678,0.000578861
460,0,-0.00148447
470,-0.00242057,0.00155459
480,-0.00446192,0.000866983
490,-0.000216667,0.000382573
500,-0.00033567,-0.000525844
510,-0.0012067,0.000777938
520,-0.00168458,7.15298e-05
530,-0.00254408,0.00150816
540,-0.000609076,0.000336174
550,-0.00431534,0.00085371
560,0.00188903,-0.000649945
570,0.00303347,0.00143304
580,-0.000260533,-0.000248125
590,-0.000256286,0.000764665
600,0.00217767,0.000348613
610,-0.00245247,-0.000531593
620,-0.00558738,-0.000942989
630,-0.00552042,-0.000936909
640,-0.00109647,-0.00152262
650,-0.00357718,-0.000524949
660,-0.003206,0.0025647
670,3.97823e-05,0.0011863
680,0.00376241,-0.000645591
690,-0.00525061,-0.00205526
700,-0.00184867,-0.00227489
710,-0.00351098,-0.00049379
720,0.000861358,-0.000560721
730,-0.00594994,0.000145516
740,-0.000216734,-0.000441863
750,0.00385509,-0.000429756
760,-0.000441972,-0.000108717
770,-0.00197912,8.16313e-06
780,0.000601379,6.9499e-05
790,-0.00563946,0.000403454
800,-0.00304767,-0.000773178
810,0.00238121,-0.000204135
820,-0.00345056,0.00106309
830,-0.0030172,-0.0012788
840,-0.00310432,-0.00141248
850,0.00399673,-0.000254918
860,0.00110353,-0.00214081
870,0.00241305,0.00114431
880,0.00019031,-2.17534e-05
890,-0.00325832,-0.00191751
900,-0.0063504,0.000812991
