t,deltaS
1,-4.188
2,-0.08551
3,0.2425
4,0.1237
5,-0.01668
6,0.2005
7,0.3225
8,0.1372
9,-0.02679
10,-0.04539
11,0.09022
12,-0.01312
13,0.08829
14,0.2087
15,0.1704
16,0.1625
17,0.1299
18,0.4113
19,0.249
20,0.2631
21,0.8991
22,0.3198
23,-0.2227
24,1.22
25,1.387
26,1.929
27,0.7852
28,1.33
29,2.655
30,2.531
31,0.6687
32,1.837
33,0.2042
34,0.3046
35,0.5547
36,1.529
37,0.9737
38,0.5674
39,2.153
40,0.62
41,2.903
42,1.694
43,0.8673
44,0.6461
45,0.2414
46,3.046
47,1.674
48,1.723
49,1.102
50,0.2173
51,1.103
52,1.413
53,0.1099
54,-0.2728
55,1.218
56,0.6115
57,2.095
58,0.4462
59,1.323
60,1.412
61,0.7773
62,0.8161
63,-0.09357
64,1.274
65,0.4625
66,1.525
67,0.8828
68,1.067
69,1.513
70,0.06475
71,-0.3183
72,-0.6187
73,0.1607
74,1.622
75,-0.05894
76,1.957
77,1.347
78,1.084
79,0.5005
80,0.54
81,0.4105
82,1.222
83,0.753
84,0.9129
85,-0.0144
86,0.8717
87,0.1976
88,0.7417
89,0.1773
90,0.891
91,0.3745
92,0.5855
93,0.2927
94,0.7877
95,0.8989
96,0.5423
97,1.386
98,0.4197
99,1.411
100,0.9002
101,0.5831
102,1.78
103,-0.2722
104,0.3769
105,0.7466
106,-0.2891
107,0.4623
108,0.9335
109,0.1017
110,0.497
111,0.8073
112,0.4892
113,0.3635
114,-0.412
115,0.7872
116,0.1729
117,0.3258
118,0.6668
119,0.5643
120,0.05054
121,-0.3305
122,0.8056
123,0.5343
124,0.151
125,1.091
126,0.4645
127,1.778
128,0.6699
129,2.107
130,-0.04509
131,-0.06094
132,0.8899
133,0.5484
134,1.044
135,-0.2381
136,0.6907
137,0.4195
138,0.004657
139,-0.2522
140,0.4177
141,-0.205
142,0.3139
143,0.3651
144,0.5073
145,0.2758
146,1.738
147,-0.7668
148,0.6096
149,0.4034
150,0.8501
151,0.8393
152,0.3992
153,0.3169
154,0.1361
155,1.029
156,-0.0135
157,0.9062
158,0.4098
159,0.5989
160,0.01792
161,0.5075
162,-0.2896
163,1.294
164,-1.418
165,0.5189
166,1.321
167,0.9166
168,0.5757
169,-0.06148
170,1.544
171,0.7747
172,1.599
173,-0.02505
174,-0.03733
175,1.234
176,-0.323
177,1.212
178,0.1352
179,-0.3931
180,0.9076
181,0.5135
182,0.9332
183,1.21
184,-0.3972
185,0.6305
186,0.1811
187,-0.2654
188,-0.3222
189,-1.022
190,0.6413
191,-0.5864
192,-0.06585
193,-1.336
194,0.9661
195,0.77
196,1.006
197,1.444
198,1.438
199,1.779
200,0.2673
201,1.641
202,1.683
203,0.4457
204,-1.45
205,1.184
206,-0.2253
207,-1.031
208,1.14
209,0.952
210,-0.0111
211,0.2543
212,1.911
213,1.115
214,0.4933
215,0.4742
216,-0.5435
217,-0.1743
218,1.768
219,1.754
220,0.4078
221,0.2407
222,0.7065
223,0.2788
224,-0.1859
225,1.66
226,0.02409
227,0.3886
228,0.1131
229,-0.2933
230,0.9665
231,-0.813
232,0.9546
233,-0.2433
234,1.109
235,1.316
236,0.2241
237,0.9324
238,1.998
239,1.719
240,-0.2421
241,1.137
242,0.4433
243,-0.8308
244,1.463
245,1.68
246,0.7006
247,2.783
248,0.7517
249,0.7952
250,1.419
251,0.376
252,1.918
253,0.6965
254,0.9729
255,-0.5334
256,-0.2993
257,-0.1943
258,0.8919
259,1.685
260,-1.276
261,-0.3949
262,1.519
263,0.6834
264,1.074
265,0.1887
266,1.22
267,1.243
268,1.217
269,0.6815
270,0.7763
271,-0.7115
272,0.8712
273,-0.6716
274,-1.058
275,0.2473
276,-0.1366
277,-0.5909
278,0.5906
279,1.175
280,-0.2361
281,-0.6278
282,-0.104
283,-0.8112
284,0.05225
285,-0.1511
286,0.02018
287,0.287
288,1.043
289,0.3127
290,0.7747
291,0.1728
292,-0.4784
293,0.3132
294,1.329
295,-0.9325
296,0.4721
297,0.4089
298,0.07353
299,-0.02158
300,-0.1881
301,0.01391
302,0.429
303,-0.9167
304,0.6343
305,0.0342
306,0.7945
307,0.1693
308,-0.2554
309,-0.9032
310,0.3246
311,1.034
312,0.4829
313,1.48
314,1.228
315,0.7916
316,0.5284
317,1.059
318,0.2664
319,-0.5187
320,0.1774
321,0.2598
322,-0.4243
323,1.276
324,-0.379
325,-0.4188
326,0.7045
327,1.39
328,-0.7814
329,1.217
330,-1.431
331,0.5841
332,0.402
333,0.425
334,-0.8769
335,1.336
336,1.268
337,-0.3191
338,1.778
339,0.1903
340,-0.1065
341,-0.781
342,1.116
343,0.933
344,0.1292
345,-0.6346
346,0.3149
347,0.8019
348,1.124
349,0.5873
350,-0.328
351,0.5881
352,0.505
353,1.464
354,-0.07104
355,0.4183
356,0.6784
357,-0.6315
358,0.2354
359,0.7032
360,0.5641
361,0.4244
362,-0.05187
363,1.318
364,-0.3924
365,1.383
366,0.6118
367,0.2882
368,0.4806
369,0.9875
370,-0.7493
371,-0.3114
372,0.276
373,0.7783
374,0.2309
375,0.6389
376,-0.08662
377,-0.3666
378,0.1498
379,0.3174
380,0.04967
381,-1.126
382,0.7552
383,0.4851
384,-1.283
385,-0.2636
386,-0.4333
387,-0.4488
388,0.6184
389,1.275
390,-0.2146
391,-0.3424
392,1.355
393,0.001102
394,0.2965
395,0.9507
396,0.6774
397,-0.696
398,-0.1182
399,1.063
400,1.372
401,0.132
402,0.9305
403,0.671
404,0.1511
405,0.5272
406,0.656
407,-0.5112
408,-0.3764
409,0.9527
410,0.2115
411,1.07
412,0.2026
413,1.883
414,0.6444
415,0.3483
416,-0.5395
417,-0.9733
418,-0.02927
419,0.3782
420,-0.3554
421,0.3197
422,0.2051
423,0.2392
424,1.038
425,-0.3932
426,1.851
427,0.01111
428,-0.292
429,-0.38
430,0.4183
431,0.52
432,0.1681
433,-0.7389
434,1.317
435,-0.007616
436,-0.7632
437,-0.3696
438,0.1188
439,-0.5332
440,2.006
441,-0.07277
442,0.3653
443,0.0301
444,1.26
445,1.632
446,0.3047
447,0.1542
448,-0.0405
449,0.1376
450,0.6017
451,1.584
452,0.0364
453,0.238
454,-0.003292
455,-0.1004
456,0.688
457,0.9621
458,-0.1276
459,-0.2093
460,0.3895
461,-0.5814
462,1.344
463,-0.1036
464,0.2792
465,1.068
466,-0.003353
467,1.481
468,0.578
469,0.5037
470,-1.025
471,0.2513
472,0.08738
473,-0.2471
474,1.058
475,0.2156
476,1.092
477,-0.4795
478,0.6134
479,-0.4618
480,0.1862
481,1.163
482,0.6404
483,-1.153
484,1.051
485,0.6217
486,0.08544
487,0.7811
488,-0.9739
489,0.5839
490,0.689
491,0.1042
492,-0.08437
493,-0.3238
494,0.3415
495,0.5942
496,1.093
497,0.421
498,0.5777
499,1.028
500,-0.1956
501,0.5089
502,-1.017
503,0.623
504,-0.7335
505,0.3469
506,0.3352
507,1.333
508,0.2022
509,1.381
510,0.4265
511,-0.7846
512,0.002387
513,0.0169
514,-0.3795
515,0.7611
516,-0.1117
517,-0.06658
518,0.5347
519,-1.11
520,-0.4615
521,0.9096
522,0.4287
523,-0.536
524,0.9354
525,-0.9903
526,0.763
527,1.357
528,0.3773
529,1.819
530,-0.2493
531,0.635
532,0.2376
533,0.9101
534,-0.5609
535,-1.818
536,0.05133
537,-0.2296
538,-2.062
539,0.3944
540,-0.8162
541,1.019
542,0.6298
543,0.232
544,0.0264
545,0.7214
546,0.1109
547,-0.9516
548,-0.2488
549,0.6059
550,0.8214
551,0.5698
552,0.4856
553,-0.1162
554,1.829
555,-0.5694
556,1.028
557,0.9932
558,-0.267
559,1.757
560,-0.4047
561,-0.04545
562,-0.6548
563,-0.02689
564,1.886
565,0.7205
566,1.163
567,-0.108
568,1.42
569,1.386
570,-0.6303
571,-0.474
572,0.3399
573,0.4508
574,0.3549
575,-0.3002
576,2.463
577,-0.9098
578,1.358
579,-0.4953
580,0.1212
581,1.458
582,-0.5803
583,-1.51
584,1.442
585,-0.5699
586,0.8264
587,1.026
588,-0.2269
589,0.6876
590,-0.2338
591,0.2209
592,0.7913
593,-0.2457
594,1.843
595,-0.2258
596,0.3529
597,0.9219
598,1.711
599,0.1909
600,0.3447
601,0.8724
602,0.8013
603,0.8647
604,0.164
605,0.6059
606,1.409
607,-1.476
608,-0.4138
609,0.03973
610,0.3399
611,0.7837
612,0.4489
613,0.5705
614,-0.05736
615,-0.269
616,-0.5059
617,1.817
618,0.1358
619,0.8892
620,0.943
621,0.9216
622,0.2424
623,0.09201
624,1.117
625,0.004947
626,1.43
627,-0.851
628,0.4551
629,-0.4532
630,-0.5272
631,0.3034
632,-0.7699
633,0.5324
634,-0.3882
635,-1.631
636,0.5134
637,-0.178
638,-0.1358
639,0.388
640,1.252
641,0.9572
642,-0.6328
643,-0.5593
644,-0.01612
645,-0.2276
646,-0.4242
647,-0.2334
648,0.7201
649,1.045
650,0.8558
651,-0.1292
652,-0.1614
653,-0.9823
654,-0.4939
655,0.1513
656,-1.247
657,1.481
658,1.544
659,0.7726
660,0.9458
661,0.5549
662,1.146
663,0.4195
664,0.4789
665,0.2143
666,-0.5089
667,0.4329
668,0.2839
669,-0.6822
670,0.4941
671,-0.4827
672,-0.2538
673,0.1461
674,0.6939
675,0.3136
676,1.159
677,0.1761
678,0.2519
679,0.8042
680,0.7975
681,0.3479
682,0.593
683,0.1733
684,0.08028
685,-1.072
686,0.9423
687,-0.8101
688,-1.004
689,0.6173
690,-0.1474
691,0.6061
692,-0.4489
693,0.8214
694,-0.0874
695,0.7877
696,0.231
697,0.5679
698,-0.08536
699,-0.5186
700,0.7707
701,-0.7506
702,-0.3585
703,0.8033
704,0.8256
705,0.4663
706,-0.4624
707,0.3391
708,0.4909
709,2.128
710,0.009045
711,0.5333
712,-0.6835
713,1.078
714,-0.3665
715,-0.2213
716,1.376
717,0.1342
718,0.787
719,-0.07395
720,-0.465
721,0.2662
722,0.7488
723,-0.6424
724,-0.3726
725,-0.8159
726,-0.1118
727,1.47
728,0.352
729,-0.1411
730,-0.3777
731,0.8135
732,0.02563
733,0.149
734,1.07
735,0.7072
736,0.03666
737,-0.1879
738,-1.277
739,0.4615
740,0.4507
741,-0.08293
742,0.03757
743,0.2103
744,1.208
745,0.277
746,0.6902
747,0.3537
748,1.065
749,-0.3653
750,0.09283
751,0.6821
752,-0.01728
753,1.18
754,-0.1879
755,0.2648
756,0.1426
757,-0.5832
758,-0.3459
759,-0.3942
760,1.749
761,1.726
762,0.3628
763,0.08772
764,-0.539
765,0.7026
766,-0.7371
767,1.16
768,-0.2914
769,0.8604
770,1.17
771,0.5311
772,0.3225
773,-0.1802
774,-0.7668
775,0.691
776,0.169
777,0.3006
778,0.4509
779,1.047
780,1.408
781,-0.1242
782,0.7742
783,0.4025
784,-1.044
785,0.7281
786,0.6142
787,-0.7785
788,-0.009651
789,1.223
790,1.099
791,0.6894
792,-0.08981
793,-0.3147
794,-0.3996
795,1.091
796,0.4793
797,-1.049
798,1.54
799,0.2381
800,-0.1814
801,1.544
802,-0.5584
803,0.2372
804,-0.4245
805,-1.691
806,-0.5178
807,0.3644
808,-0.9203
809,0.6477
810,0.1851
811,-0.1546
812,1.65
813,-0.09382
814,-1
815,-0.2821
816,0.4501
817,1.379
818,0.8321
819,0.1554
820,0.8213
821,0.6838
822,-0.1332
823,-0.6589
824,1.263
825,1.079
826,0.5178
827,0.1332
828,1.862
829,-0.07021
830,1.549
831,0.1498
832,0.8757
833,-0.4098
834,0.08734
835,-0.2295
836,0.426
837,-0.4147
838,0.8429
839,-0.159
840,0.566
841,-0.5152
842,0.3627
843,0.9271
844,1.542
845,-2.742e-05
846,0.1007
847,0.3926
848,0.8239
849,1.289
850,0.5535
851,-0.3913
852,0.7958
853,0.0141
854,1.57
855,-0.1429
856,-0.3945
857,0.7884
858,1.645
859,-1.61
860,0.4573
861,0.5409
862,0.341
863,-0.3214
864,0.7658
865,1.546
866,-0.06111
867,-0.8649
868,0.4461
869,0.4107
870,1.239
871,-1.096
872,0.04546
873,1.108
874,-1.118
875,0.6278
876,-0.5877
877,0.7781
878,-0.8161
879,-0.5417
880,-0.6546
881,0.3583
882,0.4133
883,0.1027
884,0.2126
885,-0.09406
886,0.3394
887,0.1072
888,1.37
889,-0.153
890,0.7815
891,0.8452
892,-0.7593
893,-0.7208
894,1.321
895,0.1955
896,-0.3124
897,-0.2285
898,-0.3285
899,-0.3602
900,0.0894
901,0.8156
902,-0.4983
903,0.1389
904,0.4632
905,0.575
906,0.2511
907,-1.895
908,0.1465
909,0.6366
910,1.133
911,1.154
912,1.555
913,-0.3394
914,0.6261
915,0.2888
916,0.765
917,0.8448
918,1.07
919,0.0478
920,0.5392
921,0.7708
922,0.1499
923,0.4025
924,0.1184
925,-0.05109
926,1.298
927,-1.004
928,0.7425
929,0.3598
930,0.7297
931,0.2312
932,0.1759
933,0.4621
934,-2.306
935,1.008
936,0.08837
937,0.4244
938,-0.1456
939,-1.055
940,-0.2047
941,0.8034
942,-0.4492
943,0.1889
944,-0.9644
945,0.2458
946,0.6776
947,0.4349
948,0.3002
949,0.4289
950,0.3505
951,0.8095
952,-0.05329
953,0.5096
954,-0.1212
955,-0.8787
956,-0.1681
957,0.6733
958,-0.005866
959,-0.339
960,0.5568
961,1.686
962,0.5117
963,-1.08
964,0.6398
965,-0.5691
966,0.08339
967,0.9408
968,2.257
969,0.8296
970,0.4874
971,0.6674
972,0.1674
973,-0.9882
974,-0.4036
975,0.7498
976,-0.382
977,-0.922
978,0.9962
979,0.987
980,-0.1124
981,1.721
982,-0.425
983,0.8848
984,1.319
985,-0.1546
986,1.129
987,-0.3139
988,0.4438
989,-0.2812
990,-0.1314
991,0.1971
992,1.656
993,1.068
994,0.04329
995,1.243
996,-0.6221
997,0.1706
998,1.665
999,0.2728
1000,0.9883
1001,0.2732
1002,-0.13
1003,-0.0259
1004,-0.03636
1005,0.09683
1006,-0.1991
1007,-0.09743
1008,0.9193
1009,-0.2856
1010,0.1706
1011,0.3107
1012,1.038
1013,0.4711
1014,0.3434
1015,0.2828
1016,0.2278
1017,0.6155
1018,-0.5152
1019,1.142
1020,0.4176
1021,0.07514
1022,-0.5754
1023,0.5402
1024,0.6049
1025,-1.552
1026,0.3202
1027,0.117
1028,0.2152
1029,-0.01564
1030,0.9065
1031,0.5282
1032,0.08267
1033,-0.7824
1034,0.6143
1035,-0.002685
1036,0.7254
1037,0.02337
1038,1.015
1039,0.878
1040,1.032
1041,-0.5874
1042,-0.1233
1043,0.4653
1044,-1.379
1045,-0.5938
1046,0.5801
1047,-0.6172
1048,0.03425
1049,-0.1307
1050,2.124
1051,0.4051
1052,0.5055
1053,0.7557
1054,-0.01082
1055,0.5423
1056,0.03361
1057,0.3964
1058,0.346
1059,-1.016
1060,0.08334
1061,1.001
1062,-0.641
1063,-0.7815
1064,-0.9944
1065,0.5091
1066,1.715
1067,-0.04595
1068,0.4968
1069,1.108
1070,0.8176
1071,0.3768
1072,1.102
1073,-0.1886
1074,-0.2745
1075,0.3682
1076,-0.2052
1077,0.0897
1078,1.02
1079,-0.1037
1080,0.4641
1081,-1.403
1082,0.5609
1083,-0.6437
1084,-0.5139
1085,0.6154
1086,0.6515
1087,-0.819
1088,1.67
1089,0.2019
1090,-0.7945
1091,0.5152
1092,-0.5248
1093,0.4668
1094,0.1093
1095,-1.297
1096,-0.3049
1097,-0.8991
1098,-0.3246
1099,0.4608
1100,0.688
1101,-1.072
1102,0.7157
1103,0.4564
1104,0.02677
1105,0.5252
1106,-0.2148
1107,-0.3182
1108,0.2668
1109,1.186
1110,1.056
1111,-0.3707
1112,-0.5256
1113,-0.997
1114,0.5681
1115,0.601
1116,-0.575
1117,0.3355
1118,0.5694
1119,0.4293
1120,0.1893
1121,1.149
1122,1.159
1123,-0.5438
1124,0.83
1125,1.153
1126,-0.3918
1127,0.1765
1128,-0.0008674
1129,-0.7068
1130,-1.817
1131,-0.1928
1132,0.4145
1133,1.675
1134,0.6148
1135,0.4207
1136,0.1532
1137,0.3151
1138,-0.6901
1139,0.1383
1140,0.7397
1141,0.2935
1142,0.7553
1143,0.1495
1144,1.419
1145,0.1764
1146,0.6275
1147,1.401
1148,0.709
1149,-0.3598
1150,-0.01306
1151,-1.089
1152,-0.6417
1153,-0.7346
1154,-0.4807
1155,0.008276
1156,-0.211
1157,0.0173
1158,1.489
1159,-0.3826
1160,0.3925
1161,0.1071
1162,0.8155
1163,0.4698
1164,0.07801
1165,0.06106
1166,-0.1902
1167,0.8768
1168,0.3306
1169,-1.286
1170,0.2663
1171,0.3939
1172,1.045
1173,-1.075
1174,1.647
1175,-0.4064
1176,-0.2053
1177,0.5211
1178,0.05618
1179,0.6953
1180,-0.3207
1181,0.9595
1182,0.7246
1183,0.2874
1184,0.7119
1185,0.9228
1186,0.4227
1187,-0.2853
1188,0.1048
1189,0.202
1190,0.05546
1191,-0.4028
1192,0.3835
1193,0.3167
1194,-0.3584
1195,0.4162
1196,0.9351
1197,-0.4793
1198,-0.4966
1199,0.4326
1200,-0.3686
1201,0.1101
1202,0.4591
1203,1.047
1204,0.8535
1205,-0.9472
1206,0.5916
1207,0.1175
1208,0.42
1209,1.431
1210,0.8682
1211,0.5355
1212,1.37
1213,1.432
1214,-0.1803
1215,0.5092
1216,-0.2709
1217,1.37
1218,0.5628
1219,1.154
1220,0.5346
1221,-0.4336
1222,-0.2198
1223,0.8228
1224,0.1419
1225,1.034
1226,1.476
1227,1.492
1228,0.0255
1229,-0.6155
1230,0.06405
1231,1.181
1232,-0.1837
1233,-0.5463
1234,-0.4898
1235,1.693
1236,-0.8968
1237,0.5745
1238,0.8714
1239,0.9097
1240,-0.3083
1241,-0.4862
1242,0.9265
1243,-0.007917
1244,0.4152
1245,-0.132
1246,0.7537
1247,1.471
1248,-0.3674
1249,0.6722
1250,0.3353
1251,0.5154
1252,-0.1292
1253,0.8204
1254,0.2601
1255,-0.6274
1256,0.7962
1257,0.2232
1258,-1.041
1259,-0.08914
1260,0.8225
1261,-0.2486
1262,-1.434
1263,1.154
1264,-0.7596
1265,-0.7548
1266,-0.2197
1267,-0.9376
1268,0.2543
1269,0.1884
1270,0.1594
1271,0.2976
1272,0.2677
1273,0.4519
1274,0.4348
1275,0.2906
1276,1.045
1277,0.3814
1278,0.247
1279,-0.1637
1280,0.1649
1281,-0.2252
1282,-0.09384
1283,-0.4485
1284,-0.8686
1285,-0.9323
1286,0.07756
1287,1.516
1288,1.206
1289,0.06162
1290,1.063
1291,0.2637
1292,0.9528
1293,-0.0005236
1294,1.269
1295,1.479
1296,0.6433
1297,0.03518
1298,-0.2944
1299,1.034
1300,0.7553
1301,0.6843
1302,0.4267
1303,0.02015
1304,-0.6707
1305,1.019
1306,-0.07942
1307,1.642
1308,-0.5847
1309,-0.3076
1310,0.3118
1311,-0.6424
1312,0.8491
1313,0.1479
1314,0.8555
1315,0.9245
1316,0.6725
1317,-0.6846
1318,1.697
1319,-0.04583
1320,0.8201
1321,-0.3529
1322,1.135
1323,0.283
1324,0.6111
1325,-0.291
1326,-0.8889
1327,0.6148
1328,-1.794
1329,0.6073
1330,1.55
1331,-1.15
1332,1.512
1333,0.1038
1334,0.6177
1335,0.003146
1336,0.9687
1337,0.881
1338,-0.07124
1339,1.113
1340,-1.013
1341,1.904
1342,0.2628
1343,0.5061
1344,-0.561
1345,0.1287
1346,-0.2374
1347,0.6324
1348,0.6658
1349,0.009895
1350,-0.2688
1351,1.142
1352,0.843
1353,0.9409
1354,0.7781
1355,0.9116
1356,-0.1741
1357,0.2572
1358,0.1738
1359,0.07008
1360,-0.08
1361,-0.182
1362,-0.6885
1363,0.5275
1364,-0.501
1365,0.2398
1366,1.145
1367,-0.485
1368,0.06243
1369,0.485
1370,-0.5735
1371,0.8091
1372,0.6035
1373,-0.07996
1374,0.2591
1375,-0.416
1376,0.3176
1377,0.8868
1378,1.075
1379,-0.1599
1380,0.2233
1381,1.628
1382,0.3391
1383,-0.1918
1384,0.6891
1385,-0.5079
1386,0.6135
1387,0.5596
1388,0.0204
1389,-0.01688
1390,1.095
1391,-0.1576
1392,1.364
1393,1.474
1394,0.4273
1395,-1.274
1396,-1.48
1397,-0.1791
1398,-0.676
1399,0.9555
1400,0.09529
1401,0.1489
1402,0.6321
1403,-0.3957
1404,-0.4472
1405,0.05748
1406,0.1304
1407,0.6532
1408,0.3232
1409,1.323
1410,-0.02556
1411,0.5228
1412,-0.153
1413,0.6383
1414,-1.528
1415,0.9274
1416,-0.4035
1417,-0.3707
1418,0.5294
1419,-1.15
1420,0.7515
1421,-0.02783
1422,0.4001
1423,0.3929
1424,0.4223
1425,-0.02486
1426,1.174
1427,1.451
1428,-0.2142
1429,0.6598
1430,-0.5
1431,0.475
1432,1.052
1433,1.166
1434,0.8343
1435,0.2772
1436,-0.8376
1437,0.2339
1438,-0.1175
1439,-0.3689
1440,0.2799
