MDTU,plaq,Re(det),Im(det),link
1,1.13405,0.432587,0.0614347,0.133603
2,1.21426,0.530545,0.072779,0.143469
3,1.27287,0.624226,0.0846577,0.15019
4,1.30939,0.67617,0.0889793,0.154353
5,1.35439,0.713842,0.0955973,0.161069
6,1.37127,0.71829,0.0959407,0.163485
7,1.38616,0.729644,0.0971779,0.165652
8,1.41875,0.811282,0.105696,0.16874
9,1.42461,0.802939,0.10289,0.169927
10,1.43176,0.807822,0.107378,0.171225
11,1.44722,0.874394,0.114889,0.171916
12,1.43473,0.923524,0.11722,0.168888
13,1.44285,0.949811,0.123373,0.169598
14,1.4263,0.873047,0.112789,0.168667
15,1.46617,0.938754,0.119629,0.17431
16,1.46395,0.937036,0.12196,0.173902
17,1.47166,0.972961,0.124823,0.17449
18,1.48727,0.963249,0.125883,0.177422
19,1.49827,1.06177,0.136411,0.177024
20,1.53603,1.2004,0.150142,0.180571
21,1.52807,1.11187,0.138445,0.180888
22,1.52807,1.11187,0.138445,0.180888
23,1.53169,1.09504,0.135569,0.182228
24,1.53825,1.04149,0.13366,0.184713
25,1.53825,1.04149,0.13366,0.184713
26,1.50665,0.948744,0.124481,0.181301
27,1.53027,1.00719,0.131079,0.183935
28,1.52727,0.988206,0.126994,0.183707
29,1.5148,0.917823,0.11933,0.183416
30,1.5188,0.958582,0.125345,0.183344
31,1.54606,1.04426,0.135361,0.186107
32,1.51505,0.960798,0.127035,0.182935
33,1.51505,0.960798,0.127035,0.182935
34,1.53162,1.01277,0.131262,0.184603
35,1.56449,1.14249,0.147782,0.187238
36,1.56449,1.14249,0.147782,0.187238
37,1.54307,1.12752,0.144334,0.184057
38,1.53716,1.09094,0.14012,0.183426
39,1.52903,1.01754,0.132011,0.183716
40,1.554,1.12317,0.144458,0.186075
41,1.554,1.12317,0.144458,0.186075
42,1.56001,1.11148,0.145681,0.187083
43,1.56001,1.11148,0.145681,0.187083
44,1.59084,1.21155,0.155228,0.190625
45,1.59084,1.21155,0.155228,0.190625
46,1.5858,1.24332,0.156983,0.189344
47,1.5858,1.24332,0.156983,0.189344
48,1.5858,1.24332,0.156983,0.189344
49,1.5858,1.24332,0.156983,0.189344
50,1.60006,1.32962,0.167541,0.190004
51,1.60006,1.32962,0.167541,0.190004
52,1.61259,1.44638,0.178968,0.189967
53,1.64178,1.59334,0.200253,0.192622
54,1.64178,1.59334,0.200253,0.192622
55,1.64178,1.59334,0.200253,0.192622
56,1.64178,1.59334,0.200253,0.192622
57,1.64178,1.59334,0.200253,0.192622
58,1.64178,1.59334,0.200253,0.192622
59,1.6275,1.59328,0.196461,0.190373
60,1.6275,1.59328,0.196461,0.190373
61,1.64963,1.62925,0.205189,0.193565
62,1.64963,1.62925,0.205189,0.193565
63,1.61412,1.48583,0.186133,0.18954
64,1.60966,1.3821,0.176515,0.190497
