t,deltaS
1,1.802
2,1.78
3,1.826
4,1.854
5,-0.317
6,-0.1319
7,-0.1119
8,-0.05909
9,-0.04101
10,-0.07568
11,-0.01498
12,-0.2291
13,-0.6506
14,-0.3037
15,-0.1972
16,-0.543
17,-0.2013
18,-0.3992
19,-0.3774
20,-0.224
21,-0.1425
22,0.0628
23,-0.2007
24,-0.279
25,-0.01891
26,0.8663
27,-1.222
28,-0.3219
29,0.3197
30,-0.7876
31,-1.638
32,-0.01606
33,-0.8919
34,-0.2987
35,-1.297
36,-1.454
37,-0.09122
38,0.6413
39,-0.02608
40,-0.6737
41,-0.6239
42,-1.432
43,-1.147
44,-0.8987
45,-0.5483
46,-0.4489
47,-1.41
48,-1.01
49,-1.217
50,-0.3686
51,-2.085
52,-0.3125
53,-1.829
54,1.02
55,-1.595
56,0.00331
57,-0.3874
58,1.281
59,0.5602
60,-0.4327
61,-0.7968
62,-0.7748
63,-0.1556
64,-0.7398
65,-0.5491
66,-0.5071
67,-0.4354
68,-0.4167
69,0.2452
70,0.3955
71,-0.2237
72,0.7156
73,-0.7979
74,-1.279
75,-0.4939
76,0.09394
77,-0.6199
78,0.629
79,-0.2321
80,0.5073
81,-0.7835
82,1.474
83,-1.036
84,1.245
85,0.1714
86,-0.03667
87,0.3715
88,-0.7357
89,0.3745
90,-0.4825
91,0.7975
92,0.6194
93,1.12
94,-0.7904
95,-0.5757
96,-0.8342
97,-0.5457
98,-0.1769
99,-0.688
100,0.557
101,0.5787
102,0.842
103,-0.7251
104,-0.2381
105,0.7159
106,-1.441
107,-0.9884
108,1.434
109,-0.6598
110,-1.031
111,-0.3553
112,0.6286
113,-0.06797
114,0.009087
115,1.197
116,-0.2943
117,0.9567
118,-0.5141
119,-1.33
120,-0.1189
121,-0.8663
122,0.2124
123,0.3768
124,-0.1275
125,0.7339
126,0.5823
127,-0.09921
128,-1.146
129,0.08331
130,1.076
131,1.538
132,-1.096
133,-0.448
134,1.513
135,-1.397
136,-1.333
137,1.677
138,0.4452
139,-2.385
140,1.964
141,1.206
142,-0.8524
143,-0.6498
144,-0.05975
145,0.2718
146,1.324
147,-0.9473
148,0.5554
149,-1.981
150,0.4886
151,0.5247
152,-0.6951
153,1.674
154,0.6081
155,0.8691
156,0.3746
157,-0.8912
158,0.2792
159,1.566
160,-0.277
161,-0.5339
162,-0.6648
163,-0.2033
164,0.3724
165,-0.9745
166,-0.4683
167,0.5603
168,-0.3847
169,-0.042
170,-0.6383
171,0.2557
172,0.3339
173,1.405
174,0.215
175,-0.4172
176,0.9445
177,-1.786
178,-0.2046
179,1.881
180,1.541
181,0.4608
182,0.6733
183,1.928
184,0.2133
185,-0.4928
186,-1.214
187,2.056
188,1.357
189,-0.1477
190,0.3246
191,-0.05783
192,-0.207
193,-0.7912
194,0.7669
195,0.2953
196,-0.2618
197,-1.243
198,2.08
199,-0.2248
200,1.18
201,2.019
202,-1.079
203,1.048
204,-1.673
205,0.1473
206,0.7456
207,0.5428
208,-0.5234
209,0.6373
210,0.2229
211,-0.7767
212,1.14
213,-0.3839
214,-0.03901
215,2.468
216,-1.051
217,-0.3889
218,0.1487
219,-0.5853
220,0.589
221,-0.08938
222,0.1827
223,0.05311
