t,deltaS
1,0.7878
2,-0.03202
3,-0.2093
4,-0.145
5,-0.1733
6,-0.1856
7,-0.2041
8,-0.1773
9,-0.175
10,-0.1777
11,-0.7303
12,-0.6076
13,-0.5253
14,-0.4924
15,-0.4085
16,-0.6573
17,-0.5559
18,-0.4482
19,-0.4501
20,-0.5116
21,-0.605
22,-0.4691
23,-0.4363
24,-0.5872
25,-0.4204
26,-0.6898
27,-0.6432
28,-0.6776
29,-0.546
30,-0.5637
31,-0.2862
32,-0.9071
33,-0.5158
34,-0.8197
35,-0.7772
36,-0.7976
37,-0.8015
38,-0.8729
39,-0.05126
40,-0.6703
41,-0.405
42,-0.951
43,-0.6916
44,-0.9799
45,-0.9525
46,-0.5384
47,-0.8925
48,-0.6567
49,-0.9152
50,-0.8978
51,-0.2707
52,-1.005
53,-1.12
54,-0.3723
55,-0.7137
56,-0.8422
57,-0.3956
58,-0.7275
59,-0.8542
60,-1.224
61,-0.4531
62,-0.06454
63,-0.8899
64,-0.4524
65,-0.4987
66,-0.3743
67,-1.204
68,-0.3889
69,-0.9327
70,-1.36
71,-1.165
72,-0.66
73,-0.9682
74,-1.632
75,-0.3902
76,-1.094
77,-0.6694
78,-0.02359
79,0.1473
80,-0.9049
81,-0.9224
82,-1.519
83,-0.2894
84,-0.4396
85,-1.22
86,-1.054
87,-0.565
88,-0.1395
89,-0.2411
90,0.02333
91,-0.9442
92,-1.086
93,-0.07321
94,-1.041
95,-1.212
96,-1.05
97,-0.09868
98,-0.4949
99,0.1841
100,0.3367
101,-2.683
102,0.276
103,-0.4855
104,0.8863
105,0.4026
106,0.02061
107,-0.9023
108,-1.622
109,-0.6139
110,-0.6004
111,-1.34
112,-0.3081
113,0.3208
114,-0.5115
115,-1.427
116,-1.087
117,-0.2483
118,-0.9387
119,-0.4644
120,-0.8986
121,-1.077
122,-0.3291
123,-1.418
124,0.4264
125,0.6155
126,0.4269
127,-2.131
128,-1.074
129,0.1733
130,-0.8182
131,0.2689
132,-0.4428
133,-0.3991
134,-0.1472
135,-0.8588
136,0.1877
137,-0.1254
138,0.273
139,0.7123
140,0.8933
141,-0.3443
142,-0.9484
143,-0.3533
144,-0.8503
145,-0.8164
146,0.2028
147,-0.5306
148,-0.4227
149,-0.6621
150,0.2661
151,1.302
152,0.2238
153,-1.33
154,-0.7934
155,0.2188
156,0.1143
157,0.7552
158,-2.411
159,-0.634
160,-2.177
161,-0.3484
162,-0.7429
163,-1.134
164,1.384
165,-0.7772
166,0.201
167,-1.23
168,-0.7246
169,0.3441
170,-0.1965
171,-2.123
172,-0.4155
173,0.1135
174,-0.1598
175,-2.004
176,-0.1059
177,-0.5339
178,1.087
179,0.1508
180,-0.4153
181,-0.04085
182,-1.018
183,-0.6777
184,0.2762
185,-0.03391
186,-0.1931
187,0.1953
188,-0.2454
189,-0.1568
190,-1.725
191,0.6176
192,0.8978
193,-0.5571
194,-2.769
195,-0.4961
196,-0.2119
197,-1.815
198,-0.3935
199,-0.5945
200,-0.2316
201,-0.8217
202,-0.7544
203,-2.629
204,-0.4783
205,-0.1947
206,0.8353
207,0.4718
208,0.2154
209,-0.8029
210,0.1114
211,-0.5843
212,-0.2927
213,0.5948
214,0.7313
215,-0.1347
216,0.06148
217,0.006624
218,0.7197
219,0.06523
220,0.4829
221,-0.4301
222,0.5705
223,-1.255
224,-0.29
225,0.8041
226,0.3135
227,-0.5769
228,0.1341
229,-0.6306
230,0.3674
231,-0.606
232,0.2805
233,-0.3612
234,-0.9265
235,0.1317
236,-0.6273
237,0.1916
238,0.5855
239,-0.1344
240,-0.2325
241,-0.888
242,-0.3071
243,-2.15
244,0.9004
245,1.241
246,-0.4783
247,-0.3543
248,0.07234
249,-0.4225
250,1.429
251,-1.409
252,0.7405
253,-0.1719
254,0.9186
255,0.002363
256,0.3407
257,-0.3255
258,0.5859
259,-0.8028
260,1.389
261,1.069
262,-0.5464
263,0.3122
264,-0.9213
265,-0.8115
266,-0.4224
267,-0.9009
268,-0.8534
269,-0.2744
270,0.8891
271,-0.7871
272,-0.7695
273,0.4786
274,0.02045
275,-1.099
276,-0.881
277,2.104
278,1.22
279,-0.2383
280,-1.862
281,-1.355
282,0.5593
283,-1.949
284,1.556
285,0.3299
286,0.5557
287,1.332
288,0.1527
289,1.047
290,0.4476
291,0.08261
292,-0.6666
293,0.1811
294,0.5198
295,-0.2288
296,0.3762
297,-1.199
298,0.04537
299,0.3299
300,0.01566
301,1.067
302,1.87
303,-0.04195
304,-0.2664
305,-0.04625
306,-0.4903
307,0.07178
308,0.2479
309,-0.1207
310,1.249
311,0.4477
312,1.692
313,0.742
314,-1.225
315,0.6899
316,-0.5945
317,0.1383
318,0.5398
319,-0.1813
320,0.9238
321,0.779
322,0.2352
323,1.114
324,1.351
325,-0.2591
326,-0.3772
327,1.272
328,0.4265
329,0.1997
330,0.5714
331,0.06524
332,-0.06993
333,1.149
334,0.1368
335,-0.03842
336,-1.136
337,0.3412
338,-0.1964
339,0.8813
340,0.4899
341,0.3303
342,-0.6376
343,-0.6167
344,-0.9666
345,-0.8473
346,-0.728
347,0.8865
348,-0.6026
349,-1.08
350,1.614
351,0.7341
352,2.072
353,-0.8604
354,0.7321
355,-1.157
356,-0.1774
357,1.264
358,-0.5815
359,-1.034
360,0.994
361,1.36
362,0.9775
363,0.785
364,0.7752
365,-0.5974
366,0.2355
367,-1.176
368,-2.11
369,-0.3256
370,-0.8227
371,0.07713
372,0.971
373,1.107
374,-0.2389
375,0.048
376,-0.7194
377,-0.194
378,0.6362
379,0.3273
380,0.369
381,0.4056
382,1.583
383,1.21
384,-0.2288
385,1.671
386,0.7624
387,-0.1808
388,0.5562
389,1.234
390,0.7188
391,-3.003
392,0.8846
393,-0.6342
394,-1.224
395,1.095
396,-0.1062
397,-0.6737
398,-1.7
399,1.353
400,0.3789
401,-0.08003
402,-0.3129
403,0.4783
404,0.5092
405,0.2694
406,0.6747
407,1.257
408,-0.8303
409,0.1022
410,-0.5748
411,0.8611
412,0.3475
413,-0.8324
414,-1.5
415,2.39
416,2.155
417,0.415
418,-0.2427
419,-0.4536
420,0.5883
421,-0.8615
422,1.498
423,-0.2237
424,1.979
425,-1.034
426,1.729
427,-0.5001
428,2.52
429,0.5665
430,-1.16
431,-1.486
432,-1.351
433,0.6362
434,0.624
435,0.02677
436,0.4375
437,0.534
438,-0.243
439,-0.9132
440,0.4054
441,0.4862
442,0.528
443,1.537
444,0.9217
