t,walltime
10,1360
20,1395
30,717.5
40,717.4
50,443.7
60,445.5
70,435.9
80,457.5
90,460.8
100,471.5
110,431.3
120,432.9
130,438.5
140,425.8
150,431.8
160,435
170,433.7
180,431
190,431.6
200,434.9
210,453.9
220,452.7
230,342
240,346.3
250,343
260,343.3
270,351.3
280,349.4
290,339.7
300,341.6
310,341.2
320,341.5
330,340.9
340,343.9
350,339.7
360,337.6
370,343.9
380,338.6
390,342.5
400,343.1
410,341.1
420,341.9
430,361.1
440,369.9
450,365.5
460,369.2
470,374.7
480,370.5
490,355.3
500,349.6
510,355.3
520,354
530,352.1
540,354.3
550,350.4
560,349.8
570,348.6
580,347.4
590,359.5
600,374.7
610,370.4
620,348.2
630,354.7
640,359.7
650,353.3
660,354.6
670,355.4
680,363.8
690,365.8
700,367.1
710,366.3
720,385.8
730,366.8
740,352.4
750,356.1
760,355.1
770,347
780,358
790,374.7
800,369.6
810,373.1
820,369.1
830,373.5
840,374
850,377.9
860,369.7
870,369.9
880,369.8
890,372.1
900,378.7
910,389.8
920,388.5
930,387.6
940,380
950,381.8
960,387.8
970,377.8
980,372.4
990,380.4
1000,374.6
1010,376.3
1020,377.4
1030,353.6
1040,352.5
1050,353.3
1060,354.6
1070,351.6
1080,351.3
1090,351.3
1100,351
1110,349.9
1120,352.4
1130,352.8
1140,358
1150,352.9
1160,351.5
1170,348.8
1180,354.7
1190,349.4
1200,352.6
1210,352.7
1220,364
1230,370.9
1240,378.2
1250,372.1
1260,369.1
1270,367.9
1280,365
1290,369
1300,360.3
1310,358.5
1320,360.3
1330,357.6
1340,375.4
1350,359.4
1360,356.2
1370,359.7
1380,370.6
1390,372.4
1400,371.1
1410,369.2
1420,369.1
1430,358.1
1440,359.3
1450,358.2
1460,359.2
1470,357.6
1480,356.4
1490,354.9
1500,353.7
1510,345.8
1520,344.2
1530,342.8
1540,347.8
1550,351.1
1560,343.7
1570,342.8
1580,343.4
1590,348.2
1600,356.1
1610,354.9
1620,358.6
1630,382.8
1640,377.9
1650,376.9
1660,368
1670,364.6
1680,365.2
1690,363.5
1700,365.8
1710,364.9
1720,363.6
1730,364.4
1740,364.5
1750,362.5
1760,361.9
1770,375.1
1780,386.7
1790,386.7
1800,384.3
1810,392.7
1820,380.1
1830,354.3
1840,363.2
1850,347.9
1860,362.3
1870,365.2
1880,365.4
1890,365.8
1900,360.1
1910,339.2
1920,340.3
1930,342.4
1940,343.7
1950,339.1
1960,349.5
1970,355.1
1980,366.1
1990,359.1
2000,374.6
2010,359.2
2020,352.4
2030,368.7
2040,378.5
2050,375.6
2060,377.2
2070,379.5
2080,372.3
2090,380
2100,381
2110,377.3
2120,385.2
2130,376.2
2140,373.8
2150,379
2160,367.3
2170,372.9
2180,377.1
2190,381.2
2200,372.3
2210,358.9
2220,375.2
2230,367.3
2240,362.1
2250,368
2260,367.7
2270,366.8
2280,365.6
2290,361.8
2300,356.4
2310,354.2
2320,353.5
2330,355.3
2340,356.3
2350,357.7
2360,356.7
2370,356.9
2380,382.4
2390,363.2
2400,373.8
2410,367.9
2420,372.5
2430,340.6
2440,356.9
2450,396.8
2460,395.9
2470,413.4
2480,397.2
2490,395.6
2500,398.7
2510,395.8
2520,397.9
2530,376.4
2540,342
2550,337.2
2560,337.5
2570,338.2
2580,338.5
2590,337
2600,349.1
2610,367.9
2620,369
2630,367
2640,373.4
2650,366.9
2660,368.9
2670,370.1
2680,363.7
2690,367.2
2700,366.8
2710,368.4
2720,365.2
2730,366
2740,355.6
2750,356.3
2760,355.8
2770,353.9
2780,356
2790,357.4
2800,352.7
