MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,23.7221,14.7375,-18.5889
2,14.457,9.21495,-11.1396
3,13.2424,8.64859,-10.0281
4,11.7551,7.67709,-8.90194
5,10.695,7.18498,-7.92203
6,10.083,6.78288,-7.46056
7,9.44262,6.23181,-7.0942
8,8.89597,5.77928,-6.763
9,8.00147,5.28102,-6.01119
10,7.51732,4.86436,-5.73133
11,7.43196,4.74526,-5.71983
12,7.08508,4.4683,-5.49843
13,6.72496,4.01194,-5.39717
14,6.38941,3.73482,-5.18418
15,6.16773,3.70232,-4.93291
16,6.10178,3.83627,-4.74497
17,5.70434,3.3903,-4.58752
18,5.65088,3.33923,-4.55873
19,5.35028,3.09092,-4.36711
20,5.12267,2.9513,-4.18707
21,4.9441,3.0062,-3.92515
22,4.74687,2.92743,-3.73671
23,4.47133,2.7519,-3.52417
24,4.32423,2.52744,-3.50871
25,4.34957,2.61192,-3.47803
26,4.35472,2.44509,-3.60349
27,4.22768,2.38408,-3.49133
28,4.14159,2.33976,-3.41735
29,4.03551,2.37053,-3.26587
30,4.03214,2.3472,-3.27854
31,3.95681,2.14068,-3.32774
32,3.85988,1.97247,-3.31784
33,3.68999,1.82494,-3.20712
34,3.67675,1.81188,-3.19931
35,3.70638,1.70525,-3.2908
36,3.69248,1.67441,-3.29101
37,3.64432,1.66395,-3.24228
38,3.50136,1.48186,-3.17232
39,3.48755,1.46905,-3.16305
40,3.39354,1.3367,-3.11919
41,3.40665,1.45417,-3.0807
42,3.40873,1.53914,-3.04146
43,3.41363,1.51824,-3.05742
44,3.41363,1.51824,-3.05742
45,3.33948,1.5062,-2.98052
46,3.41262,1.52336,-3.05374
47,3.17363,1.38181,-2.85701
48,3.25283,1.35965,-2.95504
49,3.12176,1.15992,-2.89827
50,3.10056,1.13133,-2.88679
51,2.96965,1.06051,-2.77383
52,2.91772,0.948914,-2.7591
53,2.88059,0.850254,-2.75224
54,2.86343,0.741988,-2.76563
55,2.83766,0.787642,-2.72616
56,2.87625,0.850646,-2.74758
57,2.86237,0.863605,-2.72898
58,2.92834,0.816859,-2.8121
59,2.83966,0.709438,-2.74961
60,2.78781,0.659303,-2.70873
61,2.73722,0.607978,-2.66885
62,2.64594,0.532413,-2.59182
63,2.579,0.580381,-2.51284
64,2.65835,0.63642,-2.58105
65,2.61978,0.741943,-2.51253
66,2.61428,0.801361,-2.48843
67,2.63314,0.75014,-2.52403
68,2.61746,0.783428,-2.49747
69,2.61641,0.69275,-2.52303
70,2.59768,0.665558,-2.51097
71,2.60552,0.760436,-2.49209
72,2.51263,0.619112,-2.43516
73,2.43424,0.591382,-2.36131
74,2.3328,0.608782,-2.25197
75,2.34389,0.700776,-2.23667
76,2.29092,0.723571,-2.17365
77,2.31579,0.686949,-2.21156
78,2.31527,0.765944,-2.18491
79,2.26822,0.629669,-2.17907
80,2.18486,0.659139,-2.08306
81,2.15408,0.539388,-2.08546
82,2.12097,0.445082,-2.07374
83,2.0714,0.496302,-2.01106
84,2.10594,0.530043,-2.03815
85,2.03904,0.505219,-1.97546
86,1.99766,0.579058,-1.9119
87,1.99471,0.543887,-1.91913
88,2.00036,0.548065,-1.92381
89,1.96236,0.532354,-1.88877
90,1.99105,0.516695,-1.92284
91,1.958,0.487009,-1.89647
92,1.98273,0.422613,-1.93716
93,1.95201,0.441072,-1.90152
94,1.93329,0.407115,-1.88994
95,1.96225,0.430395,-1.91447
96,1.94226,0.498489,-1.8772
97,1.90006,0.426978,-1.85147
98,1.95277,0.472174,-1.89483
99,1.96072,0.405568,-1.91832
100,1.97202,0.313335,-1.94697
101,1.93666,0.266456,-1.91824
102,1.91824,0.254235,-1.90132
103,1.90882,0.218029,-1.89633
104,1.92486,0.166753,-1.91763
105,1.91091,0.24244,-1.89547
106,1.91271,0.177086,-1.9045
107,1.93011,0.0842439,-1.92827
108,1.87304,0.11986,-1.8692
109,1.87012,0.0546548,-1.86932
110,1.8478,0.0273739,-1.8476
111,1.8401,-0.0169888,-1.84002
112,1.87809,0.0574018,-1.87721
113,1.87809,0.0574018,-1.87721
114,1.88951,-0.011315,-1.88948
115,1.87974,-0.0152685,-1.87967
116,1.8111,0.00791303,-1.81108
117,1.89133,0.023426,-1.89119
118,1.81098,-0.0128858,-1.81093
119,1.82216,-0.0197753,-1.82205
120,1.75828,-0.0113404,-1.75824
121,1.72886,-0.0570244,-1.72792
122,1.75858,-0.100503,-1.7557
123,1.7629,-0.202439,-1.75124
124,1.79072,-0.273586,-1.7697
125,1.796,-0.286621,-1.77298
126,1.76366,-0.286955,-1.74016
127,1.76366,-0.286955,-1.74016
128,1.76366,-0.286955,-1.74016
129,1.7333,-0.276999,-1.71102
130,1.78158,-0.256168,-1.76306
131,1.82207,-0.3027,-1.79675
132,1.82207,-0.3027,-1.79675
133,1.79121,-0.272209,-1.77041
134,1.75359,-0.255121,-1.73493
135,1.74251,-0.277849,-1.72022
136,1.70573,-0.214399,-1.6922
137,1.71272,-0.219493,-1.6986
138,1.73242,-0.265188,-1.712
139,1.68967,-0.251542,-1.67084
140,1.67994,-0.222492,-1.66514
141,1.67994,-0.222492,-1.66514
142,1.67994,-0.222492,-1.66514
143,1.68122,-0.195171,-1.66985
144,1.6474,-0.281198,-1.62322
145,1.6474,-0.281198,-1.62322
146,1.65484,-0.280831,-1.63084
147,1.66406,-0.199529,-1.65205
148,1.67479,-0.117591,-1.67066
149,1.66863,-0.102938,-1.66545
150,1.66569,-0.0271551,-1.66547
151,1.67965,0.006822,-1.67963
152,1.67965,0.006822,-1.67963
153,1.70417,0.028785,-1.70393
154,1.74869,-0.0100018,-1.74866
155,1.69431,0.0205643,-1.69419
156,1.69431,0.0205643,-1.69419
157,1.71439,-0.00238428,-1.71439
158,1.74326,0.0154119,-1.7432
159,1.76922,-0.0629257,-1.7681
160,1.76922,-0.0629257,-1.7681
161,1.74683,-0.0835757,-1.74483
162,1.7464,-0.0982833,-1.74363
163,1.72286,-0.149748,-1.71634
164,1.72286,-0.149748,-1.71634
165,1.6844,-0.213011,-1.67087
166,1.65962,-0.200534,-1.64746
167,1.68159,-0.205347,-1.669
168,1.66544,-0.20838,-1.65235
169,1.68363,-0.26395,-1.66281
170,1.67116,-0.259965,-1.65082
171,1.65898,-0.284139,-1.63447
172,1.6916,-0.283109,-1.66774
173,1.64485,-0.234754,-1.62801
174,1.64933,-0.280183,-1.62535
175,1.64819,-0.310648,-1.61865
176,1.65612,-0.366835,-1.61499
177,1.66672,-0.339991,-1.63168
178,1.6702,-0.375562,-1.62743
179,1.67233,-0.390865,-1.62602
180,1.70858,-0.389359,-1.66362
181,1.70858,-0.389359,-1.66362
182,1.69424,-0.4215,-1.64097
183,1.69424,-0.4215,-1.64097
184,1.7176,-0.448595,-1.65798
185,1.65673,-0.374966,-1.61374
186,1.68938,-0.371117,-1.64812
187,1.67166,-0.403621,-1.6222
188,1.60524,-0.437816,-1.54438
189,1.59311,-0.429367,-1.53416
190,1.6193,-0.487211,-1.54427
191,1.62343,-0.501306,-1.54409
192,1.71509,-0.562269,-1.62031
193,1.67083,-0.569847,-1.57065
194,1.66694,-0.602188,-1.55437
195,1.64745,-0.576128,-1.54342
196,1.61369,-0.538952,-1.52102
197,1.61369,-0.538952,-1.52102
198,1.67637,-0.57352,-1.57521
199,1.67941,-0.532235,-1.59284
200,1.70239,-0.473221,-1.63529
201,1.70279,-0.459256,-1.63969
202,1.69028,-0.528841,-1.60542
203,1.69028,-0.528841,-1.60542
204,1.71255,-0.552286,-1.62105
205,1.71255,-0.552286,-1.62105
206,1.69087,-0.582884,-1.58723
207,1.65671,-0.573865,-1.55414
208,1.66575,-0.514731,-1.58422
209,1.64253,-0.458789,-1.57716
210,1.67277,-0.505347,-1.59461
211,1.67236,-0.433846,-1.6151
212,1.67236,-0.433846,-1.6151
213,1.60883,-0.435596,-1.54874
214,1.62515,-0.403075,-1.57437
215,1.62515,-0.403075,-1.57437
216,1.62515,-0.403075,-1.57437
217,1.60686,-0.431244,-1.54791
218,1.60686,-0.431244,-1.54791
219,1.6018,-0.4429,-1.53936
220,1.61235,-0.357708,-1.57217
221,1.5792,-0.220968,-1.56366
222,1.57833,-0.244684,-1.55925
223,1.57124,-0.185972,-1.5602
224,1.55008,-0.181712,-1.53939
225,1.55008,-0.181712,-1.53939
226,1.55811,-0.203944,-1.5447
227,1.55811,-0.203944,-1.5447
228,1.57657,-0.11481,-1.57239
229,1.59762,-0.103863,-1.59424
230,1.59762,-0.103863,-1.59424
231,1.51534,-0.0767321,-1.51339
232,1.5647,-0.109597,-1.56085
233,1.59953,-0.156394,-1.59186
234,1.58947,-0.120914,-1.58486
235,1.63433,-0.116021,-1.6302
236,1.61984,-0.141562,-1.61364
237,1.65252,-0.14254,-1.64636
238,1.65256,-0.186047,-1.64205
239,1.68981,-0.209445,-1.67678
240,1.68981,-0.209445,-1.67678
241,1.65161,-0.182404,-1.64151
242,1.65161,-0.182404,-1.64151
243,1.61015,-0.191974,-1.59866
244,1.58549,-0.146229,-1.57873
245,1.58549,-0.146229,-1.57873
246,1.58549,-0.146229,-1.57873
247,1.55462,-0.214638,-1.53974
248,1.53076,-0.205392,-1.51692
249,1.58068,-0.242536,-1.56196
250,1.57129,-0.256496,-1.55021
251,1.58424,-0.2065,-1.57072
252,1.5471,-0.25253,-1.52635
253,1.5471,-0.25253,-1.52635
254,1.5471,-0.25253,-1.52635
255,1.5471,-0.25253,-1.52635
256,1.51134,-0.257386,-1.48927
257,1.50448,-0.243438,-1.48465
258,1.48697,-0.251805,-1.46549
259,1.48697,-0.251805,-1.46549
260,1.46499,-0.323954,-1.42872
261,1.52069,-0.283048,-1.49411
262,1.52069,-0.283048,-1.49411
263,1.45689,-0.321715,-1.42092
264,1.46303,-0.347762,-1.42109
265,1.41526,-0.438642,-1.34556
266,1.41526,-0.438642,-1.34556
267,1.37928,-0.493621,-1.28792
268,1.37928,-0.493621,-1.28792
269,1.37928,-0.493621,-1.28792
270,1.42026,-0.543249,-1.31226
271,1.42026,-0.543249,-1.31226
272,1.42026,-0.543249,-1.31226
273,1.42026,-0.543249,-1.31226
274,1.40823,-0.569362,-1.28799
275,1.41902,-0.575938,-1.29689
276,1.3918,-0.549221,-1.27885
277,1.37141,-0.543061,-1.2593
278,1.38856,-0.526835,-1.28474
279,1.38856,-0.526835,-1.28474
280,1.42455,-0.543942,-1.31661
281,1.44398,-0.548242,-1.33586
282,1.44398,-0.548242,-1.33586
283,1.44398,-0.548242,-1.33586
284,1.46798,-0.519657,-1.37293
285,1.43192,-0.430457,-1.36569
286,1.46681,-0.449764,-1.39615
287,1.46681,-0.449764,-1.39615
288,1.52914,-0.506423,-1.44284
289,1.49275,-0.512694,-1.40194
290,1.49275,-0.512694,-1.40194
291,1.50161,-0.505051,-1.41412
292,1.42803,-0.459506,-1.35208
293,1.44119,-0.422894,-1.37775
294,1.50518,-0.532539,-1.40782
295,1.50518,-0.532539,-1.40782
296,1.50674,-0.553699,-1.40132
297,1.5145,-0.522461,-1.42153
298,1.5145,-0.522461,-1.42153
299,1.4792,-0.491498,-1.39516
300,1.46423,-0.513678,-1.37117
301,1.46423,-0.513678,-1.37117
302,1.46423,-0.513678,-1.37117
303,1.43154,-0.546842,-1.32297
304,1.46337,-0.499931,-1.37532
305,1.43589,-0.456992,-1.36123
306,1.43589,-0.456992,-1.36123
307,1.44926,-0.487496,-1.36481
308,1.44926,-0.487496,-1.36481
309,1.46076,-0.488693,-1.37659
310,1.46076,-0.488693,-1.37659
311,1.41988,-0.494744,-1.33089
312,1.40811,-0.539257,-1.30076
313,1.40811,-0.539257,-1.30076
314,1.38666,-0.550104,-1.27288
315,1.39435,-0.556269,-1.27858
316,1.37308,-0.555944,-1.2555
317,1.38102,-0.53367,-1.27374
318,1.41794,-0.564722,-1.30063
319,1.41794,-0.564722,-1.30063
320,1.42669,-0.540371,-1.3204
321,1.42933,-0.523599,-1.32997
322,1.45239,-0.525918,-1.35383
323,1.40171,-0.514757,-1.30377
324,1.40171,-0.514757,-1.30377
325,1.37243,-0.538153,-1.26252
326,1.37243,-0.538153,-1.26252
327,1.36147,-0.533876,-1.25243
328,1.40587,-0.579228,-1.28101
329,1.40656,-0.629965,-1.2576
330,1.42611,-0.652169,-1.26825
331,1.42611,-0.652169,-1.26825
332,1.42611,-0.652169,-1.26825
333,1.42611,-0.652169,-1.26825
334,1.42611,-0.652169,-1.26825
335,1.41217,-0.704019,-1.22417
336,1.41217,-0.704019,-1.22417
337,1.39575,-0.672453,-1.22308
338,1.36845,-0.659995,-1.19877
339,1.36845,-0.659995,-1.19877
340,1.35944,-0.636224,-1.20137
341,1.35944,-0.636224,-1.20137
342,1.39051,-0.636249,-1.23641
343,1.43182,-0.679406,-1.26036
344,1.4632,-0.731805,-1.26704
345,1.4632,-0.731805,-1.26704
346,1.4632,-0.731805,-1.26704
347,1.4829,-0.790044,-1.25492
348,1.50046,-0.750689,-1.29918
349,1.50046,-0.750689,-1.29918
350,1.51272,-0.809587,-1.27785
351,1.53815,-0.840326,-1.28831
352,1.57469,-0.831465,-1.33727
353,1.55213,-0.854619,-1.29565
354,1.62821,-0.97427,-1.30455
355,1.62821,-0.97427,-1.30455
356,1.62821,-0.97427,-1.30455
357,1.54054,-0.930732,-1.2276
358,1.54054,-0.930732,-1.2276
359,1.54054,-0.930732,-1.2276
360,1.57838,-0.93237,-1.27356
361,1.57838,-0.93237,-1.27356
362,1.63771,-1.01176,-1.2878
363,1.63771,-1.01176,-1.2878
364,1.58679,-0.999355,-1.23256
365,1.6342,-1.04695,-1.2548
366,1.63055,-1.0667,-1.23323
367,1.63055,-1.0667,-1.23323
368,1.63055,-1.0667,-1.23323
369,1.6594,-1.07474,-1.26434
370,1.6594,-1.07474,-1.26434
371,1.62862,-1.05422,-1.24138
372,1.62862,-1.05422,-1.24138
373,1.62862,-1.05422,-1.24138
374,1.62862,-1.05422,-1.24138
375,1.62862,-1.05422,-1.24138
376,1.62862,-1.05422,-1.24138
377,1.62862,-1.05422,-1.24138
378,1.71878,-1.06087,-1.35232
379,1.68034,-1.02413,-1.33218
380,1.70386,-1.0527,-1.33976
381,1.65395,-1.10831,-1.22767
382,1.66911,-1.09124,-1.26298
383,1.66911,-1.09124,-1.26298
384,1.66982,-1.11056,-1.24697
385,1.69082,-1.05611,-1.32041
386,1.64651,-0.97106,-1.32968
387,1.68399,-1.0497,-1.3168
388,1.68399,-1.0497,-1.3168
389,1.69463,-1.07333,-1.31138
390,1.67606,-0.986268,-1.35516
391,1.69711,-0.985492,-1.38166
392,1.69711,-0.985492,-1.38166
393,1.65475,-0.958069,-1.34918
394,1.70548,-0.985984,-1.39158
395,1.7034,-0.988772,-1.38705
