t,deltaS
1,-0.3516
2,0.01733
3,-0.3026
4,-0.1303
5,-0.1481
6,-0.05688
7,-0.2179
8,-0.07099
9,-0.08947
10,-0.1792
11,-0.1917
12,-0.169
13,-0.1022
14,-0.1243
15,-0.1039
16,-0.1613
17,-0.0876
18,-0.01128
19,-0.1182
20,-0.07024
21,-0.5218
22,-0.435
23,-0.6136
24,-0.5024
25,-0.1221
26,-0.3599
27,-0.3165
28,-0.5653
29,-0.7402
30,-0.5236
31,-0.3807
32,-0.04987
33,-0.1687
34,-0.1979
35,-0.3344
36,-0.3501
37,-0.1806
38,-0.4068
39,-0.4474
40,-0.02694
41,-1.486
42,-0.6267
43,-0.9832
44,0.04998
45,-1.309
46,-0.04985
47,-0.5563
48,-0.4814
49,-0.1239
50,-1.368
51,-1.394
52,-1.04
53,-0.3658
54,-0.1555
55,0.1606
56,-1.073
57,-1.029
58,-0.5197
59,-0.7742
60,-0.9665
61,-0.2167
62,-0.4872
63,-0.3088
64,0.1778
65,-0.7125
66,-0.9949
67,-0.3214
68,-0.7211
69,-1.106
70,-0.02289
71,-0.3669
72,-0.8775
73,-0.3039
74,-1.411
75,0.4567
76,-0.631
77,-1.426
78,-0.7806
79,-0.887
80,-0.1002
81,-0.6336
82,-0.2045
83,-0.6272
84,0.4647
85,-0.675
86,-0.07011
87,0.06089
88,-0.06573
89,-0.466
90,-0.1528
91,-0.5929
92,0.2253
93,-0.3614
94,-0.1425
95,-0.8596
96,-1.029
97,-0.0907
98,0.3134
99,-1.546
100,-0.7862
101,0.5572
102,-0.4294
103,-1.187
104,-0.3103
105,-0.6322
106,-0.3443
107,-0.556
108,-1.391
109,-0.8552
110,-1.021
111,-0.4067
112,-1.228
113,0.183
114,-0.0219
115,-0.3019
116,-0.3396
117,-0.1146
118,0.04116
119,-0.2136
120,-0.2199
121,0.05607
122,-0.5223
123,-0.2878
124,-0.69
125,-0.3397
126,-0.2914
127,1.171
128,0.5922
129,-0.4917
130,-0.609
131,-0.1274
132,0.2841
133,-0.3191
134,-0.4547
135,-0.1173
136,-0.4371
137,-0.138
138,0.1055
139,-1.641
140,0.05244
141,1.288
142,2.259
143,0.1731
144,-0.3279
145,0.5733
146,-0.8684
147,0.5142
148,-0.3161
149,0.5768
150,-0.4811
151,0.5744
152,0.6094
153,-1.112
154,0.374
155,-0.9413
156,0.5878
157,-1.272
158,-1.398
159,0.4349
160,1.164
161,-0.2327
162,0.755
163,-1.182
164,0.9447
165,-0.5134
166,1.004
167,0.3075
168,-0.03529
169,-0.1002
170,-0.05993
171,-1.202
172,0.6345
