MDTU,min_ave,max_ave
1,-0.103639,0.19304
2,-0.109213,0.188983
3,-0.107696,0.190496
4,-0.110387,0.189225
5,-0.109981,0.189456
6,-0.1104,0.189584
7,-0.11096,0.189052
8,-0.110549,0.189192
9,-0.111512,0.188787
10,-0.112527,0.188716
11,-0.112531,0.187529
12,-0.113695,0.186698
13,-0.115303,0.186264
14,-0.115416,0.186224
15,-0.11566,0.185925
16,-0.116613,0.185616
17,-0.118807,0.184391
18,-0.119611,0.183783
19,-0.120516,0.184339
20,-0.121317,0.182162
21,-0.122142,0.182524
22,-0.122312,0.18226
23,-0.121797,0.182318
24,-0.121534,0.183209
25,-0.121797,0.183308
26,-0.121832,0.183209
27,-0.122204,0.18217
28,-0.122204,0.18217
29,-0.123586,0.182343
30,-0.123385,0.181766
31,-0.124012,0.181319
32,-0.123792,0.181742
33,-0.123792,0.181742
34,-0.12526,0.181582
35,-0.12526,0.181582
36,-0.126377,0.180086
37,-0.127595,0.179607
38,-0.129018,0.179289
39,-0.128763,0.178526
40,-0.128763,0.178526
41,-0.128395,0.179149
42,-0.130428,0.178465
43,-0.130963,0.178087
44,-0.132876,0.177278
45,-0.133849,0.177041
46,-0.134214,0.176054
47,-0.133672,0.176075
48,-0.134286,0.176379
49,-0.13497,0.176196
50,-0.137179,0.175116
51,-0.135483,0.175703
52,-0.137012,0.17504
53,-0.137012,0.17504
54,-0.137487,0.1751
55,-0.137487,0.1751
56,-0.136905,0.175945
57,-0.136905,0.175945
58,-0.136905,0.175945
59,-0.136165,0.175685
60,-0.13733,0.17554
61,-0.13733,0.17554
62,-0.136247,0.175875
63,-0.137326,0.17576
64,-0.135525,0.176083
65,-0.135268,0.176563
66,-0.135268,0.176563
67,-0.135165,0.176246
68,-0.135518,0.176075
69,-0.13716,0.175863
70,-0.136526,0.176366
71,-0.137474,0.176411
72,-0.137474,0.176411
73,-0.137474,0.176411
74,-0.137474,0.176411
75,-0.138085,0.175496
76,-0.138735,0.17506
77,-0.138742,0.175201
78,-0.139045,0.175042
79,-0.139045,0.175042
80,-0.139355,0.174693
81,-0.139519,0.174588
82,-0.141188,0.173495
83,-0.143343,0.172778
84,-0.143688,0.172692
85,-0.14555,0.171677
86,-0.146734,0.170259
87,-0.146734,0.170259
88,-0.146247,0.170382
89,-0.14745,0.170073
90,-0.146469,0.17065
91,-0.146469,0.17065
92,-0.146862,0.17056
93,-0.147617,0.170443
94,-0.147617,0.170443
95,-0.147617,0.170443
96,-0.14829,0.169657
97,-0.14865,0.168796
98,-0.149477,0.168406
99,-0.149056,0.169168
100,-0.147866,0.169425
101,-0.148847,0.169283
