MDTU,link
457,1.02426
458,1.02304
459,1.02419
460,1.02419
461,1.02339
462,1.02187
463,1.02059
464,1.02059
465,1.02066
466,1.01933
467,1.01908
468,1.01916
469,1.01791
470,1.01791
471,1.02021
472,1.01816
473,1.01558
474,1.01485
475,1.01505
476,1.01505
477,1.01461
478,1.01485
479,1.01631
480,1.01631
481,1.01417
482,1.01767
483,1.01767
484,1.01767
485,1.01698
486,1.01845
487,1.01879
488,1.01868
489,1.0196
490,1.0201
491,1.01821
492,1.01821
493,1.01821
494,1.0195
495,1.02005
496,1.01885
497,1.02043
498,1.02043
499,1.0193
500,1.0193
501,1.01841
502,1.01841
503,1.0199
504,1.0199
505,1.01977
506,1.01885
507,1.02133
508,1.02098
509,1.02173
510,1.02109
511,1.02109
512,1.02134
513,1.02134
514,1.02181
515,1.02181
516,1.02108
517,1.02214
518,1.02131
519,1.02131
520,1.01993
521,1.02012
522,1.01995
523,1.01995
524,1.02004
525,1.02033
526,1.02191
527,1.02108
528,1.02271
529,1.02133
530,1.01948
531,1.02111
532,1.02052
533,1.01958
534,1.01958
535,1.01791
536,1.01959
537,1.01763
538,1.01456
539,1.01456
540,1.01322
541,1.01309
542,1.01244
543,1.0135
544,1.0135
545,1.0135
546,1.01315
547,1.01456
548,1.015
549,1.01503
550,1.0158
551,1.0158
552,1.01681
553,1.01681
554,1.01681
555,1.01741
556,1.01887
557,1.02058
558,1.01942
559,1.01575
560,1.01909
561,1.0186
562,1.01834
563,1.01887
564,1.01743
565,1.01795
566,1.01844
567,1.01914
568,1.01843
569,1.01789
570,1.01821
571,1.01857
572,1.01857
573,1.01857
574,1.01857
575,1.0195
576,1.01908
577,1.01908
578,1.01944
579,1.01944
580,1.02069
581,1.02069
582,1.02089
583,1.01952
584,1.01988
585,1.01988
586,1.02021
587,1.02021
588,1.02008
589,1.01947
590,1.02058
591,1.02058
592,1.02146
593,1.0223
594,1.02295
595,1.02295
596,1.02295
597,1.02295
598,1.02295
599,1.02295
600,1.02232
601,1.02244
602,1.02244
603,1.02244
604,1.02244
605,1.02267
606,1.02275
607,1.0219
608,1.02355
609,1.02355
610,1.02341
611,1.02277
612,1.02175
613,1.02175
614,1.02153
615,1.02153
616,1.02153
617,1.02153
618,1.02153
619,1.02153
620,1.02275
621,1.02171
622,1.02253
623,1.02139
624,1.02221
625,1.02221
626,1.0209
627,1.02051
628,1.02051
629,1.02051
630,1.01963
631,1.02218
632,1.02262
633,1.02447
634,1.02392
635,1.0245
636,1.024
637,1.02416
638,1.02394
639,1.0227
640,1.0227
641,1.0227
642,1.02293
643,1.02207
644,1.02223
645,1.02245
646,1.02263
647,1.02421
648,1.02421
649,1.02421
650,1.02349
651,1.02349
652,1.0225
653,1.0225
654,1.02154
655,1.02137
656,1.02137
657,1.02137
658,1.02176
659,1.02187
660,1.02211
661,1.02211
662,1.02211
663,1.02215
664,1.02147
665,1.02147
666,1.02147
667,1.02142
668,1.01954
669,1.02103
670,1.02103
671,1.02022
672,1.02081
673,1.01882
674,1.01882
