ReTr(L),ImTr(L)
7.24343,10.0682
6.20417,8.57381
5.54177,7.67096
5.18594,7.09316
4.80127,6.69217
4.38114,6.52966
3.93612,6.16655
3.48135,6.26065
3.11724,6.25552
3.13998,6.2013
2.87678,6.05653
2.63802,5.64822
2.55449,5.67275
2.59563,5.75061
2.72664,5.41932
2.38158,5.30958
2.49494,5.15494
2.39959,4.86132
2.425,4.7857
2.44983,4.61506
2.27092,4.23016
2.26205,4.14763
2.3915,4.10199
2.29667,4.08796
2.17632,4.03886
2.06931,4.06862
1.96916,3.97869
1.91728,4.03563
1.85363,3.90137
1.85767,3.95731
1.89385,3.7668
1.94822,3.64929
1.8635,3.69509
1.72173,3.7439
1.77913,3.63709
1.73133,3.60692
1.77416,3.61899
1.79612,3.53073
1.83167,3.4637
1.86413,3.44301
1.86413,3.44301
1.87676,3.49827
1.87676,3.49827
1.91208,3.39321
1.98585,3.22627
1.98462,3.14741
1.99064,3.12346
1.89086,3.1522
1.96625,3.20892
1.87499,3.19214
1.85287,3.14572
1.73094,3.1031
1.89111,3.05452
1.87146,3.04761
1.91205,2.88274
1.87721,2.81591
1.9364,2.69691
1.83975,2.64847
1.86545,2.63706
1.86545,2.63706
1.86545,2.63706
1.83598,2.6347
1.83279,2.58687
1.80549,2.56145
1.8364,2.63729
1.83286,2.55683
1.88214,2.62923
1.84804,2.6471
1.80797,2.66658
1.81338,2.60503
1.85435,2.57646
1.72693,2.53914
1.68494,2.38529
1.68494,2.38529
1.76333,2.33939
1.76333,2.33939
1.70674,2.39228
1.7434,2.32529
1.78354,2.30582
1.84332,2.15763
1.89955,2.14238
1.92106,2.18473
1.92621,2.20089
1.86413,2.19548
1.89184,2.09558
1.89184,2.09558
2.01135,2.08837
2.01561,1.99274
2.01807,2.02397
2.01384,2.11792
2.09427,2.15857
1.98268,2.15904
1.98268,2.15904
1.9945,2.15221
1.9945,2.15221
2.02735,2.1491
1.9688,2.13538
1.9688,2.13538
2.00679,2.05267
2.00679,2.05267
2.03261,1.96287
2.03604,2.02699
1.99794,1.99143
1.92077,1.96171
1.86259,1.96874
1.80688,2.00104
1.80688,2.00104
1.86764,2.0079
1.94754,2.0195
1.94754,2.0195
1.94754,2.0195
1.96123,1.93183
1.91468,2.02758
1.91468,2.02758
1.87938,2.0028
1.85755,1.93536
1.80838,1.98873
1.80838,1.98873
1.80838,1.98873
1.87361,1.97471
1.83674,1.92772
1.83674,1.92772
1.93537,1.93388
1.97358,2.05653
1.97358,2.05653
2.02538,1.95661
2.02538,1.95661
2.06454,1.89736
2.06454,1.89736
2.06446,1.91852
2.07488,1.88047
2.0786,1.84891
2.0927,1.86086
2.0398,1.83017
2.04002,1.69464
2.12396,1.75628
2.14925,1.66308
2.19958,1.6784
2.09382,1.75499
2.04617,1.78784
1.99356,1.78297
1.98059,1.79347
2.00703,1.77109
2.00463,1.78007
1.93585,1.81872
1.92534,1.71379
2.0158,1.66662
2.0158,1.66662
2.0158,1.66662
2.02443,1.69109
2.01441,1.63879
2.01441,1.63879
1.98529,1.66394
2.02866,1.66509
2.02866,1.66509
1.96757,1.65933
1.96757,1.65933
1.92855,1.61343
1.92055,1.61144
1.9917,1.63277
1.97617,1.5501
1.94973,1.54564
1.94973,1.54564
1.90413,1.51393
1.91331,1.58961
1.91143,1.63962
1.93775,1.57718
1.94773,1.46543
1.94773,1.46543
1.94773,1.46543
1.89067,1.50407
1.90832,1.48294
1.92105,1.46489
1.92105,1.46489
1.89073,1.4575
1.92578,1.42785
1.92578,1.42785
1.93825,1.5113
1.91953,1.52359
1.91953,1.52359
1.87295,1.57338
1.87295,1.57338
1.94256,1.56221
1.94256,1.56221
1.94256,1.56221
1.96716,1.58107
1.96716,1.58107
1.96716,1.58107
1.91579,1.5014
1.91579,1.5014
1.91579,1.5014
1.85013,1.6333
1.90283,1.52571
1.89265,1.50732
1.89265,1.50732
1.7713,1.5088
1.79147,1.49966
1.76507,1.51212
1.76507,1.51212
1.76507,1.51212
1.79768,1.42338
1.80641,1.48341
1.80469,1.51928
1.73982,1.48685
1.72225,1.44804
1.72225,1.44804
1.72225,1.44804
1.7871,1.43054
1.80741,1.36329
1.80741,1.36329
1.80741,1.36329
1.78982,1.28563
1.80191,1.26718
1.83863,1.27399
1.87819,1.25975
1.87819,1.25975
1.87819,1.25975
1.87819,1.25975
1.87819,1.25975
1.82777,1.29805
1.79619,1.31371
1.72457,1.33472
1.75968,1.31589
1.75968,1.31589
1.75968,1.31589
1.75968,1.31589
1.75968,1.31589
1.75968,1.31589
1.75968,1.31589
1.75968,1.31589
1.75968,1.31589
1.7379,1.39759
1.70582,1.3786
1.7918,1.36203
1.7918,1.36203
1.7918,1.36203
1.7918,1.36203
1.78099,1.29727
1.79658,1.20139
1.79658,1.20139
1.77374,1.18787
1.77374,1.18787
1.74964,1.21457
1.75909,1.25719
1.75909,1.25719
1.75909,1.25719
1.75909,1.25719
1.75909,1.25719
1.75909,1.25719
1.86959,1.25906
1.86302,1.23111
1.86302,1.23111
1.95868,1.20169
1.92327,1.12045
1.92341,1.03941
1.92341,1.03941
1.92341,1.03941
1.92341,1.03941
1.96403,1.03262
1.98813,1.10008
1.98813,1.10008
1.98813,1.10008
1.95472,1.13958
1.98556,1.04857
1.95006,1.0697
1.93157,0.970681
1.93157,0.970681
1.93157,0.970681
1.97874,0.916558
2.01119,0.851803
2.01119,0.851803
2.05788,0.81652
2.03692,0.837259
2.01534,0.823883
2.08276,0.814534
2.08276,0.814534
2.07307,0.73488
2.07307,0.73488
2.07307,0.73488
2.13916,0.754377
2.05744,0.812587
2.05744,0.812587
2.03005,0.819816
2.03005,0.819816
2.11059,0.784259
2.13632,0.738189
2.13632,0.738189
2.14458,0.709885
2.14878,0.704574
2.14878,0.704574
2.2228,0.592533
2.19429,0.511181
2.23093,0.50093
2.23093,0.50093
2.1892,0.522106
2.2672,0.39912
2.27203,0.338609
2.2127,0.282351
2.14776,0.413678
2.14796,0.455777
2.13231,0.362584
2.13015,0.364458
2.11705,0.406364
2.11705,0.406364
2.20248,0.371903
2.18052,0.343536
2.19704,0.326461
2.19704,0.326461
2.19704,0.326461
2.16374,0.360351
2.16374,0.360351
2.12246,0.29473
2.07429,0.294721
2.1183,0.299849
2.1183,0.299849
2.11916,0.32585
2.11916,0.32585
2.13876,0.322595
2.15981,0.284046
2.13467,0.306821
2.22795,0.335354
2.19051,0.302935
2.13443,0.344628
2.07881,0.302004
2.07881,0.302004
2.11262,0.436765
2.11262,0.436765
2.12586,0.431342
2.12586,0.431342
2.13974,0.488647
2.14188,0.422227
2.124,0.495406
2.124,0.495406
2.08494,0.506804
2.09111,0.572273
2.1036,0.549895
2.1036,0.549895
2.1036,0.549895
2.03104,0.554404
2.07268,0.440355
2.11148,0.413416
2.11148,0.413416
2.12084,0.452429
2.11727,0.391954
2.11871,0.412435
2.05289,0.359754
2.09077,0.402209
2.08329,0.389112
2.07262,0.44569
2.07262,0.44569
1.95872,0.524275
1.95872,0.524275
1.95872,0.524275
1.95872,0.524275
2.03798,0.52692
1.90803,0.651443
2.03015,0.59118
2.12728,0.605784
2.05203,0.629924
2.05203,0.629924
2.11348,0.657882
2.07175,0.618455
2.07175,0.618455
2.07175,0.618455
2.07175,0.618455
2.05497,0.676401
2.05161,0.699208
2.0357,0.637211
2.0357,0.637211
2.0357,0.637211
2.02879,0.680022
1.99008,0.608949
2.09245,0.632707
2.09245,0.632707
2.10963,0.59174
2.10963,0.59174
1.98012,0.486153
1.98012,0.486153
2.01149,0.420802
2.03484,0.450524
2.0108,0.412364
2.07569,0.415345
2.00933,0.375342
2.08628,0.394179
2.08628,0.394179
2.08628,0.394179
2.05135,0.428767
2.05387,0.471771
2.10343,0.471455
2.10343,0.471455
2.10343,0.471455
2.06526,0.419758
2.01373,0.469935
2.05313,0.474088
1.997,0.400628
1.997,0.400628
2.08648,0.373643
2.02942,0.340667
2.02942,0.340667
2.02942,0.340667
2.08842,0.367483
2.02584,0.368025
2.019,0.394052
2.01693,0.295088
2.01693,0.295088
2.01693,0.295088
2.01693,0.295088
1.95885,0.242335
2.06018,0.309331
2.03288,0.314108
2.06288,0.276272
2.08849,0.220967
2.08849,0.220967
2.05232,0.176272
2.10324,0.102833
2.06598,0.0620573
2.10067,-0.015795
2.10067,-0.015795
2.07423,0.0387264
2.11331,-0.0658386
2.07542,0.0221256
2.09806,-0.00751283
2.05803,0.0343378
2.06502,-0.0280193
2.16405,-0.00694045
2.16405,-0.00694045
2.21919,-0.0631865
2.23616,-0.112034
2.21497,-0.0150628
2.18718,-0.0689695
2.18718,-0.0689695
2.18718,-0.0689695
2.10181,-0.0745773
2.17274,-0.119533
2.2659,-0.144975
2.2659,-0.144975
2.205,-0.289393
2.17415,-0.192762
2.17415,-0.192762
2.13188,-0.198024
2.16832,-0.262052
2.16832,-0.262052
2.25791,-0.323057
2.25791,-0.323057
2.25791,-0.323057
2.25791,-0.323057
2.25791,-0.323057
2.17208,-0.278496
2.17208,-0.278496
2.10134,-0.292589
2.11972,-0.269698
2.14855,-0.329008
2.14855,-0.329008
2.17738,-0.411842
2.14851,-0.345662
2.14851,-0.345662
2.14851,-0.345662
2.14851,-0.345662
2.11183,-0.335528
2.11183,-0.335528
2.16108,-0.395335
2.16108,-0.395335
2.09922,-0.403687
2.02019,-0.404263
2.02019,-0.404263
2.08874,-0.339202
2.08331,-0.340626
2.15322,-0.313519
2.14471,-0.463257
2.13696,-0.450994
2.16598,-0.422684
2.16598,-0.422684
2.16598,-0.422684
2.16598,-0.422684
2.16598,-0.422684
2.14344,-0.433654
2.14344,-0.433654
2.14344,-0.433654
2.18986,-0.486193
2.18986,-0.486193
2.16865,-0.523039
2.17994,-0.501009
2.17994,-0.501009
2.15078,-0.486495
2.18453,-0.400816
2.18453,-0.400816
2.18453,-0.400816
2.14354,-0.465348
2.16699,-0.463675
2.16737,-0.3884
2.16737,-0.3884
2.16889,-0.393121
2.13319,-0.360826
2.13319,-0.360826
2.16866,-0.305409
2.09987,-0.219123
2.09987,-0.219123
2.15078,-0.28659
2.15078,-0.28659
2.1541,-0.337482
2.16416,-0.375588
2.21583,-0.38334
2.18028,-0.384346
2.18028,-0.384346
2.16629,-0.376707
2.17947,-0.412284
2.18765,-0.393584
2.18765,-0.393584
2.18765,-0.393584
2.17561,-0.465085
2.14353,-0.429611
2.06101,-0.440293
1.94797,-0.448394
1.99637,-0.448216
1.99822,-0.433398
1.96906,-0.362826
1.96906,-0.362826
2.01799,-0.292095
1.98486,-0.328006
1.98486,-0.328006
1.9965,-0.384672
1.9965,-0.384672
2.01744,-0.391375
2.12223,-0.40769
2.12223,-0.40769
2.12223,-0.40769
2.09709,-0.450887
2.06414,-0.412758
2.00544,-0.439222
1.9451,-0.416722
1.90888,-0.411752
1.87694,-0.40689
1.92212,-0.392061
1.9883,-0.467567
1.9883,-0.467567
2.00672,-0.383672
1.97904,-0.341872
1.97904,-0.341872
2.02093,-0.31012
2.02093,-0.31012
2.0701,-0.306042
2.11196,-0.356725
2.10213,-0.420864
2.10076,-0.447185
2.08593,-0.416613
2.12207,-0.349952
2.12207,-0.349952
2.12207,-0.349952
2.12207,-0.349952
2.18784,-0.296927
2.20114,-0.379092
2.2382,-0.363483
2.206,-0.342084
2.15581,-0.3208
2.25359,-0.340177
2.23647,-0.304564
2.23647,-0.304564
2.2317,-0.222769
2.22771,-0.23038
2.17787,-0.294803
2.22332,-0.25282
2.1674,-0.291823
2.1674,-0.291823
2.1674,-0.291823
2.1674,-0.291823
2.1674,-0.291823
2.19441,-0.260575
2.12048,-0.296671
2.14902,-0.309826
2.14902,-0.309826
2.12969,-0.32723
2.12969,-0.32723
2.12969,-0.32723
2.12969,-0.32723
2.07639,-0.226759
2.07639,-0.226759
