t,eps_f,eps_g
10,0.005,0.000138889
20,0.0166667,0.000925926
30,0.025,0.00138889
40,0.0294118,0.00163399
50,0.0294118,0.00163399
60,0.0294118,0.00163399
70,0.0294118,0.00163399
80,0.0294118,0.00163399
90,0.0294118,0.00163399
100,0.0294118,0.00163399
110,0.0294118,0.00163399
120,0.0294118,0.00163399
130,0.0294118,0.00163399
140,0.0294118,0.00163399
150,0.0294118,0.00163399
160,0.03125,0.00173611
170,0.03125,0.00173611
180,0.03125,0.00173611
190,0.03125,0.00173611
200,0.03125,0.00173611
210,0.03125,0.00173611
220,0.03125,0.00173611
230,0.03125,0.00173611
240,0.03125,0.00173611
250,0.03125,0.00173611
260,0.0294118,0.00183824
270,0.0294118,0.00163399
280,0.0294118,0.00163399
290,0.0294118,0.00163399
300,0.0294118,0.00163399
310,0.0294118,0.00163399
320,0.0294118,0.00163399
330,0.0294118,0.00163399
340,0.0294118,0.00163399
350,0.0294118,0.00163399
360,0.0294118,0.00163399
370,0.0294118,0.00163399
380,0.0294118,0.00163399
390,0.0294118,0.00163399
400,0.0294118,0.00163399
410,0.0294118,0.00163399
420,0.0294118,0.00163399
430,0.0294118,0.00163399
440,0.0294118,0.00163399
450,0.0294118,0.00163399
460,0.0294118,0.00163399
470,0.0294118,0.00163399
480,0.0294118,0.00163399
490,0.0294118,0.00163399
500,0.0294118,0.00163399
510,0.0294118,0.00163399
520,0.0294118,0.00163399
530,0.0294118,0.00163399
540,0.0294118,0.00163399
550,0.0294118,0.00163399
560,0.0294118,0.00163399
570,0.0294118,0.00163399
580,0.0294118,0.00163399
590,0.0294118,0.00163399
600,0.0294118,0.00163399
610,0.0294118,0.00163399
620,0.0294118,0.00163399
630,0.0294118,0.00163399
640,0.0294118,0.00163399
650,0.0294118,0.00163399
660,0.0294118,0.00163399
670,0.0294118,0.00163399
680,0.0294118,0.00163399
690,0.0294118,0.00163399
700,0.0294118,0.00163399
710,0.0294118,0.00163399
720,0.0294118,0.00163399
730,0.0294118,0.00163399
740,0.0294118,0.00163399
750,0.0294118,0.00163399
760,0.0294118,0.00163399
770,0.0294118,0.00163399
780,0.0294118,0.00163399
790,0.0294118,0.00163399
800,0.0294118,0.00163399
810,0.0294118,0.00163399
820,0.0294118,0.00163399
830,0.0294118,0.00163399
840,0.0294118,0.00163399
850,0.0294118,0.00163399
860,0.0294118,0.00163399
870,0.0294118,0.00163399
880,0.0294118,0.00163399
890,0.0294118,0.00163399
900,0.0294118,0.00163399
910,0.0294118,0.00163399
920,0.0294118,0.00163399
930,0.0294118,0.00163399
940,0.0294118,0.00163399
950,0.0294118,0.00163399
960,0.0294118,0.00163399
970,0.0294118,0.00163399
980,0.0294118,0.00163399
990,0.0294118,0.00163399
1000,0.0294118,0.00163399
1010,0.0294118,0.00163399
1020,0.0294118,0.00163399
1030,0.0294118,0.00163399
1040,0.0294118,0.00163399
1050,0.0294118,0.00163399
1060,0.0294118,0.00163399
1070,0.0294118,0.00163399
1080,0.0294118,0.00163399
1090,0.0294118,0.00163399
1100,0.0294118,0.00163399
1110,0.0294118,0.00163399
1120,0.0294118,0.00163399
1130,0.0294118,0.00163399
1140,0.0294118,0.00163399
1150,0.0294118,0.00163399
1160,0.0294118,0.00163399
1170,0.0294118,0.00163399
1180,0.0294118,0.00163399
1190,0.0294118,0.00163399
1200,0.0294118,0.00163399
1210,0.0294118,0.00163399
1220,0.0294118,0.00163399
1230,0.0294118,0.00163399
1240,0.0294118,0.00163399
1250,0.0294118,0.00163399
1260,0.0294118,0.00163399
1270,0.0294118,0.00163399
1280,0.0294118,0.00163399
1290,0.0294118,0.00163399
1300,0.0294118,0.00163399
1310,0.0294118,0.00163399
1320,0.0294118,0.00163399
1330,0.0294118,0.00163399
1340,0.0294118,0.00163399
1350,0.0294118,0.00163399
1360,0.0294118,0.00163399
1370,0.0294118,0.00163399
1380,0.0294118,0.00163399
1390,0.0294118,0.00163399
1400,0.0294118,0.00163399
1410,0.0294118,0.00163399
1420,0.0294118,0.00163399
1430,0.0294118,0.00163399
1440,0.0294118,0.00163399
1450,0.0294118,0.00163399
1460,0.0294118,0.00163399
1470,0.0294118,0.00163399
1480,0.0294118,0.00163399
1490,0.0294118,0.00163399
1500,0.0294118,0.00163399
1510,0.0294118,0.00163399
1520,0.0294118,0.00163399
1530,0.0294118,0.00163399
1540,0.0294118,0.00163399
1550,0.0294118,0.00163399
1560,0.0294118,0.00163399
1570,0.0294118,0.00163399
1580,0.0294118,0.00163399
1590,0.0294118,0.00163399
1600,0.0294118,0.00163399
1610,0.0294118,0.00163399
1620,0.0294118,0.00163399
1630,0.0294118,0.00163399
1640,0.0294118,0.00163399
1650,0.0294118,0.00163399
1660,0.0294118,0.00163399
1670,0.0294118,0.00163399
1680,0.0294118,0.00163399
1690,0.0294118,0.00163399
1700,0.0294118,0.00163399
1710,0.0294118,0.00163399
1720,0.0294118,0.00163399
1730,0.0294118,0.00163399
1740,0.0294118,0.00163399
1750,0.0294118,0.00163399
1760,0.0294118,0.00163399
1770,0.0294118,0.00163399
1780,0.0294118,0.00163399
1790,0.0294118,0.00163399
1800,0.0294118,0.00163399
1810,0.0294118,0.00163399
1820,0.0294118,0.00163399
1830,0.0294118,0.00163399
