MDTU,min_ave,max_ave
1,0.0107042,0.215333
2,-0.00509,0.204428
3,-0.0114008,0.19922
4,-0.0146249,0.197407
5,-0.0163099,0.196419
6,-0.0191499,0.194921
7,-0.020754,0.193046
8,-0.0205252,0.193881
9,-0.0225562,0.192225
10,-0.0231256,0.191365
11,-0.025519,0.190477
12,-0.027576,0.1891
13,-0.0292695,0.188077
14,-0.0293291,0.187623
15,-0.031205,0.186633
16,-0.0311697,0.186632
17,-0.0319778,0.186823
18,-0.0336459,0.185834
19,-0.0330656,0.186465
20,-0.0336975,0.185634
21,-0.0356681,0.18452
22,-0.0352445,0.184847
23,-0.0372124,0.18325
24,-0.0373466,0.182935
25,-0.0394081,0.181876
26,-0.0398644,0.180915
27,-0.0402587,0.180806
28,-0.0413815,0.179909
29,-0.0433047,0.178853
30,-0.0434389,0.179059
31,-0.0444738,0.178124
32,-0.0458002,0.178092
33,-0.0465907,0.176792
34,-0.0471462,0.176482
35,-0.0483451,0.175366
36,-0.0484085,0.17522
37,-0.0500309,0.174209
38,-0.0517737,0.173924
39,-0.0534059,0.172691
40,-0.0536427,0.172776
41,-0.0536427,0.172776
42,-0.0545588,0.172875
43,-0.0545588,0.172875
44,-0.0559282,0.171357
45,-0.0562892,0.171388
46,-0.0579454,0.16952
47,-0.058872,0.168718
48,-0.058409,0.16999
49,-0.0585048,0.170299
50,-0.0584954,0.170554
51,-0.0591682,0.17087
52,-0.0598943,0.169067
53,-0.0592643,0.169341
54,-0.0611823,0.169102
55,-0.0623594,0.168025
56,-0.063323,0.16747
57,-0.0653307,0.165871
58,-0.0668183,0.165018
59,-0.0677972,0.164462
60,-0.0677972,0.164462
61,-0.0677972,0.164462
62,-0.0674687,0.164209
63,-0.0695071,0.163398
64,-0.0714034,0.163007
65,-0.0709959,0.162609
66,-0.0719916,0.162651
67,-0.0723078,0.161636
68,-0.072512,0.161536
69,-0.0729695,0.161305
70,-0.0736379,0.161239
71,-0.0730585,0.161584
72,-0.0756364,0.159763
73,-0.0747888,0.160466
74,-0.0747888,0.160466
75,-0.0752487,0.160349
76,-0.0752487,0.160349
77,-0.0742494,0.160725
78,-0.0745697,0.160709
79,-0.0755141,0.15997
80,-0.075997,0.159655
81,-0.0767602,0.158893
82,-0.0776855,0.158968
83,-0.0773959,0.158398
84,-0.0783315,0.157995
85,-0.0796419,0.157651
86,-0.0796419,0.157651
87,-0.0800356,0.156909
88,-0.0812045,0.15677
89,-0.0822418,0.155314
90,-0.0820571,0.156076
91,-0.0820551,0.156068
92,-0.082537,0.155594
93,-0.082537,0.155594
94,-0.0817252,0.156072
95,-0.0817252,0.156072
96,-0.0827032,0.15534
97,-0.0836459,0.154657
98,-0.0836459,0.154657
99,-0.0833026,0.154721
100,-0.0833026,0.154721
101,-0.0842113,0.153991
102,-0.0847525,0.154092
103,-0.0855947,0.153561
104,-0.08614,0.152875
105,-0.0871555,0.152837
106,-0.0873846,0.152746
107,-0.0873846,0.152746
108,-0.0872244,0.152816
109,-0.0876136,0.152549
110,-0.0876136,0.152549
111,-0.0876136,0.152549
112,-0.0885362,0.152495
113,-0.0889319,0.152298
114,-0.0889319,0.152298
115,-0.0909526,0.151128
116,-0.0914256,0.150848
117,-0.0927928,0.149061
118,-0.0927928,0.149061
119,-0.0927928,0.149061
120,-0.0936979,0.149385
121,-0.0935663,0.148407
122,-0.0935663,0.148407
123,-0.0940105,0.148234
124,-0.0922205,0.150323
125,-0.0922205,0.150323
126,-0.0938471,0.149444
127,-0.0938471,0.149444
128,-0.0927889,0.149651
129,-0.0927889,0.149651
130,-0.0923839,0.150304
131,-0.0917222,0.150363
132,-0.0933316,0.150518
133,-0.0929654,0.149696
134,-0.0930632,0.149592
135,-0.0956158,0.148429
136,-0.0960561,0.147727
137,-0.0973015,0.147014
138,-0.0986643,0.145677
139,-0.102559,0.144027
140,-0.101722,0.143854
141,-0.102593,0.143278
142,-0.102844,0.143375
143,-0.103027,0.142633
144,-0.104234,0.142673
145,-0.104603,0.142603
146,-0.103774,0.141893
147,-0.106183,0.141312
148,-0.106183,0.141312
149,-0.106183,0.141312
150,-0.106244,0.14091
151,-0.106146,0.14124
152,-0.106146,0.14124
153,-0.105751,0.142108
154,-0.105905,0.142219
155,-0.105905,0.142219
156,-0.10573,0.141824
157,-0.10573,0.141824
158,-0.108387,0.140011
159,-0.108142,0.139718
160,-0.108218,0.139944
161,-0.108806,0.139912
162,-0.108228,0.139581
163,-0.108228,0.139581
164,-0.10969,0.139512
165,-0.11074,0.138071
166,-0.110275,0.138259
167,-0.110006,0.139366
168,-0.110417,0.138647
169,-0.110417,0.138647
170,-0.110417,0.138647
171,-0.109731,0.139247
172,-0.109732,0.139958
173,-0.109963,0.139689
174,-0.109963,0.139689
175,-0.110294,0.139768
176,-0.110576,0.139322
177,-0.110576,0.139322
178,-0.110673,0.138817
179,-0.112446,0.138222
180,-0.112446,0.138222
181,-0.113195,0.138875
182,-0.113195,0.138875
183,-0.113837,0.137078
184,-0.113837,0.137078
185,-0.113837,0.137078
186,-0.114769,0.136747
187,-0.114769,0.136747
188,-0.114769,0.136747
189,-0.114382,0.136614
190,-0.114382,0.136614
191,-0.114382,0.136614
192,-0.113858,0.136802
193,-0.115405,0.136295
194,-0.115613,0.135544
195,-0.115613,0.135544
196,-0.115869,0.13483
197,-0.115676,0.134875
198,-0.116587,0.134642
199,-0.116587,0.134642
200,-0.116587,0.134642
201,-0.117612,0.134285
202,-0.117515,0.135111
203,-0.118391,0.134717
204,-0.117725,0.135026
205,-0.117691,0.134783
206,-0.117691,0.134783
207,-0.117691,0.134783
208,-0.11679,0.135374
209,-0.118537,0.134549
210,-0.118537,0.134549
211,-0.118537,0.134549
212,-0.117919,0.13457
213,-0.119868,0.134181
214,-0.121005,0.133644
215,-0.120546,0.133485
216,-0.120546,0.133485
217,-0.120546,0.133485
218,-0.120546,0.133485
219,-0.120546,0.133485
220,-0.120961,0.13337
221,-0.120762,0.133656
222,-0.118569,0.134405
223,-0.118206,0.13421
224,-0.118206,0.13421
225,-0.118206,0.13421
226,-0.118206,0.13421
227,-0.118206,0.13421
228,-0.118206,0.13421
229,-0.118206,0.13421
230,-0.118206,0.13421
231,-0.118206,0.13421
232,-0.119053,0.134434
233,-0.118756,0.133746
234,-0.120038,0.133719
235,-0.120038,0.133719
236,-0.120038,0.133719
237,-0.120038,0.133719
238,-0.119572,0.132894
239,-0.120009,0.132514
240,-0.120009,0.132514
241,-0.121252,0.131905
242,-0.121252,0.131905
243,-0.119052,0.13317
244,-0.119814,0.133016
245,-0.119814,0.133016
246,-0.119814,0.133016
247,-0.119814,0.133016
248,-0.119814,0.133016
249,-0.119814,0.133016
250,-0.119397,0.133392
251,-0.119867,0.133142
252,-0.119867,0.133142
253,-0.120479,0.132997
254,-0.121733,0.132467
255,-0.119507,0.133337
256,-0.119507,0.133337
257,-0.119507,0.133337
258,-0.119507,0.133337
259,-0.119156,0.133281
260,-0.120035,0.133807
261,-0.120035,0.133807
262,-0.120035,0.133807
263,-0.120609,0.132767
264,-0.121677,0.132258
265,-0.122483,0.131926
266,-0.123482,0.131245
267,-0.123482,0.131245
268,-0.123482,0.131245
269,-0.122913,0.131729
270,-0.123928,0.13065
271,-0.123928,0.13065
272,-0.123453,0.131637
273,-0.124307,0.130411
274,-0.123159,0.131553
275,-0.125045,0.130822
276,-0.125045,0.130822
277,-0.125754,0.129802
278,-0.125754,0.129802
279,-0.125754,0.129802
280,-0.124965,0.130488
281,-0.124502,0.130564
282,-0.124502,0.130564
283,-0.126235,0.130607
284,-0.126235,0.130607
285,-0.124853,0.130786
286,-0.125584,0.130378
287,-0.125584,0.130378
288,-0.125278,0.130329
289,-0.125126,0.130576
290,-0.125126,0.130576
291,-0.124753,0.13054
292,-0.125399,0.130389
293,-0.124988,0.130582
294,-0.124988,0.130582
295,-0.124278,0.131285
296,-0.124963,0.130707
297,-0.124484,0.130743
298,-0.125122,0.131321
299,-0.126524,0.130356
300,-0.126333,0.130315
301,-0.126628,0.130083
302,-0.127309,0.129717
303,-0.127246,0.129268
304,-0.127246,0.129268
305,-0.126655,0.12992
306,-0.127258,0.129851
307,-0.127372,0.12979
308,-0.127372,0.12979
309,-0.127372,0.12979
310,-0.127125,0.129428
311,-0.127125,0.129428
312,-0.127935,0.129838
313,-0.126221,0.130328
314,-0.127083,0.129911
315,-0.127083,0.129911
316,-0.126006,0.129714
317,-0.126006,0.129714
318,-0.126252,0.129693
319,-0.125475,0.130429
320,-0.126132,0.130303
321,-0.126476,0.129839
322,-0.128301,0.129556
323,-0.127553,0.129865
324,-0.127642,0.128865
325,-0.127642,0.128865
326,-0.128938,0.128385
327,-0.128938,0.128385
328,-0.128449,0.127583
329,-0.128449,0.127583
330,-0.127826,0.1292
331,-0.12955,0.127569
332,-0.128924,0.127895
333,-0.128924,0.127895
334,-0.130774,0.127197
335,-0.12887,0.128197
336,-0.130529,0.127535
337,-0.130529,0.127535
338,-0.130529,0.127535
339,-0.129097,0.127919
340,-0.129796,0.127776
341,-0.131485,0.126995
342,-0.131485,0.126995
343,-0.131998,0.126967
344,-0.131271,0.127016
345,-0.132156,0.127075
346,-0.130693,0.127081
347,-0.130436,0.126682
348,-0.131477,0.126917
349,-0.131691,0.126562
350,-0.131691,0.126562
351,-0.132299,0.125323
352,-0.132299,0.125323
353,-0.132299,0.125323
354,-0.132299,0.125323
355,-0.131933,0.125849
356,-0.13237,0.125711
357,-0.132685,0.125745
358,-0.132673,0.126267
359,-0.133214,0.125593
360,-0.133214,0.125593
361,-0.134214,0.125772
362,-0.133753,0.125797
363,-0.133753,0.125797
364,-0.133753,0.125797
365,-0.133753,0.125797
366,-0.134013,0.126191
367,-0.135462,0.125
368,-0.134395,0.12423
369,-0.134395,0.12423
370,-0.134395,0.12423
371,-0.133506,0.125895
372,-0.13454,0.124364
373,-0.134237,0.125599
374,-0.134237,0.125599
375,-0.133395,0.126041
376,-0.133395,0.126041
377,-0.133845,0.125812
378,-0.133845,0.125812
379,-0.134736,0.124699
380,-0.134129,0.125156
381,-0.131717,0.126824
382,-0.133218,0.126389
383,-0.132918,0.12582
384,-0.131448,0.126967
385,-0.131448,0.126967
386,-0.131448,0.126967
387,-0.131441,0.126727
388,-0.131133,0.127354
389,-0.131035,0.126702
390,-0.131035,0.126702
391,-0.131035,0.126702
392,-0.132937,0.126032
393,-0.132557,0.12583
394,-0.133809,0.125467
395,-0.133191,0.125962
396,-0.133191,0.125962
397,-0.133427,0.126575
398,-0.133549,0.125559
399,-0.133549,0.125559
400,-0.133549,0.125559
401,-0.133419,0.125686
402,-0.133935,0.125113
403,-0.133238,0.126775
404,-0.134629,0.126456
405,-0.134629,0.126456
406,-0.134629,0.126456
407,-0.134629,0.126456
408,-0.13273,0.126676
409,-0.136292,0.124529
410,-0.136944,0.124221
411,-0.135534,0.124536
412,-0.135772,0.125319
413,-0.135772,0.125319
414,-0.135729,0.124396
415,-0.137376,0.124527
416,-0.134178,0.125365
417,-0.134775,0.125397
418,-0.134775,0.125397
419,-0.13522,0.125023
420,-0.136071,0.125385
421,-0.137126,0.124687
422,-0.136958,0.124193
423,-0.135999,0.124865
424,-0.135075,0.124875
425,-0.136287,0.124466
426,-0.136287,0.124466
427,-0.13596,0.1246
428,-0.136945,0.124667
429,-0.136283,0.124633
430,-0.137231,0.123858
431,-0.137231,0.123858
432,-0.137231,0.123858
433,-0.136282,0.12389
434,-0.136033,0.123697
