MDTU,|det-1|^2,1-Re(det),Im(det)
1,0.615259,-0.14631,2.15443e-05
2,0.615259,-0.14631,2.15443e-05
3,0.615259,-0.14631,2.15443e-05
4,0.615259,-0.14631,2.15443e-05
5,0.615259,-0.14631,2.15443e-05
6,27.6419,-3.7033,-0.000147192
7,23.1722,-3.31488,-0.000254252
8,25.7365,-3.48861,0.000401198
9,24.1651,-3.36707,-0.00029345
10,22.7147,-3.29694,8.65318e-05
11,22.1112,-3.23545,0.000489556
12,19.6106,-3.09902,0.000253891
13,19.881,-3.08258,-6.15911e-05
14,17.8759,-2.92744,0.000592058
15,16.1398,-2.78423,-0.00016522
16,15.7194,-2.73414,2.84162e-05
17,15.0594,-2.63067,0.000231955
18,13.5556,-2.51537,6.35421e-05
19,13.4703,-2.56827,-0.000708965
20,11.9665,-2.43851,-0.000134572
21,11.4936,-2.41822,0.000416732
22,10.6258,-2.3002,-3.34532e-05
23,9.50018,-2.1596,-0.000128071
24,9.20249,-2.11633,0.000353609
25,9.03569,-2.11054,0.000394691
26,9.03569,-2.11054,0.000394691
27,8.59583,-2.02051,4.90921e-05
28,8.62394,-2.00501,8.58917e-05
29,7.59416,-1.90803,0.000331868
30,7.78076,-1.94052,7.46645e-05
31,7.10024,-1.86468,-9.99207e-05
32,7.65234,-1.97846,0.000256613
33,7.16206,-1.95892,0.000231742
34,6.93472,-1.95955,7.63216e-05
35,6.58642,-1.83625,-9.85956e-05
36,6.57532,-1.80217,0.000174404
37,5.81339,-1.73387,0.000153677
38,5.22369,-1.59375,0.000161279
39,5.78297,-1.68346,-0.000206307
40,4.92238,-1.54288,-0.000228957
41,5.08402,-1.56747,-0.000376566
42,4.71581,-1.49497,0.000102611
43,4.90722,-1.51345,0.000186146
44,4.8687,-1.48505,-0.000120237
45,4.8687,-1.48505,-0.000120237
46,4.96099,-1.50156,0.000176574
47,4.78243,-1.43652,0.000283134
48,4.75075,-1.44855,6.72958e-05
49,4.76171,-1.43692,-0.000217233
50,4.4617,-1.40853,0.000208708
51,4.02789,-1.337,0.000107677
52,3.96838,-1.28943,0.000229075
53,4.4113,-1.33265,0.000418122
54,4.42849,-1.34062,-0.00017602
55,4.30214,-1.3523,9.66781e-05
56,4.1549,-1.29157,0.000381944
57,4.18124,-1.32202,0.000401715
58,4.14667,-1.31373,0.000285866
59,3.7474,-1.21371,0.00034005
60,4.01846,-1.29212,-5.72765e-05
61,3.5369,-1.18556,-2.16599e-05
62,3.29659,-1.1428,3.61287e-05
63,3.29659,-1.1428,3.61287e-05
64,3.29659,-1.1428,3.61287e-05
65,3.63087,-1.21406,-0.000305365
66,3.5071,-1.15173,-4.32971e-07
67,3.39649,-1.14173,2.3435e-05
68,3.39769,-1.12582,5.72482e-05
69,3.22419,-1.07558,-0.000155923
70,3.22419,-1.07558,-0.000155923
71,3.22419,-1.07558,-0.000155923
72,3.27842,-1.11221,-0.000119933
73,3.27842,-1.11221,-0.000119933
74,3.18227,-1.0703,8.96834e-06
75,3.1976,-1.03409,-0.000185104
76,3.22507,-1.05284,-0.000252619
77,2.76769,-0.9704,-3.1352e-05
78,2.70811,-0.94669,0.000415051
79,2.26479,-0.8744,-0.000137784
80,2.51878,-0.90787,-0.000135309
81,2.51878,-0.90787,-0.000135309
82,2.39168,-0.88022,-0.000482702
83,1.99704,-0.75482,-0.000276484
84,1.99704,-0.75482,-0.000276484
85,2.15769,-0.80731,-0.000280724
86,2.02527,-0.78312,-0.000208038
87,2.08125,-0.78745,-0.000306542
88,2.08125,-0.78745,-0.000306542
89,2.08125,-0.78745,-0.000306542
90,2.08125,-0.78745,-0.000306542
91,2.13888,-0.76518,-0.000465009
92,2.09689,-0.77077,-0.000143298
93,2.09689,-0.77077,-0.000143298
94,2.09689,-0.77077,-0.000143298
95,2.09689,-0.77077,-0.000143298
96,2.09689,-0.77077,-0.000143298
97,2.09689,-0.77077,-0.000143298
98,2.08262,-0.75388,-0.000273066
99,2.14004,-0.7707,-0.000259491
100,2.16731,-0.76301,-0.000372993
101,2.02287,-0.74217,4.88667e-05
102,2.24094,-0.74484,-0.000216101
103,2.24094,-0.74484,-0.000216101
104,2.15325,-0.75751,-0.000217996
105,2.0513,-0.76167,-0.000291824
106,1.77694,-0.70966,-0.000346943
107,1.59822,-0.67985,0.000186433
108,1.43837,-0.66239,0.000116038
109,1.56554,-0.65531,-8.66028e-05
110,1.74391,-0.7177,-0.000293102
111,1.70244,-0.67852,-0.000127557
112,1.55967,-0.67195,-9.44043e-06
113,1.72837,-0.71313,0.00013243
114,1.45712,-0.67389,0.000198085
115,1.35629,-0.6164,5.58818e-05
116,1.45085,-0.65147,-5.09126e-07
117,1.35733,-0.60487,-0.000227532
118,1.35733,-0.60487,-0.000227532
119,1.35733,-0.60487,-0.000227532
120,1.35733,-0.60487,-0.000227532
121,1.46546,-0.61962,-0.000163534
122,1.58536,-0.66598,-0.000373118
123,1.58536,-0.66598,-0.000373118
124,1.56336,-0.67166,0.000123264
125,1.41781,-0.59859,0.000268255
126,1.33582,-0.57641,0.000219043
127,1.33582,-0.57641,0.000219043
128,1.33582,-0.57641,0.000219043
129,1.25777,-0.55016,0.000120267
130,1.25777,-0.55016,0.000120267
131,1.21928,-0.55943,-0.000148095
132,1.08504,-0.50779,1.8644e-05
133,1.12532,-0.48935,-7.33842e-05
134,1.12532,-0.48935,-7.33842e-05
135,1.08678,-0.45763,-0.000182589
136,1.15271,-0.50117,-0.000216071
137,1.03492,-0.4715,-0.000248912
138,0.920915,-0.41672,2.39373e-05
139,0.942649,-0.43447,-7.94769e-05
140,0.957319,-0.44104,-0.000181712
141,0.875127,-0.38917,2.11888e-05
142,0.778113,-0.34457,-0.000172622
143,0.845412,-0.3494,7.13033e-05
144,0.845412,-0.3494,7.13033e-05
145,0.854782,-0.37286,0.000136357
146,0.831759,-0.36043,0.000277356
147,0.831759,-0.36043,0.000277356
148,0.831759,-0.36043,0.000277356
149,0.888495,-0.3907,-0.000105126
150,0.888495,-0.3907,-0.000105126
151,0.860763,-0.35511,0.000146915
