ReTr(L*),ImTr(Lx),ImTr(Ly),ImTr(Lz),ImTr(L5)
0.985102,0.00346406,null,null,null
-0.195675,null,0.764243,null,null
0.191108,null,null,0.413344,null
0.00643749,null,null,null,-0.0011234
0.980812,0.000439298,null,null,null
-0.380568,null,0.549126,null,null
-0.0492505,null,null,0.327537,null
-0.00148047,null,null,null,0.00131387
0.98078,0.00147471,null,null,null
-0.312215,null,0.702786,null,null
0.208648,null,null,0.348691,null
0.00546172,null,null,null,0.00745128
0.979274,-0.000234996,null,null,null
-0.10959,null,0.71948,null,null
0.0556055,null,null,0.341854,null
0.00423064,null,null,null,0.01267
0.984194,0.00781272,null,null,null
-0.0556673,null,0.763332,null,null
0.127312,null,null,0.446666,null
0.00420458,null,null,null,0.00764711
0.983289,0.0107395,null,null,null
-0.21004,null,0.686364,null,null
0.253294,null,null,0.579585,null
0.00562449,null,null,null,0.00301533
0.978681,0.00970411,null,null,null
-0.317796,null,0.677866,null,null
0.142751,null,null,0.447276,null
0.0037458,null,null,null,0.0106413
0.976267,0.0100668,null,null,null
-0.0274941,null,0.599819,null,null
0.11523,null,null,0.62357,null
0.00330805,null,null,null,0.00330539
0.977126,0.00957726,null,null,null
0.0136732,null,0.64528,null,null
0.0930698,null,null,0.59723,null
0.00161082,null,null,null,-0.00180621
0.978635,0.00825794,null,null,null
-0.130596,null,0.800946,null,null
0.117535,null,null,0.597574,null
0.00757774,null,null,null,0.00448366
0.97695,0.0123193,null,null,null
-0.305625,null,0.845176,null,null
-0.0515445,null,null,0.455976,null
0.000690696,null,null,null,0.00195479
0.979666,0.0107143,null,null,null
-0.163194,null,0.870117,null,null
-0.133316,null,null,0.630718,null
0.000986795,null,null,null,0.00653568
0.980592,0.00902252,null,null,null
-0.07961,null,0.738269,null,null
0.0611763,null,null,0.654687,null
-0.00589409,null,null,null,0.000243087
0.978056,0.0095728,null,null,null
-0.00267836,null,0.654713,null,null
-0.0319915,null,null,0.635062,null
0.00145074,null,null,null,-0.00368252
0.97889,0.0124063,null,null,null
0.0162371,null,0.681974,null,null
0.0261899,null,null,0.60503,null
-0.0033978,null,null,null,-0.00224221
0.980352,0.0109814,null,null,null
0.0538801,null,0.734856,null,null
0.269656,null,null,0.359356,null
0.00658647,null,null,null,0.000743091
0.982426,0.00870014,null,null,null
-0.0493311,null,0.623167,null,null
0.153152,null,null,0.475372,null
0.00444803,null,null,null,0.00837596
0.982426,0.00870014,null,null,null
-0.0493311,null,0.623167,null,null
0.153152,null,null,0.475372,null
0.00444803,null,null,null,0.00837596
0.982426,0.00870014,null,null,null
-0.0493311,null,0.623167,null,null
0.153152,null,null,0.475372,null
0.00444803,null,null,null,0.00837596
0.985313,0.0101619,null,null,null
-0.168045,null,0.74908,null,null
-0.077705,null,null,0.45753,null
0.00340238,null,null,null,0.0059084
0.983324,0.0122559,null,null,null
0.0269878,null,0.991431,null,null
-0.141301,null,null,0.454973,null
0.00205638,null,null,null,0.00653089
0.983725,0.0149362,null,null,null
0.070538,null,0.859855,null,null
-0.0109936,null,null,0.531491,null
0.000393616,null,null,null,-0.000166376
