t,N_f,N_g
10,104,1248
20,104,1248
30,52,624
40,30,360
50,26,312
60,26,312
70,26,312
80,26,312
90,26,312
100,26,312
110,26,312
120,26,312
130,26,312
140,26,312
150,26,312
160,26,312
170,26,312
180,26,312
190,26,312
200,26,312
210,26,312
220,26,312
230,26,312
240,26,312
250,26,312
260,26,312
270,26,312
280,26,312
290,26,312
300,26,312
310,26,312
320,26,312
330,26,312
340,26,312
350,26,312
360,26,312
370,26,312
380,26,312
390,26,312
400,26,312
410,26,312
420,26,312
430,26,312
440,26,312
450,26,312
460,26,312
470,26,312
480,26,312
490,26,312
500,26,312
510,26,312
520,26,312
530,26,312
540,26,312
550,26,312
560,26,312
570,26,312
580,26,312
590,26,312
