t,|deltaS|
1,2.27
2,2.199
3,2.184
4,2.191
5,2.293
6,0.2683
7,0.1442
8,0.1254
9,0.01283
10,0.09658
11,0.04716
12,0.09063
13,0.08108
14,0.1681
15,0.1032
16,0.1437
17,0.1675
18,0.1277
19,0.03895
20,3.487e-06
21,0.1477
22,0.2465
23,0.7506
24,0.5819
25,0.06655
26,0.2231
27,0.4731
28,0.4241
29,0.4438
30,0.1423
31,0.4189
32,0.4892
33,0.2088
34,0.7803
35,0.01655
36,0.05293
37,0.3597
38,0.04023
39,0.7708
40,0.1195
41,0.5367
42,1.525
43,0.006236
44,0.1747
45,0.905
46,2.748
47,0.4323
48,0.9905
49,0.08381
50,1.713
51,1.43
52,0.2632
53,0.004598
54,0.2124
55,1.118
56,0.4004
57,0.6396
58,1.145
59,0.1986
60,2.535
61,1.489
62,0.008496
63,0.3246
64,0.4732
65,0.6727
66,1.097
67,1.173
68,0.2734
69,1.939
70,0.8034
71,1.522
72,0.3928
73,0.694
74,1.102
75,0.7108
76,1.805
77,0.3345
78,1.815
79,1.252
80,0.3135
81,0.3336
82,1.969
83,0.8351
84,0.1288
85,0.7794
86,0.07065
87,0.8921
88,1.118
89,0.1171
90,0.8744
91,1.562
92,0.2264
93,0.4348
94,0.7054
95,0.1448
96,0.7931
97,0.6332
98,1.12
99,1.786
100,0.3375
101,1.376
102,1.929
103,0.2835
104,0.5825
105,0.6797
106,0.2287
107,0.07978
108,0.07717
109,0.575
110,0.01788
111,0.1059
112,0.2087
113,0.1927
114,0.936
115,0.6531
116,0.4114
117,0.6679
118,0.9223
119,0.002008
120,0.02684
121,1.388
122,0.1947
123,0.6443
124,0.7776
125,0.09872
126,0.3288
127,0.09052
128,0.4167
129,0.4384
130,1.467
131,0.6511
132,0.307
133,0.2036
134,0.2585
135,0.0322
136,1.48
137,1.308
138,0.2877
139,0.01159
140,0.108
141,0.6854
142,0.03113
143,0.7713
144,0.4367
145,0.7076
146,0.7758
147,1.651
148,1.137
149,0.9707
150,0.05709
151,0.3077
152,0.9808
153,0.3856
154,0.2132
155,0.08695
156,1.988
157,0.1064
158,0.2211
159,1.033
160,2.054
161,0.4009
162,0.8662
163,1.309
164,0.4371
165,0.1993
166,0.2961
167,0.6822
168,0.4327
169,1.981
170,0.5879
171,0.7825
172,0.1622
173,0.2069
174,0.6267
175,0.2051
176,0.6948
177,0.4607
178,0.9023
179,0.007936
180,0.5347
181,0.8447
182,0.9778
183,0.9676
184,0.7497
185,1.281
186,0.5814
187,1.389
188,0.3944
189,0.04496
190,0.108
191,0.7096
192,0.1997
193,0.04259
194,1.022
195,0.04858
196,0.2621
197,0.1161
198,1.157
199,0.4347
200,0.2156
201,0.08744
202,1.354
203,0.2322
204,1.397
205,1.01
206,1.229
207,0.2929
208,0.9469
209,1.13
210,0.6301
211,1.434
212,1.159
213,0.4955
214,0.2596
215,1.05
216,0.02875
217,0.6882
218,1.864
219,0.3767
220,0.2321
221,0.5022
222,0.995
223,0.6556
224,0.3302
225,0.07897
226,1.158
227,0.07794
228,0.1797
229,0.5678
230,0.9239
231,0.4642
232,0.7591
233,0.261
234,1.376
235,0.08743
236,1.057
237,0.06587
238,0.2039
239,0.6715
240,1.336
241,0.7933
242,0.2377
243,0.257
244,0.3612
245,0.1274
246,0.2942
247,0.08265
248,0.6243
249,1.113
250,0.4036
251,0.5766
252,0.4961
253,1.074
254,0.5754
255,0.8536
256,0.1952
257,0.5427
258,1.014
259,0.08448
260,0.8648
261,0.4168
262,0.003234
263,0.04251
264,0.1759
265,0.747
266,0.01345
267,1.414
268,0.723
269,1.786
270,1.322
271,2.151
272,0.0654
273,0.2517
274,0.8665
275,0.4098
276,0.4423
277,0.8305
278,0.8354
279,0.3316
280,0.2744
281,1.1
282,1.64
283,1.051
284,1.496
285,0.3593
286,0.8198
287,0.6862
288,0.07764
289,1.332
290,0.03071
291,0.1224
292,0.3858
293,1.461
294,2.122
295,0.9881
296,1.244
297,0.0764
298,0.1403
299,0.8599
300,0.6434
301,1.58
302,0.6917
303,1.306
304,0.6468
305,0.1537
306,1.253
307,0.3171
308,0.05188
309,0.06294
310,0.5422
311,0.2565
312,0.361
313,0.2642
314,0.7668
315,0.9213
316,1.401
317,0.4407
318,1.557
319,0.4482
320,0.3663
321,0.2898
322,1.061
323,0.34
324,0.1773
325,0.4347
326,0.4479
327,0.1601
328,0.157
329,1.634
330,0.0133
331,1.259
332,1.117
333,0.3935
334,1.142
335,1.562
336,0.2215
337,1.652
338,0.9735
339,0.1147
340,0.2806
341,0.8387
342,0.8374
343,0.005367
344,0.04809
345,0.2948
346,0.4489
347,0.8522
348,1.977
349,1.241
350,0.06423
351,0.2538
352,0.2294
353,0.3387
354,1.547
355,0.1019
356,1.046
357,1.472
358,0.1958
359,1.366
360,0.3602
361,0.8109
362,0.7415
363,0.8158
364,0.4205
365,0.3627
366,1.322
367,0.05108
368,0.7166
369,0.4726
