t,cost
10,3996
20,2132.28
30,1581.48
40,1850.76
50,1850.04
60,1513.8
70,1508.4
80,1518.12
90,1493.64
100,1476.72
110,1265.4
120,1249.92
130,1263.96
140,1257.12
150,1271.88
160,1159.2
170,1182.24
180,1167.48
190,1173.6
200,1168.56
210,1209.24
220,1196.28
230,1217.16
240,1206.72
250,1213.92
260,1102.68
270,1105.92
280,1106.28
290,1116
300,1113.84
310,1065.6
320,1062.36
330,1068.84
340,1059.12
350,1054.8
360,983.88
370,974.88
380,966.24
390,981.36
400,979.56
410,899.28
420,900
430,902.88
440,914.76
450,920.16
460,896.04
470,894.6
480,882.36
490,891.72
500,907.56
510,898.56
520,902.16
530,898.92
540,883.44
550,895.68
560,897.12
570,908.64
580,900.72
590,902.52
600,885.24
610,878.04
620,893.52
630,914.76
640,906.48
650,903.24
660,985.32
670,980.64
680,984.24
690,998.64
700,960.48
710,960.12
720,980.28
730,988.92
740,983.16
750,983.52
760,1002.96
770,986.04
780,1000.08
790,998.28
800,985.68
810,973.8
820,978.84
830,980.64
840,969.84
850,981.72
860,973.8
870,964.08
880,975.6
890,971.28
900,972.72
910,1032.12
920,1024.56
930,1013.76
940,1015.92
950,1018.08
960,1013.04
970,1012.68
980,1020.24
990,1013.76
1000,1012.68
1010,1002.6
1020,1003.32
1030,1010.88
1040,1018.8
1050,996.48
1060,1023.84
1070,1036.8
1080,1020.96
1090,1041.12
1100,1028.88
1110,1013.4
1120,1031.04
1130,1006.92
1140,1013.4
1150,1004.4
1160,1025.28
1170,1038.24
1180,1100.88
1190,1009.8
1200,997.56
1210,1013.76
1220,1013.04
1230,1007.28
1240,1014.12
1250,1003.68
1260,1046.88
1270,1026.72
1280,1013.76
1290,1022.04
1300,1029.6
1310,1057.32
1320,1032.48
1330,1000.44
1340,1019.88
1350,1027.08
1360,1017.72
1370,1018.44
1380,1018.8
1390,1014.48
1400,1004.4
1410,1006.92
1420,1008.72
1430,1002.6
1440,1013.04
1450,999.36
1460,1001.52
1470,1006.92
1480,1019.88
1490,1010.52
1500,1005.12
1510,1005.12
1520,1005.48
1530,970.2
1540,984.6
1550,989.28
1560,977.76
1570,996.84
1580,975.6
1590,986.04
1600,1017.36
1610,1014.12
1620,994.68
1630,997.92
1640,1008.72
1650,1009.08
1660,1007.64
1670,967.32
1680,982.44
1690,1011.24
1700,990
1710,988.2
1720,992.16
1730,1005.48
1740,1005.48
1750,1013.76
1760,1006.2
1770,997.2
1780,1005.48
1790,1017
1800,1021.32
1810,1005.48
1820,996.48
1830,993.24
1840,985.32
1850,990.36
1860,981.36
1870,974.16
1880,1004.04
1890,1028.16
1900,989.28
1910,1053.36
1920,1036.8
1930,1045.08
1940,1037.16
1950,1035.72
1960,1054.08
1970,1028.88
1980,1033.56
1990,1027.08
2000,1044
2010,1033.2
2020,1020.96
2030,996.12
2040,1011.6
2050,1011.24
2060,1020.96
2070,1038.24
2080,1033.92
2090,1016.28
2100,1009.08
2110,1011.96
2120,1025.28
2130,1017.36
2140,1052.28
2150,1037.52
2160,1014.84
2170,1022.76
2180,1018.8
2190,1024.2
2200,1027.44
2210,1003.32
2220,992.52
2230,1008.72
2240,1014.48
2250,1011.96
2260,1012.68
2270,1007.28
2280,996.12
2290,1012.68
2300,1016.28
2310,1014.84
2320,1021.32
2330,1022.76
2340,1007.28
2350,1020.24
2360,1006.56
2370,1018.8
2380,1016.28
2390,1008.36
2400,1019.52
2410,957.24
2420,978.12
2430,978.12
2440,1002.6
2450,997.56
2460,961.2
2470,982.44
2480,975.6
2490,966.24
2500,979.92
2510,959.04
2520,952.92
2530,975.96
2540,952.92
2550,952.2
2560,957.96
2570,950.76
2580,967.68
2590,952.56
2600,962.28
2610,951.84
2620,968.76
2630,959.4
2640,963
2650,955.8
2660,975.24
2670,967.68
2680,971.64
2690,960.12
2700,961.92
2710,966.96
2720,991.08
2730,988.2
2740,978.12
2750,997.2
2760,984.6
2770,986.04
2780,970.2
2790,1014.84
2800,998.28
2810,965.16
2820,983.16
2830,961.92
2840,967.32
2850,983.52
2860,986.4
2870,960.12
2880,992.88
2890,975.6
2900,1006.92
2910,1001.52
2920,998.28
2930,995.4
2940,1017.72
2950,991.08
2960,1000.8
2970,988.92
2980,1009.8
2990,1003.32
3000,996.48
3010,1015.56
3020,1018.8
3030,1044.72
3040,1027.8
3050,1039.68
3060,1017.36
3070,1042.2
3080,1049.04
3090,1050.12
3100,1059.48
3110,1020.96
3120,1031.76
3130,1024.56
3140,1013.04
3150,1019.52
3160,1013.76
3170,1024.92
3180,1019.16
3190,1018.44
3200,1014.12
3210,1017.72
3220,1008.36
3230,1005.48
3240,1023.48
3250,999.36
3260,995.4
3270,992.88
3280,1006.92
3290,999
3300,1035
3310,1016.28
3320,1029.96
3330,1022.4
3340,1027.44
3350,1014.48
3360,1032.12
3370,1027.8
3380,1009.44
3390,1036.08
3400,999.36
3410,1055.88
3420,1074.96
3430,1086.84
3440,1067.76
3450,1056.24
3460,1055.88
3470,1076.04
3480,1065.96
3490,1060.2
3500,1055.88
3510,1055.52
3520,1051.2
3530,1048.32
3540,1054.8
3550,1084.68
3560,1058.04
3570,1068.12
3580,1047.96
3590,1043.64
3600,1070.28
3610,1076.76
3620,1091.52
3630,1056.24
3640,1070.28
3650,1063.8
3660,1014.48
3670,1017.72
3680,1023.12
3690,1026.36
3700,1029.24
3710,1033.56
3720,1036.08
3730,1000.8
3740,1019.16
3750,997.92
3760,1013.04
3770,1033.56
3780,1034.64
3790,1056.24
3800,1047.96
3810,1027.44
3820,1031.04
3830,1038.96
3840,1020.24
3850,1016.64
3860,1020.6
3870,1027.08
3880,1030.32
3890,1069.56
3900,1042.92
3910,1031.76
3920,1024.92
3930,1052.28
3940,1054.44
3950,1052.28
3960,1039.68
3970,1024.92
3980,1028.52
3990,1026
4000,1034.64
4010,1042.92
4020,1041.84
4030,1022.4
4040,1036.8
4050,1031.04
4060,1006.2
4070,1049.4
4080,1040.76
4090,1035
4100,1054.44
4110,1051.56
4120,1031.04
4130,1050.84
4140,1031.04
4150,1043.64
4160,1059.48
4170,1065.24
4180,1077.84
4190,1065.24
4200,1056.6
4210,1042.92
4220,1058.76
4230,1063.44
4240,1054.44
4250,1055.88
4260,1062
4270,1078.2
4280,1042.56
4290,1011.96
4300,1030.32
4310,1045.8
4320,1045.44
4330,1048.32
4340,1061.64
4350,1067.04
4360,1075.68
4370,1064.16
4380,1047.96
4390,1044
4400,1055.88
4410,961.92
4420,980.64
4430,990.72
4440,1000.08
4450,977.76
4460,980.28
4470,987.48
4480,984.96
4490,1015.2
4500,1006.92
4510,969.84
4520,972.72
4530,960.84
4540,974.88
4550,987.48
4560,979.2
4570,982.08
4580,983.52
4590,977.76
4600,994.32
4610,984.96
4620,982.08
4630,979.92
4640,969.48
4650,971.28
4660,910.8
4670,906.12
4680,885.6
4690,918
4700,907.56
4710,912.96
4720,889.56
4730,910.44
4740,892.8
4750,895.68
4760,908.64
4770,901.44
4780,909
4790,901.44
4800,908.64
4810,907.92
4820,905.4
4830,907.56
4840,915.12
4850,906.84
4860,906.12
4870,893.88
4880,909.36
4890,910.08
4900,896.4
4910,978.48
4920,999.72
4930,1006.56
4940,1012.32
4950,980.64
4960,990
4970,991.44
4980,1004.76
4990,976.68
5000,990
5010,1031.4
5020,994.68
5030,1004.76
5040,996.12
5050,984.24
5060,983.16
5070,975.24
5080,992.52
5090,973.44
5100,974.88
5110,982.8
5120,991.08
5130,996.84
5140,998.64
5150,994.68
5160,896.04
5170,885.6
5180,875.88
5190,882.36
5200,877.32
5210,890.64
5220,880.92
5230,878.04
5240,888.12
5250,890.28
5260,883.08
5270,866.52
5280,879.48
5290,891.36
5300,895.68
5310,892.8
5320,893.52
5330,905.4
5340,897.84
5350,904.68
5360,896.04
5370,896.76
5380,903.6
5390,885.24
5400,891.72
5410,885.6
5420,882
5430,877.68
5440,877.32
5450,864.72
5460,858.24
5470,868.32
5480,873.72
5490,876.6
5500,872.28
5510,869.04
5520,870.12
5530,866.16
5540,893.16
5550,878.04
5560,897.12
5570,881.64
5580,891.72
5590,883.44
5600,884.52
5610,912.96
5620,908.28
5630,909.36
5640,907.56
5650,903.96
5660,879.12
5670,869.04
5680,881.64
5690,877.32
5700,888.84
5710,883.8
5720,885.6
5730,881.28
5740,883.08
5750,880.2
5760,875.16
5770,889.56
5780,905.04
5790,887.76
5800,886.32
5810,887.04
5820,896.76
5830,906.48
5840,898.56
5850,895.32
5860,889.92
5870,910.8
5880,903.96
5890,888.84
5900,888.12
5910,995.4
5920,1013.04
5930,1011.96
5940,1008
5950,1000.8
5960,1031.76
5970,1035.36
5980,1022.4
5990,1001.52
6000,1008
6010,1006.56
6020,1019.88
6030,1006.2
6040,1012.68
6050,1028.52
6060,1015.92
6070,1005.84
6080,1004.04
6090,1015.2
6100,1015.92
6110,1002.6
6120,1005.84
6130,992.52
6140,999.36
6150,982.44
6160,980.28
6170,974.88
6180,993.24
6190,999.72
6200,997.2
6210,992.52
6220,991.08
6230,1015.56
6240,997.2
6250,1003.32
6260,1002.96
6270,1012.32
6280,989.28
6290,983.16
6300,994.68
6310,983.52
6320,990.72
6330,977.04
6340,973.44
6350,986.76
6360,1011.24
6370,1012.32
6380,1010.88
6390,1007.64
6400,1007.64
6410,996.84
6420,1001.52
6430,999.36
6440,1008.72
6450,1002.24
6460,991.08
6470,991.8
6480,1004.04
6490,995.04
6500,999.36
6510,988.2
6520,997.92
6530,1006.56
6540,1003.68
6550,1003.32
6560,1024.56
6570,1026.72
6580,1024.92
6590,1024.92
6600,1063.8
6610,1039.32
6620,1016.64
6630,1002.96
6640,1003.32
6650,995.4
6660,1164.96
6670,1174.68
6680,1166.04
6690,1145.16
6700,1142.28
6710,1153.08
6720,1155.96
6730,1142.64
6740,1121.04
6750,1159.2
6760,1137.96
6770,1140.84
6780,1135.08
6790,1144.44
6800,1120.68
