MDTU,S_B
1,0.899986
2,1.00747
3,0.994266
4,0.994266
5,0.997986
6,0.997279
7,0.998013
8,0.997624
9,0.997806
10,0.998594
11,0.998128
12,0.998563
13,0.997913
14,0.998099
15,0.998552
16,0.997828
17,0.998398
18,0.998861
19,0.998261
20,0.998495
21,0.999153
22,0.998898
23,0.9987
24,0.999625
25,0.998485
26,0.998821
27,0.998969
28,0.998112
29,0.998112
30,0.998146
31,0.998146
32,0.998146
33,0.999108
34,0.999108
35,0.999108
36,0.999047
37,0.998696
38,0.999299
39,0.9979
40,0.998696
41,0.999108
42,0.999108
43,0.998492
44,0.997818
45,0.998239
46,0.998631
47,0.999446
48,0.999446
49,0.999045
50,0.999045
51,0.99876
52,0.99876
53,0.998668
54,0.998921
55,0.998831
56,0.99794
57,0.998476
58,0.999054
59,0.998523
60,0.998024
61,0.998981
62,0.998772
63,0.999526
64,0.998728
65,0.998728
66,0.998731
67,0.999146
68,0.999146
69,0.999146
70,0.997965
71,0.997965
72,0.998604
73,0.999002
74,0.998843
75,0.999457
76,0.999078
77,0.999078
78,0.999204
79,0.999204
80,0.99917
81,0.999263
82,0.998302
83,0.998302
84,0.998302
85,0.997986
86,1.00011
87,0.997896
88,0.999914
89,0.99795
90,0.99795
91,0.998396
92,0.998947
93,0.998693
94,0.998693
95,0.998693
96,0.999432
97,0.999734
98,0.998241
99,0.998978
100,0.999565
101,0.998161
102,0.999384
103,0.999388
104,0.999136
105,0.99893
106,0.998584
107,0.999125
108,0.999125
109,0.999421
110,0.999831
111,0.999831
112,0.999447
113,0.999806
114,0.998537
115,0.998721
116,0.998721
117,0.998945
118,0.998945
119,0.998945
120,0.998945
121,0.999143
122,0.998909
123,0.999853
124,0.999853
125,0.999398
126,0.998667
127,0.999628
128,1.00006
129,0.998745
130,0.998745
131,0.998745
132,0.999033
133,0.999033
134,0.998479
135,0.998479
136,0.998479
137,0.998733
138,0.999136
139,0.999136
140,0.999734
141,0.999533
142,0.998997
143,0.998997
144,0.998997
145,0.999481
146,0.999353
147,0.998422
148,0.999723
149,0.999641
150,1.00013
151,0.999585
152,1.00101
153,1.00101
154,1.00008
155,1.00051
156,1.00051
157,0.998972
158,0.998972
159,0.998972
160,0.998619
161,0.998619
162,0.998619
163,0.998432
164,0.999868
165,0.998428
166,0.998514
167,1.0002
168,0.998551
169,0.998551
170,0.998551
171,0.999674
172,0.999252
173,0.999252
174,0.999966
175,0.999966
176,0.999966
177,0.999966
178,0.999215
179,0.998809
180,0.998529
181,0.998529
182,0.999737
183,0.999737
184,0.999647
185,0.999113
186,0.999113
187,0.998926
188,0.999777
189,0.999454
190,0.999864
191,0.999237
192,0.999237
193,0.999237
194,0.999299
195,0.9999
196,0.997859
197,0.998993
198,0.998993
199,0.999445
200,1.00079
201,0.998921
202,1.00001
203,0.999332
204,0.999165
205,0.99996
206,0.99996
207,0.998452
208,0.998452
209,0.998452
210,0.999879
211,0.999871
212,0.998877
213,0.998976
214,0.998976
215,0.998822
216,1.00076
217,1.00076
218,1.00033
219,0.998961
220,1.00049
221,1.00049
222,0.998829
223,0.999856
224,0.999134
225,0.99942
226,0.999091
227,0.999235
228,0.999235
229,0.999235
230,0.999235
231,0.99984
232,0.999148
233,0.999448
234,1.00006
235,0.999341
236,0.999341
237,0.999341
238,0.999341
239,0.999341
240,1.00088
241,1.00021
242,1.00003
243,0.999219
244,0.999219
245,0.999311
246,0.998702
247,0.998702
248,1.00012
249,0.999892
250,0.999518
251,0.999518
252,1.00133
253,0.99956
254,0.99956
255,0.99956
256,0.998951
257,0.999174
258,0.999174
259,0.999981
260,0.999981
261,1.00025
262,0.999174
263,0.999174
264,1.00001
265,0.999641
266,0.999641
267,1.00012
268,1.00019
269,0.999588
270,0.999588
271,0.999588
272,0.999183
273,0.999492
274,0.999314
275,0.999314
276,1.00027
277,0.999317
278,0.999639
279,0.999639
280,0.999639
281,0.999652
282,0.999652
283,0.999391
284,0.999625
285,0.99988
286,0.999658
287,0.999658
288,0.998933
289,0.999394
290,0.998041
291,0.999728
292,0.999728
293,0.999728
294,0.999728
295,0.999728
296,0.999421
297,0.999421
298,1.00029
299,0.998381
300,0.99936
301,0.99936
302,1.00022
303,1.00022
304,1.00022
305,0.99977
306,0.99977
307,0.999508
308,0.999508
309,0.999508
310,0.999048
311,1.00016
312,0.999909
313,0.999909
314,1.0001
315,0.999225
316,0.999225
317,0.999225
318,1.00018
319,1.00018
320,1.00054
321,0.999119
322,0.999119
323,0.999041
324,0.999131
325,0.999207
326,0.999207
327,0.999207
328,0.999207
329,1.00028
330,0.999661
331,0.999661
332,0.99988
333,1.00002
334,1.00002
335,0.998829
336,0.998829
337,0.998829
338,0.999321
339,1.00041
340,0.999697
341,0.99997
342,0.999773
343,0.999152
344,0.999364
345,0.999364
346,0.999528
347,0.999528
348,0.999528
349,1.00012
350,1.00012
