t,N_f,N_g
10,120,1440
20,120,1440
30,60,720
40,30,360
50,30,360
60,30,360
70,30,360
80,30,360
90,30,360
100,30,360
110,30,360
120,30,360
130,30,360
140,30,360
150,30,360
160,30,360
170,30,360
180,30,360
190,30,360
200,30,360
210,30,360
220,30,360
230,30,360
240,30,360
250,30,360
260,30,360
270,30,360
280,30,360
290,30,360
300,30,360
310,30,360
320,30,360
330,30,360
340,30,360
350,30,360
360,30,360
370,30,360
380,30,360
390,30,360
400,30,360
410,30,360
420,30,360
430,30,360
440,30,360
450,30,360
460,30,360
470,30,360
480,30,360
490,30,360
500,30,360
510,30,360
520,30,360
530,30,360
540,30,360
550,30,360
560,30,360
570,30,360
580,30,360
