t,e^(-dS)
1,0.296117
2,0.293171
3,1.03803
4,0.92224
5,0.98222
6,1.16463
7,1.05834
8,0.953544
9,1.02986
10,1.01429
11,1.1386
12,0.95981
13,1.13997
14,1.17187
15,1.02375
16,1.01171
17,0.960751
18,1.00787
19,1.0053
20,1.05276
21,1.00658
22,0.80856
23,1.16777
24,1.26681
25,1.1853
26,1.33897
27,0.891455
28,1.31259
29,0.626567
30,0.977194
31,0.516128
32,0.425028
33,1.54883
34,0.461026
35,0.428057
36,1.55535
37,7.05686
38,2.90955
39,1.13088
40,0.590728
41,1.29085
42,0.76759
43,1.70813
44,1.60785
45,0.346802
46,0.477066
47,1.08828
48,0.665777
49,1.13576
50,0.176577
51,1.42946
52,0.294346
53,0.64423
54,1.30226
55,1.46682
56,1.86358
57,0.640312
58,3.74342
59,1.17328
60,7.57611
61,0.649534
62,4.50415
63,0.972106
64,1.35256
65,0.394278
66,0.995709
67,0.48384
68,0.202301
69,0.142987
70,2.06886
71,0.316954
72,1.95189
73,0.614959
74,0.596903
75,0.249824
76,1.99611
77,0.90312
78,0.857358
79,0.285076
80,2.60049
81,1.01026
82,23.2429
83,0.4487
84,0.790571
85,2.63267
86,1.40396
87,0.844509
88,1.40734
89,3.08022
90,0.0710764
91,3.23814
92,1.27622
93,4.90375
94,0.642557
95,0.533658
96,0.617424
97,1.47609
98,1.48929
99,0.404987
100,0.941614
101,0.332206
102,0.17693
103,5.36019
104,0.324328
105,1.15488
106,0.629707
107,0.684683
108,0.311299
109,1.76438
110,1.72858
111,0.438454
112,3.35684
113,1.77234
114,1.55209
115,11.9652
116,0.278037
117,1.00625
118,0.436704
119,0.177107
120,0.16696
121,1.33402
122,1.40621
123,0.801797
124,0.383391
125,6.76661
126,2.28462
127,0.419497
128,2.69608
129,6.28396
130,0.0954646
131,0.181047
132,3.01319
133,0.180144
134,2.84624
135,0.277482
136,0.232934
137,0.82572
138,0.9687
139,0.808399
140,0.623691
141,0.645971
142,1.37561
143,0.239309
144,0.508139
145,0.773832
146,0.465893
147,0.700613
148,2.21134
149,1.37561
150,0.599056
151,0.688803
152,1.02208
153,0.399836
154,0.619279
155,10.1553
156,0.200088
157,0.165464
158,0.14573
159,0.454344
160,1.81212
161,0.407954
162,0.222907
163,0.627445
164,3.49384
165,3.8076
166,1.45005
167,2.21024
168,1.04649
169,0.203722
170,0.21524
171,0.508444
172,0.721661
173,0.550405
174,0.938033
175,0.546348
176,0.112703
177,0.642685
178,0.690044
179,6.2714
180,2.20935
181,0.477257
182,1.18365
183,0.211189
184,1.10502
185,0.712554
186,0.416987
187,2.04133
188,0.866667
189,2.60856
190,2.81792
191,0.902939
192,0.188435
193,0.353101
194,0.300292
195,2.58959
196,1.52486
197,11.787
198,0.24099
199,1.95737
200,0.488752
201,2.32333
202,2.38405
203,3.24138
204,1.61043
205,0.150921
206,0.179964
207,1.39236
208,0.251327
209,0.108501
210,0.89003
211,1.49855
212,3.51486
213,0.108609
214,0.278037
215,1.80507
216,0.265272
217,0.257175
218,0.7871
219,2.4032
220,0.967432
221,0.437534
222,0.755481
223,3.77726
224,0.492087
225,2.41766
226,1.18152
227,1.83437
228,0.603264
229,0.37076
230,0.721372
231,4.51317
232,1.49661
233,7.81465
234,0.522829
235,1.68422
236,0.297601
237,0.401881
238,0.500224
239,0.0860351
240,3.18993
241,1.90751
242,2.46502
243,2.02263
244,0.15077
245,3.40076
246,0.969446
247,0.693988
248,2.53958
249,1.14706
250,0.116368
251,0.338917
252,1.36574
253,4.23338
254,0.422697
255,0.64044
256,0.589371
257,1.09892
258,0.0670712
259,0.71113
260,0.295821
261,1.04075
262,0.570011
263,0.397365
264,0.632231
265,0.542482
266,0.208462
267,0.150469
268,1.385
269,3.8076
270,0.266069
271,0.339935
272,1.24446
273,0.969602
274,1.02835
275,0.229237
276,0.212886
277,0.300292
278,0.900865
279,0.252082
280,0.466825
281,0.307279
282,0.0719344
283,1.26833
284,0.324977
285,0.245858
286,0.390042
287,0.27036
288,0.943792
289,1.47138
290,5.43033
291,0.762998
292,0.274721
293,0.362402
294,0.225598
295,0.384774
296,1.24583
297,0.414368
298,0.946854
299,5.97749
300,1.21872
301,0.283371
302,1.23035
303,0.230156
304,0.33689
305,1.40228
306,0.122334
307,3.01018
308,0.522829
309,0.17517
310,1.61672
311,1.32154
312,0.470293
313,0.0636727
314,1.07851
315,0.579842
316,0.202503
317,0.347149
318,0.383353
319,0.35134
320,0.558333
321,0.869532
322,0.250825
323,0.861397
324,3.7962
325,3.01621
326,0.440167
327,0.271173
328,0.969689
329,0.459186
330,0.393529
331,0.192434
332,2.37429
333,0.589606
334,0.647265
335,0.3138
336,0.257175
337,0.512118
338,3.35013
339,0.654293
340,1.03886
341,2.45641
342,0.349239
343,0.287078
344,1.41284
345,0.635146
346,0.940033
347,0.240268
348,0.240028
349,0.347149
350,0.173774
351,2.89794
352,0.278594
353,0.474639
354,0.23551
355,1.30213
356,1.64493
357,0.263158
358,0.339256
359,2.08361
360,0.41891
361,1.20178
362,4.01485
363,2.65011
364,0.865974
365,2.46354
366,1.90751
367,0.37988
368,2.58364
369,0.324652
370,1.01665
371,0.231078
372,0.709071
373,1.21106
374,0.14313
375,2.19592
376,1.98496
377,0.4774
378,0.400276
379,3.13616
380,0.0622249
381,2.37738
382,0.364219
383,0.333537
384,0.558668
385,0.300292
386,0.166127
387,0.8863
388,0.565752
389,0.623192
390,0.469353
391,0.346456
392,1.51589
393,1.52547
394,2.22799
395,0.221795
396,0.707017
397,1.13428
398,0.400877
399,1.40565
400,1.05704
401,0.306052
402,1.82303
403,2.00772
404,3.01621
405,6.44304
406,1.24135
407,0.504948
408,2.84624
409,0.0526021
410,1.53511
411,1.60159
412,1.09322
413,1.16988
414,0.0860351
415,0.191283
416,1.19758
417,1.46594
418,1.0735
419,2.89215
420,0.347149
421,0.51799
422,0.382969
423,1.36479
424,0.148823
425,0.923181
426,0.730446
427,0.367879
428,0.576431
429,0.574934
430,0.535636
431,2.90955
432,0.721372
433,0.557496
434,0.284222
435,1.14625
436,1.03243
437,0.416445
438,1.39724
439,0.366411
440,0.212248
441,0.366045
442,0.184151
443,1.60031
444,0.153355
445,0.147637
446,0.452169
447,0.450003
448,2.10244
449,0.737197
450,0.631473
451,0.0968105
452,1.99511
453,1.18542
454,0.753294
455,0.583156
456,2.77597
457,0.297601
458,0.825389
459,1.13746
460,0.268206
461,5.18619
462,0.510023
463,2.06329
464,0.722961
465,4.0552
466,1.31429
467,0.299692
468,0.710419
469,0.167294
470,2.91538
471,0.15397
472,0.386316
473,0.614406
474,0.330219
475,0.621574
476,0.504443
477,0.406041
478,0.483357
479,0.312235
480,0.795329
481,1.17504
482,3.22522
483,2.13038
484,0.397008
485,0.166127
486,2.47762
487,1.58725
488,0.433181
489,0.397882
490,0.0494398
491,4.46826
492,1.63183
493,4.38855
494,0.643843
495,0.309437
496,0.489633
497,0.073241
498,0.504544
499,0.611402
500,0.0517154
501,1.83584
502,0.217839
503,0.203926
504,0.391214
505,0.273898
506,0.316954
507,0.753369
508,2.28188
509,0.154741
510,0.256918
511,0.768973
512,0.458085
513,1.20816
514,0.881527
515,0.563493
516,0.178887
517,0.049341
518,0.459094
519,1.49571
520,0.537246
521,0.893329
522,0.245613
523,0.311299
524,0.428485
525,0.150469
526,0.187308
527,2.31521
528,0.383276
529,0.406326
530,1.14809
531,0.349239
532,1.05272
533,1.11427
534,0.579031
535,0.282239
536,0.388718
537,0.936009
538,1.74003
539,1.97664
540,1.31403
541,0.346456
542,1.04154
543,0.634511
544,0.0834089
545,4.18706
546,0.257947
547,1.95189
548,1.9719
549,0.345073
550,0.30851
551,1.46433
552,0.223353
553,0.107851
554,0.818976
555,0.333204
556,0.825059
557,0.480706
558,0.285076
559,0.102694
560,0.0478349
561,0.70335
562,2.06349
563,0.321101
564,0.615328
565,1.36479
566,0.47147
567,0.581933
568,1.20478
569,2.82922
570,0.281394
571,0.119792
572,1.48855
573,1.26314
574,0.338578
575,0.294052
576,0.682427
577,1.2019
578,0.418952
579,0.603868
580,0.381021
581,0.315688
582,0.460243
583,0.709354
584,0.137243
585,0.404016
586,0.859246
587,0.190901
588,0.185259
589,2.95057
590,4.91848
591,0.0776146
592,0.604714
593,0.190901
594,2.41404
595,2.64984
596,0.124556
597,0.965799
598,0.262632
599,1.65103
600,0.558724
601,0.738747
602,0.230847
603,2.02912
604,0.210346
605,0.378174
606,0.618289
607,1.17433
608,2.32495
609,0.0812682
610,0.649599
611,0.100661
612,0.34889
613,0.213953
614,0.52262
615,1.34259
616,0.495395
617,1.04668
618,0.314114
619,0.687358
620,0.345764
621,1.61107
622,0.320139
623,0.81424
624,1.59903
625,0.195147
626,0.465148
627,0.526923
628,0.385698
629,2.24162
630,0.396294
631,0.145148
632,0.481861
633,0.57138
634,1.27698
635,2.86624
636,0.337902
637,2.61248
638,1.21835
639,0.345418
640,0.313486
641,0.16235
642,1.80255
643,2.27482
644,1.16929
645,0.942603
646,0.58837
647,0.32628
648,2.98023
649,0.1764
650,0.294346
651,0.877042
652,2.03379
653,1.25508
654,0.716269
655,0.767436
656,0.543568
657,0.465753
658,0.464544
659,0.186747
660,0.953496
661,0.276927
662,0.316637
663,0.615389
664,0.342666
665,0.888785
666,1.29615
667,2.214
668,0.403209
669,0.163818
670,0.820206
671,0.58077
672,0.40596
673,3.09566
674,1.03522
675,0.839625
676,0.13615
677,0.221574
678,0.1352
679,0.612381
680,0.472886
681,2.81511
682,2.14985
683,0.845269
684,0.967113
685,0.560234
686,2.42347
687,1.01034
688,0.23907
689,0.134795
690,0.111359
691,0.363128
692,0.482488
693,4.67861
694,0.448745
695,0.679635
696,0.372507
697,0.266602
698,0.285647
699,0.620394
700,0.284791
701,0.694058
702,0.639992
703,0.255381
704,0.204948
705,0.485731
706,2.9624
707,0.934345
708,2.21998
709,0.761473
710,1.08562
711,0.511197
712,7.56854
713,0.34611
714,1.18994
715,0.390745
716,0.694197
717,0.135065
718,1.66196
719,1.48587
720,1.39487
721,0.32923
722,1.81068
723,0.817177
724,0.230386
725,1.09581
726,0.366045
727,2.04398
728,0.475304
729,1.10938
730,1.34837
731,0.177462
732,0.567679
733,3.03436
734,3.21556
735,1.2203
736,0.961549
737,0.805171
738,15.0895
739,0.798117
740,1.71258
741,0.236218
742,0.19282
743,0.653966
744,0.78247
745,0.914836
746,0.313486
747,2.77875
748,1.06578
749,0.194952
750,0.537407
751,0.508902
752,0.200689
753,0.720723
754,1.17986
755,0.597023
756,1.7984
757,1.21762
758,10.4228
759,0.857958
760,0.5613
761,1.12457
762,0.863812
763,0.44615
764,0.059131
765,0.829278
766,0.554161
767,1.27061
768,0.315058
769,1.71343
770,0.729935
771,4.51317
772,1.5171
773,0.878183
774,4.01084
775,0.568303
776,0.229925
777,0.0810248
778,1.23615
779,0.214381
780,0.617177
781,3.47293
782,1.17928
783,0.130811
784,0.123687
785,0.96176
786,3.66197
787,1.30879
788,2.09908
789,1.55628
790,0.403693
791,0.147932
792,1.93267
793,0.439112
794,0.297899
795,2.00471
796,5.40325
797,2.98918
798,2.57436
799,3.19312
800,5.39245
801,1.80146
802,1.06902
803,0.582865
804,5.31217
805,0.377155
806,3.21234
807,0.0448245
808,3.10806
809,0.515252
810,0.245858
811,0.409876
812,0.707159
813,0.747366
814,0.99742
815,1.12727
816,3.09875
817,1.00968
818,0.363855
819,0.330549
820,0.830274
821,1.81539
822,0.135335
823,1.06942
824,0.0982736
825,0.305441
826,1.16056
827,0.253346
828,0.135878
829,0.0739771
830,0.660604
831,0.19593
832,0.381441
833,0.364583
834,0.38736
835,0.53174
836,0.176048
837,0.353455
838,2.09573
839,0.996024
840,0.0829929
841,0.465474
842,1.21179
843,0.162838
844,1.30879
845,6.36618
846,2.23022
847,0.427159
848,0.113836
849,0.216969
850,0.359155
851,0.449913
852,3.97888
853,0.660869
854,0.915559
855,0.526976
856,0.388019
857,0.454935
858,1.43548
859,0.22741
860,0.565865
861,0.879502
862,0.378023
863,0.140999
864,6.00144
865,0.180866
866,1.3046
867,1.35663
868,0.126818
869,0.418868
870,0.466452
871,6.11045
872,0.513195
873,0.244877
874,0.566941
875,0.454799
876,0.497331
877,0.206594
878,0.549635
879,0.127327
880,0.301496
881,0.197899
882,1.80887
883,0.261846
884,0.589253
885,0.225824
886,0.245613
887,1.83217
888,0.511555
889,0.389847
890,0.122824
891,0.803322
892,0.424433
893,0.7333
894,0.674961
895,1.36043
896,1.72582
897,0.149419
898,1.29667
899,0.608596
900,2.24858
901,0.502078
902,0.523719
903,0.414783
904,3.50083
905,0.48326
906,0.832019
907,0.401359
908,0.383583
909,1.24957
910,0.59197
911,0.106992
912,0.50936
913,0.956944
914,0.421515
915,1.00657
916,0.232701
917,0.185259
918,0.311923
919,1.775
920,0.102797
921,0.337227
922,0.774452
923,0.537514
924,1.96816
925,0.436704
926,3.09875
927,0.253346
928,0.377872
929,0.453663
930,0.445259
931,0.566488
932,2.60023
933,6.76661
934,0.709071
935,3.33342
936,0.338917
937,1.78568
938,2.25196
939,0.305746
940,0.600736
941,0.334874
942,0.17552
943,2.35773
944,0.441049
945,2.06721
946,0.187496
947,0.385814
948,0.597142
949,0.512682
950,0.884706
951,0.982299
952,0.279431
953,0.2334
954,0.956696
955,6.65255
956,1.85021
957,0.156923
958,0.89673
959,1.32419
960,0.183049
961,0.0571543
962,0.251327
963,1.25885
964,0.639096
965,2.04133
966,0.719787
967,0.320139
968,0.231772
969,0.315058
970,0.908982
971,1.01782
972,0.324977
973,0.875115
974,3.04348
975,0.26982
976,0.368505
977,1.26011
978,1.71001
979,0.228322
980,0.281394
981,0.485731
982,0.576604
983,0.814729
984,1.76385
985,0.654948
986,0.167462
987,0.245858
988,0.641145
989,0.875465
990,0.264742
991,0.823411
992,0.417488
993,1.33763
994,1.18341
995,0.787966
996,0.7736
997,0.473644
998,0.607745
999,0.340275
1000,0.750062
1001,0.605803
1002,0.627947
1003,0.438761
1004,1.98635
1005,4.32754
1006,1.86563
1007,0.932804
1008,0.855987
1009,10.0644
1010,1.04652
1011,0.387399
1012,0.970931
1013,0.375536
1014,0.650379
1015,0.374711
1016,4.1454
1017,0.120513
1018,0.574647
1019,0.905996
1020,0.116834
1021,0.82729
1022,1.34125
1023,0.0960391
1024,0.263685
1025,0.254361
1026,1.83822
1027,0.968526
1028,0.453346
1029,1.04765
1030,1.11739
1031,0.301194
1032,0.179066
1033,1.50878
1034,0.520014
1035,1.07628
1036,0.229008
1037,1.14958
1038,1.53219
1039,0.794851
1040,3.64006
1041,0.2608
1042,0.688321
1043,1.19997
1044,0.0608709
1045,0.254616
1046,0.755633
1047,4.30166
1048,1.91114
1049,0.68571
1050,0.340275
1051,0.185816
1052,3.27396
1053,3.23167
1054,0.961741
1055,0.483357
1056,2.13635
1057,0.206181
1058,0.458131
1059,2.10413
1060,0.280551
1061,0.162188
1062,0.241472
1063,0.430762
1064,2.56998
1065,0.481379
1066,1.03681
1067,0.594283
1068,0.0951786
1069,0.116368
1070,0.103312
1071,1.81503
1072,0.624627
1073,0.348541
1074,0.258205
1075,0.605803
1076,0.498027
1077,0.897628
1078,0.301496
1079,0.472508
1080,0.516645
1081,0.388175
1082,0.189569
1083,0.403936
1084,0.151829
1085,0.583215
1086,0.213312
1087,0.12606
1088,0.150921
1089,0.129899
1090,0.511453
1091,0.592443
1092,1.07442
1093,0.495593
1094,0.339596
1095,0.410984
1096,0.217186
1097,0.44149
1098,0.533978
1099,0.736166
1100,1.06812
1101,1.20527
1102,4.61356
1103,0.142274
1104,0.256918
1105,0.61012
1106,0.378326
1107,0.533605
1108,0.438849
1109,0.430288
1110,0.142844
1111,0.277204
1112,0.267403
1113,0.844678
1114,0.452621
1115,1.88005
1116,0.673747
1117,0.181954
1118,0.762388
1119,0.257947
1120,0.174122
1121,1.45878
1122,0.560122
1123,0.284222
1124,0.41156
1125,0.0780036
1126,0.241956
1127,0.442285
1128,0.20867
1129,2.03196
1130,0.0970043
1131,0.499874
1132,1.16672
1133,4.13299
1134,0.44888
1135,0.526555
1136,1.92668
1137,0.466499
1138,0.79716
1139,0.377872
1140,1.10041
1141,0.473644
1142,1.58217
1143,0.48612
1144,0.757827
1145,1.32697
1146,0.051406
1147,0.712696
1148,0.405555
1149,0.979288
1150,1.16009
1151,7.81465
1152,6.96571
1153,1.51286
1154,0.207837
1155,0.758434
1156,2.66179
1157,4.64133
1158,0.406692
1159,0.280271
1160,0.582166
1161,1.36711
1162,0.498975
1163,0.0810248
1164,0.393411
1165,0.538052
1166,0.164474
1167,0.93413
1168,0.825389
1169,0.901406
1170,0.0799783
1171,0.753143
1172,0.984984
1173,0.515922
1174,1.92977
1175,1.07197
1176,0.396016
1177,1.46771
1178,0.360595
1179,0.181591
1180,0.449689
1181,0.105716
1182,0.220469
1183,0.937677
1184,0.56029
1185,0.144713
1186,1.59616
1187,0.458498
1188,0.307894
1189,3.49733
1190,4.17035
1191,0.395225
1192,0.666443
1193,0.48215
1194,0.163164
1195,0.212886
1196,0.669115
1197,0.459645
1198,0.368505
1199,0.502279
1200,1.57224
1201,0.632737
1202,0.683451
1203,1.04603
1204,0.709354
1205,0.932832
1206,0.622134
1207,0.694752
1208,0.677463
1209,3.04043
1210,0.573957
1211,0.772904
1212,0.343352
1213,0.794295
1214,0.763303
1215,0.0794999
1216,0.933373
1217,1.30604
1218,0.150018
1219,0.121968
1220,1.25621
1221,1.90675
1222,0.164639
1223,0.147932
1224,0.360235
1225,0.400517
1226,3.19632
1227,0.902127
1228,0.281113
1229,5.46848
1230,0.294935
1231,0.545801
1232,1.8675
1233,1.29085
1234,2.9713
1235,0.499174
1236,0.0640558
1237,0.329889
1238,0.129639
1239,3.70988
1240,0.939939
1241,0.752993
1242,1.26668
1243,0.157867
1244,0.875728
1245,1.46155
1246,0.305135
1247,1.09675
1248,0.571209
1249,1.07366
1250,0.184335
1251,0.12951
1252,2.81792
1253,2.37192
1254,0.238831
1255,1.03487
1256,4.45043
1257,0.667778
1258,0.874503
1259,2.09845
1260,1.01259
1261,0.312547
1262,0.443215
1263,0.548812
1264,6.25887
1265,0.284791
1266,1.39836
1267,1.10927
1268,0.634321
1269,2.9183
1270,0.21481
1271,1.1897
1272,1.58392
1273,0.253346
1274,1.45922
1275,0.401238
1276,0.176224
1277,1.34676
1278,1.39962
1279,0.680723
1280,1.1203
1281,0.309437
1282,1.92611
1283,1.7037
1284,0.218493
1285,0.800195
1286,0.43483
1287,2.24701
1288,0.254616
1289,0.407669
1290,0.850356
1291,1.09373
1292,0.0668703
1293,1.36493
1294,1.24508
1295,1.11327
1296,1.39766
1297,0.0936679
1298,0.309128
1299,1.65898
1300,0.779034
1301,2.04582
1302,3.71731
1303,0.497281
1304,0.495593
1305,1.43807
1306,0.0778478
1307,0.679023
1308,0.689975
1309,3.06792
1310,0.151072
1311,0.261846
1312,0.937264
1313,0.390667
1314,0.592029
1315,0.551287
1316,0.183599
1317,0.396849
1318,0.644874
1319,0.10383
1320,0.418073
1321,0.150318
1322,1.99471
1323,0.203926
1324,0.710988
1325,0.694336
1326,0.579378
1327,1.31732
1328,3.11429
1329,3.28708
1330,3.45561
1331,0.297007
1332,5.04804
