MDTU,S_B
457,0.998018
458,0.998018
459,0.998228
460,0.999518
461,0.999842
462,0.9973
463,0.9973
464,0.9973
465,0.998455
466,0.998527
467,0.999668
468,0.999153
469,1.00044
470,0.999075
471,0.999075
472,0.999075
473,0.999075
474,0.999075
475,0.999977
476,0.999932
477,1.0003
478,1.0003
479,1.0003
480,0.997523
481,1.00046
482,0.998813
483,0.998813
484,0.998813
485,0.998925
486,0.998947
487,0.999271
488,0.999271
489,0.998496
490,1.00096
491,0.99939
492,0.9989
493,0.999448
494,0.999279
495,0.998906
496,0.998906
497,1.00008
498,0.999721
499,0.999721
500,1.00063
501,1.00063
502,0.998607
503,0.999995
504,0.999995
505,0.999362
506,0.999116
507,0.998581
508,0.998581
509,0.998568
510,0.998995
511,0.998851
512,0.998468
513,0.998462
514,0.99759
515,1.00026
516,1.00026
517,1.00026
518,0.998286
519,1.00006
520,1.00006
521,0.997022
522,1.00024
523,0.999101
524,1.00138
525,0.996989
526,1.00034
527,0.998049
528,0.999961
529,1.00083
530,1.00083
531,0.999606
532,0.998994
533,0.998643
534,1.00115
535,0.998755
536,0.998755
537,0.998755
538,0.998755
539,0.99959
540,0.999157
541,0.998813
542,0.998813
543,0.998813
544,0.997289
545,0.997289
546,0.997289
547,0.997289
548,0.999705
549,0.99919
550,0.99842
551,0.99897
552,0.99897
553,0.99897
554,0.997662
555,0.997662
556,0.999936
557,0.997949
558,0.997949
559,0.997949
560,0.997949
561,0.997738
562,0.999959
563,0.997736
564,0.997736
565,0.998077
566,0.998077
567,0.998536
568,1.00015
569,0.999598
570,1.00033
571,0.997699
572,0.999768
573,0.999768
574,1.0018
575,0.998735
576,0.998707
577,1.00181
578,0.999315
579,0.999315
580,0.999315
581,1.00009
582,0.998189
583,1.00056
584,1.00029
585,0.998995
586,1.00017
587,0.99987
588,0.998211
589,0.998341
590,0.998765
591,0.999388
592,0.999388
593,1.00042
594,0.999243
595,1.00003
596,1.00021
597,1.00021
598,1.00021
599,1.00117
600,0.998544
601,0.996844
602,0.999808
603,0.999168
604,0.999168
605,0.999168
606,0.999168
607,0.999168
608,0.99884
609,0.999518
610,0.999671
611,1.0003
612,1.0003
613,1.00064
614,1.00064
615,0.998882
616,0.998067
617,0.998681
618,1.00018
619,1.00018
620,0.99934
621,0.99934
622,0.998936
623,0.998458
624,0.998755
625,0.998868
626,0.998643
627,0.999446
628,0.998448
629,0.998021
630,1.00117
631,0.998833
632,0.999511
633,0.998716
634,0.999946
635,0.998988
636,1.00036
637,0.998533
638,0.998533
639,0.99878
640,0.998971
641,0.998971
642,0.997606
643,0.997606
644,0.998041
645,0.999005
646,0.998907
647,0.999719
648,0.999719
649,0.999719
650,0.998922
651,0.999494
