t,N_f,N_g
10,104,1040
20,104,1040
30,52,520
40,30,300
50,30,300
60,30,300
70,30,300
80,30,300
90,30,300
100,30,300
110,30,300
120,30,300
130,30,300
140,30,300
150,30,300
160,30,300
170,30,300
180,30,300
190,30,300
200,30,300
210,26,260
220,26,260
230,26,260
240,26,260
250,26,260
260,26,260
270,26,260
280,26,260
290,26,260
300,26,260
310,26,260
320,26,260
330,26,260
340,26,260
350,26,260
360,26,260
370,26,260
380,26,260
390,26,260
400,26,260
410,26,260
420,26,260
430,26,260
440,26,260
450,26,260
460,26,260
470,26,260
480,26,260
490,26,260
500,26,260
510,26,260
520,26,260
530,26,260
540,26,260
550,26,260
560,26,260
570,26,260
580,26,260
590,26,260
600,26,260
610,26,260
620,26,260
630,26,260
640,26,260
650,26,260
660,26,260
670,26,260
680,26,260
690,26,260
700,26,260
710,26,260
