MDTU,|det-1|^2,1-Re(det),Im(det)
1,0.875012,0.933743,1.0092e-05
2,0.874786,0.933284,5.30468e-05
3,0.884765,0.939025,-1.76677e-05
4,0.887002,0.940296,-6.47035e-05
5,0.884324,0.938756,9.6827e-06
6,0.884175,0.938565,-7.59641e-07
7,0.884175,0.938565,-7.59641e-07
8,0.884175,0.938565,-7.59641e-07
9,0.874645,0.933091,-7.76927e-06
10,0.874645,0.933091,-7.76927e-06
11,0.869073,0.92944,-1.64126e-05
12,0.87972,0.936004,-1.56868e-05
13,0.866181,0.928078,3.69454e-05
14,0.857432,0.922848,2.77077e-05
15,0.853567,0.920653,3.49447e-06
16,0.853948,0.920764,2.95493e-05
17,0.843801,0.91443,-3.70398e-05
18,0.845165,0.915488,-3.0058e-05
19,0.856946,0.922777,-4.89121e-05
20,0.856669,0.922562,1.07679e-05
21,0.856669,0.922562,1.07679e-05
22,0.85397,0.920946,-5.95652e-05
23,0.846392,0.916391,-5.96418e-05
24,0.837382,0.9111,-1.21548e-05
25,0.829506,0.905893,4.00416e-05
26,0.811108,0.893901,-6.14524e-05
27,0.811108,0.893901,-6.14524e-05
28,0.816125,0.897065,-7.46319e-05
29,0.816036,0.89779,-4.03139e-05
30,0.810496,0.894389,1.15744e-05
31,0.810496,0.894389,1.15744e-05
32,0.808557,0.892872,-3.68583e-05
33,0.808557,0.892872,-3.68583e-05
34,0.801022,0.887558,-5.05346e-05
35,0.800486,0.887407,-4.96478e-05
36,0.800486,0.887407,-4.96478e-05
37,0.800486,0.887407,-4.96478e-05
38,0.800486,0.887407,-4.96478e-05
39,0.800486,0.887407,-4.96478e-05
40,0.804928,0.890731,1.10677e-05
41,0.812411,0.89591,-2.57964e-05
42,0.812411,0.89591,-2.57964e-05
43,0.815067,0.89731,4.27103e-05
44,0.815067,0.89731,4.27103e-05
45,0.815067,0.89731,4.27103e-05
46,0.810257,0.894206,3.54692e-05
47,0.82569,0.904465,-4.43899e-05
48,0.80987,0.89402,-4.90575e-05
49,0.81504,0.897288,-5.74414e-05
50,0.81504,0.897288,-5.74414e-05
51,0.801019,0.889235,4.80623e-05
52,0.801019,0.889235,4.80623e-05
53,0.807737,0.89388,-1.42431e-05
54,0.807737,0.89388,-1.42431e-05
55,0.807737,0.89388,-1.42431e-05
56,0.801764,0.890405,9.10172e-05
57,0.801764,0.890405,9.10172e-05
58,0.793644,0.884679,4.02148e-05
59,0.793644,0.884679,4.02148e-05
60,0.785835,0.88029,-2.49853e-05
61,0.784615,0.879534,-1.77289e-07
62,0.771101,0.871038,-2.48382e-05
63,0.772828,0.871786,0.000105991
64,0.772828,0.871786,0.000105991
65,0.773906,0.872402,-2.12976e-05
66,0.761748,0.864472,-3.24641e-05
67,0.752642,0.858783,4.00619e-06
68,0.747991,0.856267,-7.72623e-05
69,0.747991,0.856267,-7.72623e-05
70,0.747991,0.856267,-7.72623e-05
71,0.747991,0.856267,-7.72623e-05
72,0.744456,0.854598,8.0739e-05
73,0.744456,0.854598,8.0739e-05
74,0.744456,0.854598,8.0739e-05
75,0.732026,0.844803,2.53614e-05
76,0.723425,0.840204,0.000138494
77,0.705702,0.824201,0.00013325
78,0.706452,0.826207,5.26892e-05
79,0.706452,0.826207,5.26892e-05
80,0.706452,0.826207,5.26892e-05
81,0.693956,0.816948,5.66283e-05
82,0.693956,0.816948,5.66283e-05
83,0.693956,0.816948,5.66283e-05
84,0.693956,0.816948,5.66283e-05
85,0.671982,0.79838,-1.38554e-05
86,0.664965,0.792606,-0.000124283
87,0.670865,0.797773,-6.82545e-05
88,0.670865,0.797773,-6.82545e-05
89,0.675032,0.802635,7.86525e-05
90,0.675032,0.802635,7.86525e-05
91,0.675017,0.80559,-5.90719e-06
92,0.665838,0.799035,-4.43178e-05
93,0.665838,0.799035,-4.43178e-05
94,0.660688,0.794861,5.07596e-05
95,0.660688,0.794861,5.07596e-05
96,0.659729,0.7942,-0.000126134
97,0.650666,0.789605,-0.000218314
98,0.650666,0.789605,-0.000218314
99,0.650666,0.789605,-0.000218314
100,0.649879,0.789831,-8.40519e-05
101,0.649879,0.789831,-8.40519e-05
102,0.64942,0.790514,-1.93459e-05
103,0.64942,0.790514,-1.93459e-05
104,0.652694,0.793289,-0.000177848
105,0.652694,0.793289,-0.000177848
106,0.653925,0.79438,4.48387e-05
107,0.653925,0.79438,4.48387e-05
108,0.653925,0.79438,4.48387e-05
109,0.665598,0.804339,-8.38018e-05
110,0.665598,0.804339,-8.38018e-05
111,0.665598,0.804339,-8.38017e-05
112,0.665598,0.804339,-8.38017e-05
113,0.665598,0.804339,-8.38017e-05
114,0.665598,0.804339,-8.38017e-05
115,0.66641,0.803148,-0.000104363
116,0.66641,0.803148,-0.000104363
117,0.66641,0.803148,-0.000104363
118,0.667856,0.806681,4.23864e-06
119,0.658678,0.798958,-7.60789e-05
120,0.658678,0.798958,-7.60789e-05
121,0.673621,0.809011,3.84511e-05
122,0.65641,0.797127,-8.87713e-06
123,0.65641,0.797127,-8.87713e-06
124,0.647242,0.789429,-4.99959e-05
125,0.628939,0.773796,-1.29549e-05
126,0.628939,0.773796,-1.29549e-05
127,0.628939,0.773796,-1.29549e-05
128,0.628939,0.773796,-1.29549e-05
129,0.623895,0.772584,-3.69894e-05
130,0.623895,0.772584,-3.69894e-05
131,0.623793,0.771307,0.000177254
132,0.615107,0.766818,3.45441e-05
133,0.615107,0.766818,3.45441e-05
134,0.615107,0.766818,3.45441e-05
135,0.591174,0.742295,-5.89406e-05
136,0.591174,0.742295,-5.89406e-05
137,0.584249,0.739951,-0.000250804
138,0.575596,0.733694,-6.80525e-05
139,0.575596,0.733694,-6.80525e-05
140,0.575596,0.733694,-6.80525e-05
141,0.575596,0.733694,-6.80525e-05
142,0.595668,0.750786,-0.000106423
143,0.598454,0.756699,5.29278e-05
144,0.59439,0.750717,0.000112325
145,0.59439,0.750717,0.000112325
146,0.605172,0.76196,5.50575e-05
147,0.605172,0.76196,5.50575e-05
148,0.58797,0.747696,0.000112177
149,0.579515,0.738504,0.000148377
150,0.579515,0.738504,0.000148377
151,0.548173,0.710226,5.81918e-05
152,0.54073,0.702344,5.13161e-05
153,0.54073,0.702344,5.13161e-05
154,0.536562,0.695459,8.62194e-05
155,0.538927,0.693769,0.00011124
156,0.544719,0.698841,-6.99032e-05
157,0.552964,0.709487,-6.89073e-05
158,0.558599,0.716321,2.39734e-05
159,0.56102,0.71719,-0.00012506
160,0.571587,0.726562,0.000136315
161,0.580231,0.73739,-0.000165329
162,0.548789,0.701515,-4.50517e-05
163,0.554786,0.7078,-0.000120271
164,0.536857,0.692592,0.000119937
165,0.519277,0.676556,-3.81633e-05
166,0.519277,0.676556,-3.81633e-05
167,0.520905,0.675441,8.0618e-05
168,0.521825,0.678943,9.47936e-05
169,0.525539,0.688152,2.69758e-05
170,0.513385,0.678464,0.000152646
171,0.50844,0.672885,5.33571e-05
172,0.50844,0.672885,5.33571e-05
173,0.50844,0.672885,5.33571e-05
174,0.50844,0.672885,5.33571e-05
175,0.50844,0.672885,5.33571e-05
176,0.49688,0.662317,-2.30667e-06
177,0.49688,0.662317,-2.30667e-06
178,0.49688,0.662317,-2.30667e-06
179,0.49583,0.661611,-8.37496e-06
180,0.48607,0.648248,-6.79475e-06
181,0.483683,0.642057,0.000157971
182,0.472683,0.618699,-0.000143858
183,0.472683,0.618699,-0.000143858
184,0.472683,0.618699,-0.000143858
185,0.472683,0.618699,-0.000143858
186,0.456451,0.596397,-0.000254292
187,0.453352,0.60012,-3.9169e-05
188,0.447822,0.601436,-0.000233274
189,0.447822,0.601436,-0.000233274
190,0.452209,0.606709,0.000305149
191,0.452209,0.606709,0.000305149
192,0.453714,0.615067,9.60298e-05
193,0.449855,0.615572,6.10944e-05
194,0.440567,0.601389,7.93038e-05
195,0.426405,0.583945,9.40978e-06
196,0.426405,0.583945,9.40978e-06
197,0.439948,0.596649,0.000222643
198,0.424136,0.584712,0.000270041
199,0.422937,0.583945,-0.000170772
200,0.422283,0.594012,-0.000142879
201,0.422283,0.594012,-0.000142879
202,0.425671,0.591933,7.89537e-07
203,0.427901,0.590019,1.33468e-05
204,0.427901,0.590019,1.33468e-05
205,0.427901,0.590019,1.33468e-05
206,0.427901,0.590019,1.33468e-05
207,0.424287,0.5887,0.000115071
208,0.428382,0.605219,0.000103864
209,0.436872,0.610693,0.000130929
210,0.442986,0.615164,-3.75029e-05
211,0.442986,0.615164,-3.75029e-05
212,0.45299,0.63074,-1.8422e-05
213,0.45299,0.63074,-1.8422e-05
214,0.45299,0.63074,-1.8422e-05
215,0.45299,0.63074,-1.8422e-05
216,0.45299,0.63074,-1.8422e-05
217,0.45299,0.63074,-1.8422e-05
218,0.45299,0.63074,-1.8422e-05
219,0.45299,0.63074,-1.8422e-05
220,0.440768,0.610553,-5.93947e-05
221,0.440768,0.610553,-5.93947e-05
222,0.4476,0.616301,-9.12909e-05
223,0.423868,0.594678,6.31584e-05
224,0.423868,0.594678,6.31584e-05
225,0.423385,0.593747,0.000253354
226,0.44785,0.627097,2.30535e-05
227,0.440164,0.612793,0.000323669
228,0.448915,0.612297,0.000287221
229,0.448915,0.612297,0.000287221
230,0.448915,0.612297,0.000287221
231,0.440788,0.607642,-6.99798e-05
