t,|deltaS|
1,1.207
2,1.735
3,1.501
4,2.047
5,1.916
6,1.082
7,1.732
8,1.173
9,1.223
10,1.817
11,2.037
12,1.475
13,0.7837
14,0.4763
15,0.04561
16,0.4311
17,0.1159
18,0.2328
19,0.5664
20,0.4039
21,0.09961
22,0.01555
23,0.1172
24,0.6544
25,0.2478
26,0.4169
27,0.4731
28,0.6098
29,0.6468
30,0.03048
31,0.1494
32,0.6373
33,0.1034
34,0.1848
35,0.3597
36,0.03641
37,1.042
38,0.2203
39,0.1867
40,0.335
41,0.3099
42,0.4594
43,0.3207
44,0.01836
45,0.287
46,0.1115
47,0.3433
48,0.06686
49,0.4184
50,0.2972
51,0.2649
52,0.1126
53,0.2832
54,0.477
55,0.1551
56,0.1087
57,0.01061
58,0.568
59,0.2298
60,0.4283
61,0.3455
62,0.3327
63,0.5154
64,0.2494
65,0.4936
66,0.7828
67,0.2491
68,0.2655
69,0.118
70,0.327
71,0.3381
72,0.008541
73,0.03066
74,0.06082
75,0.7589
76,0.5169
77,0.3298
78,0.0484
79,0.4562
80,0.2989
81,0.2109
82,0.3398
83,0.2065
84,0.3034
85,0.0775
86,0.4748
87,0.3678
88,0.6166
89,0.5406
90,0.08404
91,1.029
92,0.2205
93,0.04294
94,0.2188
95,0.01251
96,0.2529
97,0.2633
98,0.3555
99,1.172
100,0.02215
101,0.426
102,0.6897
103,0.5501
104,0.1754
105,0.09842
106,0.3154
107,0.4754
108,0.1934
109,0.5641
110,0.6177
111,0.4276
112,0.3707
113,0.3642
114,0.1227
115,0.2991
116,0.6162
117,0.3327
118,0.6984
119,0.4578
120,0.6469
121,0.04593
122,0.05275
123,0.4817
124,0.02812
125,0.03427
126,0.2338
127,0.001839
128,0.2046
129,0.4109
130,0.2911
131,1.217
132,0.1818
133,0.8612
134,0.4382
135,0.02574
136,0.1831
137,0.108
138,0.6672
139,0.4778
140,0.4175
141,0.3812
142,0.1358
143,0.1956
144,0.04032
145,0.1256
146,0.04248
147,0.6099
148,0.354
149,0.2368
150,0.1564
151,0.23
152,0.2669
153,0.2444
154,0.05218
155,0.2571
156,0.7324
157,0.06971
158,0.4805
159,0.3181
160,0.918
161,0.1049
162,0.07904
163,0.2205
164,0.2858
165,0.06909
166,0.7963
167,0.4337
168,0.5326
169,0.03601
170,0.4231
171,0.6558
172,0.375
173,0.1888
174,0.9839
175,0.1327
176,0.536
177,0.2456
178,0.3682
179,0.09835
180,0.1044
181,0.1471
182,0.4544
183,0.02975
184,0.7629
185,0.3763
186,0.5841
187,0.4925
188,0.2374
189,0.1372
190,0.6352
191,0.8114
192,0.7596
193,0.3052
194,0.07487
195,0.4227
196,0.04768
197,0.07294
198,0.2532
199,0.2712
200,0.3537
201,0.1237
202,1.376
203,0.3694
204,0.07393
205,0.04787
206,0.1605
207,0.2656
208,0.1745
209,0.4203
210,0.5037
211,0.1033
212,0.1484
213,0.1833
214,0.6292
215,0.4028
216,0.1734
217,0.0477
218,0.162
219,0.09318
220,0.07583
221,0.259
222,0.391
223,0.1043
224,0.4736
225,0.2254
226,0.01049
227,1.039
228,0.9089
229,0.2978
230,0.3845
231,0.1739
232,0.5127
233,0.3606
234,0.3469
235,0.2907
236,0.6641
237,0.4501
238,0.2913
239,0.5534
240,0.2267
241,0.3414
242,0.1992
243,0.4546
244,0.6082
245,0.3238
246,0.06397
247,0.5183
248,0.1669
249,0.06745
250,0.4437
251,0.1039
252,0.0007956
253,0.3182
254,0.2291
255,0.2371
256,0.06131
257,0.9784
258,0.02468
259,0.2367
260,0.07525
261,0.2694
262,0.3727
263,0.4955
264,0.08848
265,0.1019
266,0.04884
267,0.7056
268,0.1193
269,0.1666
270,0.1728
