t,cost
10,693.333
20,695.893
30,704.213
40,700.587
50,700.8
60,703.147
70,711.68
80,703.147
90,700.587
100,706.347
110,712.533
120,704
130,694.827
140,694.4
150,701.227
160,693.12
170,693.973
180,696.533
190,689.92
200,691.413
210,707.413
220,715.307
230,720.64
240,713.173
250,721.92
260,716.16
270,716.587
280,712.96
290,711.893
300,711.04
310,711.253
320,709.76
330,714.24
340,714.24
350,719.147
360,715.307
370,722.347
380,723.413
390,730.667
400,740.693
410,719.573
420,706.773
430,699.093
440,695.68
450,699.52
460,730.24
470,698.24
480,708.693
490,714.667
500,705.067
510,705.28
520,713.387
530,701.44
540,712.107
550,711.467
560,714.667
570,711.04
580,710.827
590,720
600,716.16
610,712.96
620,715.307
630,705.92
640,705.92
650,701.44
660,704.213
670,701.013
680,698.453
690,703.787
700,697.173
710,697.6
720,698.027
730,694.187
740,689.92
750,694.613
760,699.093
770,695.68
780,697.813
790,692.48
800,692.267
810,733.653
820,746.453
830,752.427
840,746.667
850,755.413
860,757.76
870,752.427
880,740.053
890,725.76
900,739.2
910,724.053
920,724.693
930,727.253
940,727.68
950,722.56
960,733.227
970,730.24
980,734.293
990,741.12
1000,744.96
1010,744.96
1020,757.12
1030,737.92
1040,742.613
1050,728.107
1060,726.613
1070,738.987
1080,747.52
1090,750.507
1100,749.227
1110,750.507
1120,750.08
1130,750.293
1140,750.933
1150,749.227
1160,751.147
1170,750.507
1180,749.653
1190,748.16
1200,749.227
1210,794.027
1220,786.347
1230,781.227
1240,773.76
1250,770.56
1260,765.44
1270,766.08
1280,782.293
1290,779.093
1300,778.88
1310,773.973
1320,785.067
1330,780.587
1340,773.12
1350,782.72
1360,787.84
1370,792.96
1380,785.92
1390,780.587
1400,784.64
1410,721.067
1420,715.093
1430,719.36
1440,721.28
1450,714.453
1460,720.853
1470,724.053
1480,726.4
1490,723.84
1500,724.907
1510,712.747
1520,719.147
1530,710.613
1540,703.36
1550,711.68
1560,709.333
1570,710.613
1580,717.653
1590,725.973
1600,727.68
1610,718.293
1620,704.213
1630,707.627
1640,707.84
1650,710.613
1660,709.547
1670,716.587
1680,705.493
1690,710.827
1700,703.573
1710,715.093
1720,708.693
1730,708.053
1740,732.16
1750,739.627
1760,744.747
1770,741.333
1780,741.12
1790,750.08
1800,744.107
1810,726.827
1820,720.64
1830,720.853
1840,714.667
1850,716.373
1860,708.053
1870,705.707
1880,703.787
1890,713.813
1900,701.44
1910,704.64
1920,711.68
1930,710.827
1940,703.147
1950,698.453
1960,697.6
1970,701.013
1980,709.12
1990,708.693
2000,706.133
2010,756.48
2020,760.32
2030,754.987
2040,753.28
2050,749.013
2060,751.787
2070,753.707
2080,756.267
2090,761.813
2100,768.427
2110,766.293
2120,769.707
2130,762.667
2140,759.893
2150,763.52
2160,757.76
2170,757.333
2180,759.893
2190,755.84
2200,760.747
2210,789.973
2220,782.507
2230,785.28
2240,784.213
2250,778.027
2260,782.933
2270,775.04
2280,776.533
2290,774.4
2300,777.173
2310,786.133
2320,765.227
2330,763.307
2340,786.987
2350,781.013
2360,745.813
2370,758.187
2380,759.68
2390,765.44
2400,761.6
2410,756.48
2420,759.893
2430,759.893
2440,760.747
2450,763.307
2460,762.667
2470,761.173
2480,759.467
2490,759.893
2500,753.067
2510,754.347
2520,755.413
2530,750.507
2540,748.587
2550,750.293
2560,754.773
2570,757.333
2580,761.387
2590,764.16
2600,764.8
2610,741.547
2620,749.653
2630,747.307
2640,745.173
2650,747.52
2660,744.32
2670,753.707
2680,753.493
2690,760.32
2700,753.92
2710,748.16
2720,741.973
2730,735.36
2740,748.373
2750,752
2760,753.92
2770,752.64
2780,754.56
2790,751.573
2800,757.547
2810,761.6
2820,764.587
2830,761.6
2840,762.667
2850,759.04
2860,755.627
2870,750.08
2880,754.347
2890,765.227
2900,757.333
2910,765.867
2920,764.8
2930,763.947
2940,763.947
2950,760.32
2960,766.507
2970,768.64
2980,766.72
2990,763.52
3000,766.08
3010,688
3020,687.787
3030,687.787
3040,686.293
3050,705.493
3060,751.787
3070,752.213
3080,752
3090,752.64
3100,748.373
3110,741.76
3120,759.04
3130,758.827
3140,764.373
3150,774.187
3160,778.24
3170,779.733
3180,769.28
3190,724.693
3200,741.547
3210,765.867
3220,772.053
3230,760.533
3240,744.533
3250,753.707
3260,752.213
3270,750.293
3280,751.147
3290,743.68
3300,747.947
3310,749.653
3320,748.8
3330,742.187
3340,747.947
3350,747.947
3360,749.653
3370,753.707
3380,750.08
3390,747.733
3400,748.587
3410,753.067
3420,771.2
3430,769.707
3440,767.36
3450,764.8
3460,773.547
3470,770.987
3480,769.067
3490,768
3500,768
3510,765.867
3520,768.213
3530,770.56
3540,770.347
3550,771.84
3560,771.413
3570,772.48
3580,767.573
3590,771.627
3600,772.267
3610,711.467
3620,729.387
3630,731.947
3640,728.107
3650,722.987
3660,718.933
3670,715.733
3680,720.213
3690,731.52
3700,709.12
3710,722.773
3720,722.347
3730,719.147
3740,725.973
3750,723.413
3760,720.213
3770,722.133
3780,716.587
3790,717.653
3800,714.027
3810,778.667
3820,789.973
3830,788.267
3840,790.613
3850,795.307
3860,797.44
3870,796.587
3880,800.427
3890,793.813
3900,798.72
3910,790.613
3920,788.053
3930,780.16
3940,784.853
3950,799.573
3960,788.48
3970,793.813
3980,790.613
3990,789.547
4000,793.813
4010,773.973
4020,775.253
4030,771.627
4040,771.627
4050,769.493
