MDTU,S_F
1,8.39816e-06
2,8.39816e-06
3,8.39816e-06
4,8.39816e-06
5,8.39816e-06
6,8.39816e-06
7,8.39816e-06
8,8.39816e-06
9,8.39816e-06
10,8.39816e-06
11,8.39816e-06
12,8.13489e-06
13,8.21428e-06
14,8.17878e-06
15,8.12675e-06
16,8.12016e-06
17,8.09424e-06
18,8.34472e-06
19,8.20285e-06
20,8.24001e-06
21,8.16336e-06
22,8.31166e-06
23,8.28849e-06
24,8.27614e-06
25,8.30565e-06
26,8.30565e-06
27,8.36864e-06
28,8.41595e-06
29,8.41595e-06
30,8.58767e-06
31,8.45031e-06
32,8.42726e-06
33,8.48603e-06
34,8.48756e-06
35,8.32088e-06
36,8.35502e-06
37,8.45989e-06
38,8.47093e-06
39,8.45607e-06
40,8.26931e-06
41,8.18442e-06
42,8.18442e-06
43,8.25325e-06
44,8.19564e-06
45,8.30071e-06
46,8.10189e-06
47,8.34104e-06
48,8.21806e-06
49,8.25551e-06
50,8.32479e-06
51,8.36541e-06
52,8.39859e-06
53,8.35637e-06
54,8.34864e-06
55,8.44438e-06
56,8.52017e-06
57,8.56064e-06
58,8.26712e-06
59,8.46219e-06
60,8.47805e-06
61,8.40294e-06
62,8.39072e-06
63,8.34657e-06
64,8.29403e-06
65,8.28022e-06
66,8.29617e-06
67,8.23326e-06
68,8.23326e-06
69,8.28649e-06
70,8.24528e-06
71,8.41352e-06
72,8.47084e-06
73,8.45834e-06
74,8.47516e-06
75,8.43415e-06
76,8.37961e-06
77,8.37961e-06
78,8.52645e-06
79,8.52645e-06
80,8.61317e-06
81,8.5462e-06
82,8.417e-06
83,8.37405e-06
84,8.45653e-06
85,8.43083e-06
86,8.44766e-06
87,8.60475e-06
88,8.54633e-06
89,8.66669e-06
90,8.75552e-06
91,8.75552e-06
92,8.77309e-06
93,8.85369e-06
94,8.81994e-06
95,8.94079e-06
96,8.64194e-06
97,8.66035e-06
98,8.66035e-06
99,8.81101e-06
100,8.91665e-06
101,8.74083e-06
102,8.74083e-06
103,8.8278e-06
104,8.88789e-06
105,8.93502e-06
106,8.92623e-06
107,8.99652e-06
108,9.04394e-06
109,8.84371e-06
110,8.91849e-06
111,9.05888e-06
112,8.95802e-06
113,8.92819e-06
114,8.99831e-06
115,8.99831e-06
116,9.11407e-06
117,8.91863e-06
118,8.7807e-06
119,8.69961e-06
120,8.78393e-06
121,8.77854e-06
122,8.77854e-06
123,8.94369e-06
124,8.79872e-06
125,8.5602e-06
126,8.70122e-06
127,8.58035e-06
128,8.44614e-06
129,8.45104e-06
130,8.52967e-06
131,8.65094e-06
132,8.76926e-06
133,8.65934e-06
134,8.80522e-06
135,8.70132e-06
136,8.52279e-06
137,8.53327e-06
138,8.57069e-06
139,8.64971e-06
140,8.52427e-06
141,8.58643e-06
142,8.53954e-06
143,8.75308e-06
144,8.6024e-06
145,8.76474e-06
146,8.75877e-06
147,8.72185e-06
148,8.72858e-06
149,8.72858e-06
150,8.77165e-06
151,8.84273e-06
152,8.89357e-06
153,8.68481e-06
154,8.76977e-06
155,8.83428e-06
156,8.96196e-06
157,8.73232e-06
158,8.62671e-06
159,8.95976e-06
160,8.70713e-06
161,8.70079e-06
162,8.69643e-06
163,8.71113e-06
164,8.59935e-06
165,8.67623e-06
166,8.68341e-06
167,8.80266e-06
168,8.60432e-06
169,8.65622e-06
170,8.6915e-06
171,8.84007e-06
172,8.84007e-06
173,8.80746e-06
174,8.79059e-06
175,8.82164e-06
176,8.82164e-06
