t,cg_iters
1,6512
2,6615
3,6607
4,6554
5,6635
6,6524
7,6547
8,6503
9,6494
10,6489
11,6557
12,6546
13,6502
14,6437
15,6439
16,6580
17,6532
18,6701
19,6655
20,6571
21,6585
22,6617
23,6629
24,6655
25,6732
26,6664
27,6705
28,6681
29,6646
30,6627
31,6576
32,6673
33,6661
34,6538
35,6571
36,6579
37,6615
38,6622
39,6678
40,6674
41,6626
42,6553
43,6552
44,6600
45,6696
46,6703
47,6712
48,6716
49,6720
50,6698
51,6772
52,6738
53,6679
54,6722
55,6659
56,6617
57,6690
58,6673
59,6605
60,6701
61,6674
62,6675
63,6682
64,6685
65,6747
66,6777
67,6620
68,6658
69,6664
70,6727
71,6760
72,6713
73,6740
74,6784
75,6818
76,6798
77,6718
78,6737
79,6734
80,6675
81,6622
82,6717
83,6697
84,6653
85,6682
86,6704
87,6718
88,6664
89,6665
90,6701
91,6687
92,6692
93,6692
94,6713
95,6763
96,6762
97,6785
98,6665
99,6625
100,6667
101,6687
102,6694
103,6646
104,6682
105,6704
106,6784
107,6764
108,6671
109,6790
110,6710
111,6709
112,6626
113,6614
114,6658
115,6607
116,6742
117,6802
118,6736
119,6749
120,6651
121,6567
122,6590
123,6547
124,6664
125,6725
126,6715
127,6768
128,6665
129,6662
130,6732
131,6644
132,6591
133,6583
134,6600
135,6591
136,6611
137,6593
138,6585
139,6632
140,6684
141,6703
142,6715
143,6630
144,6620
145,6768
146,6737
147,6670
148,6746
149,6766
150,6705
151,6741
152,6757
153,6679
154,6745
155,6727
156,6646
157,6611
158,6649
159,6684
160,6680
161,6723
162,6693
163,6725
164,6705
165,6635
166,6696
167,6747
168,6746
169,6731
170,6642
171,6702
172,6676
173,6794
174,6667
175,6737
176,6812
177,6875
178,6854
179,6653
180,6683
181,6607
182,6700
183,6654
184,6644
185,6638
186,6670
187,6711
188,6713
189,6637
190,6612
191,6680
192,6683
193,6671
194,6743
195,6730
196,6650
197,6639
198,6657
199,6640
200,6666
201,6639
202,6669
203,6665
204,6655
205,6680
206,6612
207,6562
208,6632
209,6668
210,6578
211,6597
212,6676
213,6686
214,6604
215,6632
216,6753
217,6669
218,6652
219,6664
220,6669
221,6686
222,6690
223,6677
224,6774
225,6689
226,6665
227,6686
228,6700
229,6595
230,6661
231,6750
232,6730
233,6677
234,6641
235,6677
236,6634
237,6629
238,6657
239,6591
240,6562
241,6665
242,6650
243,6697
244,6639
245,6712
246,6735
247,6711
248,6677
249,6714
250,6738
251,6689
252,6740
253,6699
254,6637
255,6670
256,6708
257,6659
258,6625
259,6587
260,6571
261,6730
262,6694
263,6638
264,6609
265,6633
266,6647
267,6668
268,6552
269,6563
270,6591
271,6723
272,6666
273,6606
274,6591
275,6705
276,6714
277,6665
278,6757
279,6696
280,6657
281,6723
282,6638
283,6659
284,6653
285,6641
286,6565
287,6590
288,6590
289,6641
290,6591
291,6676
292,6675
293,6649
294,6604
295,6652
296,6665
297,6630
298,6626
299,6658
300,6636
301,6682
302,6610
303,6648
304,6641
305,6599
306,6545
307,6558
308,6635
309,6610
310,6669
311,6587
312,6615
313,6582
314,6650
315,6551
316,6579
317,6590
318,6647
319,6634
320,6626
321,6583
322,6638
323,6609
324,6625
325,6585
326,6667
327,6607
328,6641
329,6699
330,6639
331,6667
332,6643
333,6626
334,6653
335,6635
336,6572
337,6638
338,6683
339,6638
340,6657
341,6689
342,6634
343,6649
344,6596
345,6625
346,6609
347,6669
348,6633
349,6672
350,6682
351,6633
352,6591
353,6603
354,6591
355,6581
356,6637
357,6663
358,6638
359,6614
360,6596
361,6588
362,6607
363,6626
364,6599
365,6617
366,6569
367,6641
368,6634
369,6623
370,6623
371,6579
372,6745
373,6678
374,6623
375,6658
376,6640
377,6663
378,6706
379,6651
380,6625
381,6737
382,6675
383,6628
384,6607
385,6669
386,6666
387,6632
388,6621
389,6649
390,6642
391,6708
392,6748
393,6826
394,6760
395,6715
396,6700
397,6695
398,6648
399,6703
400,6662
401,6691
402,6702
403,6630
404,6662
405,6649
406,6587
407,6615
408,6626
409,6648
410,6648
411,6631
412,6651
413,6697
414,6749
415,6670
416,6632
417,6652
418,6689
419,6746
420,6684
421,6674
422,6706
423,6670
424,6665
425,6597
426,6608
427,6646
428,6694
429,6759
430,6758
431,6744
432,6647
433,6581
434,6664
435,6591
436,6571
437,6583
438,6599
439,6693
440,6637
441,6684
442,6744
443,6733
444,6668
445,6691
446,6622
447,6700
448,6711
449,6802
450,6688
451,6667
452,6709
453,6670
454,6736
455,6691
456,6659
457,6769
458,6707
459,6669
460,6627
461,6691
462,6651
463,6628
464,6666
465,6641
466,6547
467,6592
468,6679
469,6608
470,6639
471,6643
472,6626
473,6592
474,6613
475,6675
476,6713
477,6657
478,6639
479,6673
480,6593
481,6657
482,6695
483,6631
484,6635
485,6660
486,6656
487,6677
488,6600
489,6608
490,6627
491,6656
492,6680
493,6734
494,6707
495,6664
496,6610
497,6637
498,6590
499,6595
500,6540
501,6684
502,6644
503,6610
504,6581
505,6648
506,6691
507,6675
508,6656
509,6690
510,6633
511,6602
512,6627
513,6667
514,6696
515,6706
516,6751
517,6711
518,6681
519,6712
520,6603
521,6592
522,6597
523,6609
524,6638
525,6658
526,6628
527,6590
528,6560
529,6577
530,6683
531,6683
532,6758
533,6775
534,6653
535,6705
536,6755
537,6705
538,6745
539,6780
540,6700
541,6780
542,6754
543,6734
544,6662
545,6583
546,6634
547,6621
548,6618
549,6638
550,6705
551,6680
552,6733
553,6692
554,6737
555,6687
556,6614
557,6676
558,6640
559,6656
560,6612
561,6626
562,6651
563,6674
564,6709
565,6695
566,6751
567,6707
568,6764
569,6667
570,6662
571,6731
572,6660
573,6620
574,6658
575,6648
576,6684
577,6680
578,6619
579,6599
580,6590
581,6593
582,6613
583,6667
584,6744
585,6661
586,6664
587,6731
588,6736
589,6824
590,6750
591,6694
592,6759
593,6727
594,6659
595,6703
596,6704
597,6710
598,6698
599,6736
600,6777
601,6699
602,6739
603,6727
604,6729
605,6593
606,6647
607,6636
608,6700
609,6675
610,6680
611,6705
612,6739
613,6738
614,6698
615,6707
616,6728
617,6756
618,6672
619,6733
620,6657
621,6726
622,6649
623,6669
624,6688
625,6643
626,6688
627,6596
628,6601
629,6626
630,6646
631,6582
632,6690
633,6618
634,6644
635,6633
636,6658
637,6686
638,6704
639,6738
640,6659
641,6665
642,6690
643,6639
644,6615
645,6664
646,6654
647,6675
648,6695
649,6628
650,6673
651,6722
652,6739
653,6604
654,6778
655,6774
656,6727
657,6729
658,6707
659,6645
660,6632
661,6701
662,6608
663,6675
664,6609
665,6628
666,6664
667,6695
668,6633
669,6690
670,6704
671,6678
672,6662
673,6610
674,6662
675,6753
676,6705
677,6691
678,6676
679,6745
680,6802
681,6742
682,6695
683,6652
684,6700
685,6680
686,6723
687,6716
688,6788
689,6764
690,6708
691,6622
692,6662
693,6718
694,6660
695,6710
696,6760
697,6745
698,6703
699,6816
700,6721
701,6699
702,6681
703,6725
704,6684
705,6683
706,6665
707,6697
708,6658
709,6665
710,6650
711,6655
712,6750
713,6728
714,6697
715,6676
716,6606
717,6685
718,6717
719,6723
720,6662
721,6566
722,6617
723,6590
724,6555
725,6626
726,6621
727,6630
728,6574
729,6657
730,6652
731,6665
732,6659
733,6601
734,6593
735,6634
736,6616
737,6615
738,6596
739,6643
740,6657
741,6635
742,6596
743,6669
744,6664
745,6631
746,6695
747,6820
748,6623
749,6672
750,6694
751,6645
752,6669
753,6650
754,6654
755,6728
756,6780
757,6730
758,6771
759,6631
760,6657
761,6609
762,6702
763,6668
764,6646
765,6573
766,6646
767,6770
768,6735
769,6742
770,6746
771,6674
772,6737
773,6750
774,6753
775,6636
776,6622
777,6640
778,6770
779,6747
780,6703
781,6609
782,6632
783,6623
784,6642
785,6649
786,6721
787,6602
788,6636
789,6611
790,6591
791,6599
792,6616
793,6607
794,6590
795,6611
796,6632
797,6579
798,6586
799,6584
800,6586
801,6625
802,6598
803,6648
804,6698
805,6618
806,6657
807,6687
808,6697
