MDTU,|Tr(Lx)|,|Tr(Ly)|,|Tr(Lz)|,|Tr(L5)|
1,0.993941,0.275933,0.461384,0.00130853
2,0.993941,0.275933,0.461384,0.00130853
3,0.993941,0.275933,0.461384,0.00130853
4,0.993836,0.288993,0.465203,0.000581742
5,0.99385,0.323421,0.457867,0.00460804
6,0.993966,0.332942,0.379571,0.00377285
7,0.994061,0.35806,0.366112,0.00323966
8,0.993966,0.366608,0.348734,0.00494654
9,0.994024,0.384257,0.366714,0.00194359
10,0.993978,0.377514,0.269721,0.00302618
11,0.993984,0.339834,0.276243,0.00349657
12,0.994114,0.375542,0.30658,0.00093394
13,0.994029,0.37174,0.274662,0.00355198
14,0.994021,0.42035,0.314172,0.00216575
15,0.993968,0.436224,0.328075,0.00280753
16,0.993859,0.451994,0.35417,0.00327312
17,0.993812,0.444667,0.342522,0.00538158
18,0.993938,0.505408,0.365595,0.00238324
19,0.994001,0.486082,0.341411,0.00664317
20,0.993999,0.531131,0.357378,0.00622837
21,0.993989,0.51424,0.358266,0.00290791
22,0.994007,0.50066,0.318858,0.0022142
23,0.993937,0.484261,0.305553,0.00138978
24,0.993944,0.50208,0.322716,0.00200666
25,0.993944,0.50208,0.322716,0.00200666
26,0.993916,0.454974,0.3471,0.00492524
27,0.993935,0.426433,0.361458,0.00418319
28,0.993952,0.431627,0.385016,0.00372059
29,0.993952,0.431627,0.385016,0.00372059
30,0.993952,0.431627,0.385016,0.00372059
31,0.993939,0.406981,0.379666,0.00259287
32,0.993963,0.407862,0.372964,0.00355927
33,0.993962,0.398591,0.365061,0.00303373
34,0.993955,0.342968,0.354387,0.00136999
35,0.993902,0.395579,0.372436,0.00531844
36,0.99394,0.384271,0.33004,0.00132529
37,0.993926,0.390012,0.362127,0.00331608
38,0.993895,0.357607,0.36984,0.00226
39,0.994009,0.36951,0.37796,0.00370911
40,0.993975,0.401778,0.368618,0.00409193
41,0.993895,0.381808,0.36149,0.00247568
42,0.993942,0.37273,0.382107,0.0052938
43,0.993928,0.39985,0.404616,0.00254058
44,0.993956,0.34045,0.41796,0.00252557
45,0.993985,0.392916,0.413636,0.00389496
46,0.993943,0.360114,0.412544,0.00509775
47,0.993943,0.360114,0.412544,0.00509775
48,0.99395,0.3309,0.468407,0.00533456
49,0.99395,0.3309,0.468407,0.00533456
50,0.993938,0.379899,0.429051,0.00559428
51,0.993865,0.30684,0.406806,0.00148996
52,0.993926,0.338924,0.365336,0.00279951
53,0.993926,0.338924,0.365336,0.00279951
54,0.993913,0.303078,0.403324,0.00307908
55,0.993939,0.279942,0.392944,0.00473279
56,0.99388,0.295853,0.394125,0.00109284
57,0.994028,0.289998,0.409331,0.00502169
58,0.994028,0.289998,0.409331,0.00502169
59,0.994028,0.289998,0.409331,0.00502169
60,0.993874,0.270293,0.391684,0.00343389
61,0.99381,0.313448,0.387909,0.00246152
62,0.99368,0.31628,0.408021,0.00640268
63,0.99368,0.31628,0.408021,0.00640268
64,0.993779,0.331755,0.371007,0.0060832
65,0.993869,0.40274,0.339299,0.00447429
66,0.993861,0.366473,0.22544,0.00450371
67,0.993894,0.391391,0.249339,0.00664854
68,0.993908,0.423261,0.271122,0.00241027
69,0.993961,0.414688,0.273432,0.000774177
70,0.99383,0.379623,0.235436,0.00264007
71,0.99383,0.379623,0.235436,0.00264007
72,0.99378,0.370025,0.19424,0.00668293
73,0.99378,0.370025,0.19424,0.00668293
74,0.99384,0.34383,0.257383,0.00284285
75,0.993815,0.366331,0.249571,0.00326062
76,0.993776,0.382158,0.221611,0.00536134
77,0.993823,0.405441,0.308763,0.00377121
78,0.993934,0.346245,0.277025,0.00218287
79,0.993904,0.395523,0.31592,0.000507186
80,0.993856,0.39094,0.325747,0.00585701
81,0.993856,0.39094,0.325747,0.00585701
82,0.993856,0.39094,0.325747,0.00585701
83,0.993909,0.367605,0.308785,0.00540232
84,0.993944,0.385213,0.317324,0.00349992
85,0.993965,0.381044,0.336926,0.00696927
86,0.993944,0.361921,0.320843,0.00530757
87,0.993915,0.334979,0.321895,0.00373756
88,0.993915,0.334979,0.321895,0.00373756
89,0.993846,0.357505,0.343365,0.00748076
90,0.993891,0.389557,0.338041,0.00446428
91,0.993791,0.417092,0.317305,0.00267329
92,0.993807,0.389429,0.362644,0.00853674
93,0.993652,0.366847,0.357959,0.003086
94,0.993651,0.393341,0.375712,0.00324808
95,0.993821,0.421011,0.371396,0.0026921
96,0.993845,0.372084,0.369424,0.00545296
97,0.993849,0.438147,0.417378,0.00258247
98,0.993839,0.393378,0.409017,0.00116744
99,0.993911,0.407628,0.417839,0.00348747
100,0.993799,0.407872,0.400762,0.00123713
101,0.993783,0.463325,0.397525,0.00576632
102,0.993828,0.458092,0.392176,0.00291871
103,0.99374,0.487677,0.385463,0.0012802
104,0.993773,0.482321,0.376848,0.00427068
105,0.993825,0.45034,0.357997,0.00374051
106,0.993711,0.436504,0.342874,0.00148331
107,0.993632,0.428813,0.328803,0.00561137
108,0.993664,0.438552,0.32481,0.00518654
109,0.993691,0.415549,0.261134,0.00591117
110,0.993725,0.436531,0.278049,0.00332939
111,0.993725,0.436531,0.278049,0.00332939
112,0.993725,0.436531,0.278049,0.00332939
113,0.993744,0.439277,0.288764,0.00602699
114,0.99377,0.471562,0.312865,0.00150309
115,0.993769,0.463218,0.362849,0.00354385
116,0.993865,0.464588,0.408211,0.00519592
117,0.99382,0.415226,0.393383,0.00597808
118,0.993823,0.410688,0.359137,0.00434554
119,0.993829,0.419872,0.365016,0.00496108
120,0.993721,0.43509,0.403744,0.00406426
121,0.993805,0.401025,0.386958,0.00441477
122,0.993805,0.401025,0.386958,0.00441477
123,0.993853,0.348649,0.38198,0.00448716
124,0.993806,0.348581,0.427191,0.00462494
125,0.993739,0.30923,0.461156,0.000651322
126,0.993723,0.303739,0.479623,0.00307516
127,0.993682,0.285027,0.474506,0.00337547
128,0.99362,0.341535,0.471782,0.0047202
129,0.993571,0.317341,0.488368,0.00419525
130,0.993571,0.317341,0.488368,0.00419525
131,0.993571,0.317341,0.488368,0.00419525
132,0.993571,0.317341,0.488368,0.00419525
133,0.993686,0.33609,0.487608,0.00239916
134,0.993656,0.360851,0.508869,0.00476266
135,0.993687,0.364295,0.451104,0.00318261
136,0.993792,0.343399,0.458128,0.00461678
137,0.993616,0.377803,0.392887,0.00432822
138,0.993652,0.410065,0.38744,0.00395303
139,0.993652,0.410065,0.38744,0.00395303
140,0.993652,0.410065,0.38744,0.00395303
141,0.993625,0.423944,0.428363,0.00358512
142,0.993685,0.398555,0.453135,0.00458481
143,0.993672,0.405108,0.438367,0.00107293
144,0.993825,0.398752,0.519423,0.0043766
145,0.993805,0.372698,0.492791,0.00178591
146,0.993805,0.372698,0.492791,0.00178591
147,0.993805,0.372698,0.492791,0.00178591
148,0.993805,0.372698,0.492791,0.00178591
149,0.993787,0.408097,0.447487,0.00498763
150,0.993775,0.403008,0.4796,0.00508262
151,0.99382,0.389954,0.476099,0.000483279
152,0.993754,0.340698,0.408984,0.00114214
153,0.993859,0.321964,0.456958,0.0026285
154,0.993843,0.332693,0.450607,0.0058747
155,0.993813,0.359566,0.423744,0.00400301
156,0.993772,0.395261,0.397655,0.00256806
157,0.993772,0.395261,0.397655,0.00256806
158,0.993772,0.395261,0.397655,0.00256806
159,0.993772,0.395261,0.397655,0.00256806
160,0.993676,0.378132,0.38205,0.00695589
161,0.993838,0.338056,0.433909,0.00430288
162,0.993838,0.338056,0.433909,0.00430288
163,0.993758,0.359372,0.429003,0.00194779
164,0.993802,0.386007,0.433042,0.000625901
165,0.993802,0.386007,0.433042,0.000625901
166,0.993802,0.386007,0.433042,0.000625901
167,0.993744,0.373174,0.450117,0.00442604
168,0.993819,0.430678,0.444406,0.00499787
169,0.99382,0.393445,0.44278,0.00362886
170,0.99382,0.393445,0.44278,0.00362886
171,0.993772,0.379148,0.483741,0.00483608
172,0.993772,0.379148,0.483741,0.00483608
173,0.993731,0.360521,0.493486,0.00756058
174,0.993731,0.360521,0.493486,0.00756058
175,0.993731,0.360521,0.493486,0.00756058
176,0.993684,0.367749,0.417278,0.00432401
177,0.993684,0.367749,0.417278,0.00432401
178,0.993661,0.353348,0.47576,0.00852939
179,0.993587,0.371814,0.436295,0.00507891
180,0.993557,0.400858,0.481019,0.0022362
181,0.993659,0.378685,0.50829,0.00291704
182,0.99363,0.396557,0.535782,0.00359242
183,0.993448,0.34592,0.511218,0.00515572
184,0.993543,0.369727,0.490146,0.00406218
185,0.993491,0.398065,0.491868,0.0031124
186,0.993345,0.387279,0.5304,0.00732441
187,0.993541,0.392655,0.532725,0.00190248
188,0.993579,0.389657,0.554823,0.00152912
189,0.993579,0.389657,0.554823,0.00152912
190,0.99352,0.396801,0.540195,0.00402407
191,0.993642,0.387156,0.523664,0.00601285
192,0.993672,0.434466,0.530223,0.00358904
193,0.993741,0.377,0.51821,0.000680753
194,0.993741,0.377,0.51821,0.000680753
195,0.993706,0.397302,0.460185,0.00243743
196,0.993737,0.364617,0.455625,0.00262365
