t,cost
10,5835
20,5925
30,1492.5
40,1488.5
50,1497
60,1502
70,1499
80,1519.5
90,1501
100,1512
110,1493
120,1464
130,1464.5
140,1446.5
150,1458
160,1458.5
170,1496.5
180,1475.5
190,1449
200,1465
210,1489
220,1481
230,1450
240,1477.5
250,1482
260,1492.5
270,1474.5
280,1386
290,1571.5
300,1514.5
310,1477.5
320,1531.5
330,1558.5
340,1455
350,1490
360,1476
370,1938
380,1759
390,1563
400,1430.5
410,1449.5
420,1714.5
430,1574
440,1467
450,1470.5
460,1419.5
470,1485
480,1521.5
490,1655.5
500,1501
510,1505
520,1385
530,1553.5
540,1589
550,1560
560,1561
570,1546.5
580,1555.5
590,1558.5
600,1573
610,1562.5
620,1573
630,1546
640,1533.5
650,1562.5
660,1591
670,1564.5
680,1575
690,1554
700,1576.5
710,1558
720,1564.5
730,1595.5
740,1604.5
750,1611
760,1587.5
770,1555
780,1885
790,1885.5
800,1892.5
810,1864
820,1868
830,1857
840,1843
850,1838.5
860,1863.5
870,1889
880,1861
890,1867.5
900,1847
910,1850.5
920,1847
930,1826.5
940,1838
950,1815
960,1812.5
970,1801
980,1818
990,1835.5
1000,1832.5
1010,1459
1020,1485.5
1030,1521.5
1040,1533
1050,1541
1060,1549
1070,1537
1080,1532
1090,1578
1100,1606.5
1110,1738
1120,1908.5
1130,1888.5
1140,1710.5
1150,1756
1160,1720
1170,1564.5
1180,1576.5
1190,1563.5
1200,1567.5
1210,1546.5
1220,1586
1230,1531.5
1240,1524
1250,1502.5
1260,1535.5
1270,1538.5
1280,1515.5
1290,1523.5
1300,1532
1310,1519.5
1320,1557.5
1330,1558.5
1340,1769
1350,6630
1360,1489
1370,1485.5
1380,1460
1390,1449
1400,1439.5
1410,1563
1420,1507.5
1430,1466
1440,1452.5
1450,1428.5
1460,1424
1470,1433
1480,1491
1490,1488
1500,1472.5
1510,1458.5
1520,1437.5
1530,1412.5
1540,1490.5
1550,1505
1560,1519
1570,1537
1580,1509
1590,1400.5
1600,1463
1610,1472
1620,1471.5
1630,1866
1640,1692.5
1650,1587.5
1660,1553.5
1670,1518.5
1680,1577
1690,1650
1700,1706
1710,1688.5
1720,1695
1730,1706
1740,1705.5
1750,1692
1760,1691
1770,1668.5
1780,1590
1790,1665.5
1800,1547.5
1810,1509
1820,1508.5
1830,1481.5
1840,1466.5
1850,1470.5
1860,1497
1870,1509.5
1880,1525.5
1890,1562
1900,1562.5
1910,1500
1920,1518
1930,1478
1940,1645
1950,1555
1960,1531.5
1970,1478.5
1980,1478
1990,1528
2000,1554.5
2010,1496.5
2020,1491.5
2030,1466.5
2040,1463
2050,1461
2060,1463
2070,1455
2080,1464.5
2090,1475
2100,1478.5
2110,1286
2120,1301
2130,1319
2140,1299
2150,1324
2160,1301
2170,1303
2180,1325
2190,1329
2200,1332.5
2210,1338.5
2220,1326.5
2230,1308.5
2240,1314.5
2250,1344
2260,1313
2270,1316.5
2280,1324
2290,1325
2300,1317.5
2310,1310
2320,1303
2330,1304.5
2340,1340
2350,1339
2360,1395
2370,1448
2380,1518
2390,1508
2400,1493.5
2410,1514
2420,1495
2430,1533
2440,1491
2450,1484.5
2460,1450
2470,1389
2480,1383.5
2490,1432.5
2500,1389.5
2510,1381
2520,1369.5
2530,1369.5
2540,1429.5
2550,1433.5
2560,1434.5
2570,1443.5
2580,1473.5
2590,1449
2600,1424.5
2610,1517
