MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,2.41464,1.87724,-1.5187
2,2.41464,1.87724,-1.5187
3,2.41464,1.87724,-1.5187
4,5.90109,4.56563,-3.73869
5,5.46418,4.26923,-3.41042
6,5.09537,3.96749,-3.19715
7,4.85166,3.76343,-3.06189
8,4.72183,3.54951,-3.11394
9,4.66161,3.46889,-3.11406
10,4.56321,3.43462,-3.00438
11,4.27648,3.2099,-2.82574
12,4.06534,3.10864,-2.6198
13,4.02769,3.1218,-2.54493
14,3.95152,3.18152,-2.3436
15,3.70851,2.99887,-2.18172
16,3.64637,3.05783,-1.98637
17,3.47973,2.96712,-1.81788
18,3.32608,2.80922,-1.78076
19,3.26071,2.64775,-1.90307
20,3.18922,2.52884,-1.94322
21,3.07665,2.47283,-1.83053
22,3.07665,2.47283,-1.83053
23,3.04379,2.47118,-1.77705
24,2.99697,2.4656,-1.70372
25,3.0573,2.48119,-1.78627
26,3.00317,2.42542,-1.77099
27,2.94477,2.43292,-1.65908
28,2.85348,2.34225,-1.62979
29,2.85262,2.36695,-1.59216
30,2.80011,2.36709,-1.49583
31,2.79252,2.338,-1.52705
32,2.72636,2.28953,-1.48024
33,2.71633,2.27279,-1.48758
34,2.70658,2.31465,-1.40283
35,2.65648,2.24482,-1.42045
36,2.71076,2.31319,-1.41329
37,2.7675,2.38006,-1.41223
38,2.7675,2.38006,-1.41223
39,2.80646,2.42088,-1.41971
40,2.73669,2.24685,-1.56241
41,2.67351,2.19332,-1.52873
42,2.67781,2.24809,-1.45491
43,2.66837,2.23798,-1.45314
44,2.68206,2.28388,-1.40618
45,2.56152,2.18337,-1.33951
46,2.61756,2.1713,-1.46188
47,2.61756,2.1713,-1.46188
48,2.67566,2.19376,-1.53184
49,2.60646,2.1346,-1.49569
50,2.59509,2.15162,-1.45086
51,2.59509,2.15162,-1.45086
52,2.59509,2.15162,-1.45086
53,2.56595,2.17033,-1.36887
54,2.50701,2.11806,-1.34123
55,2.51899,2.15809,-1.29922
56,2.55757,2.15785,-1.3729
57,2.43843,2.07118,-1.28691
58,2.52616,2.0919,-1.41613
59,2.39381,1.96965,-1.36044
60,2.46436,2.06319,-1.34771
61,2.49992,2.10481,-1.34885
62,2.52072,2.05678,-1.45729
63,2.47204,2.0019,-1.4503
64,2.42295,1.94252,-1.44822
65,2.39077,1.91451,-1.43193
66,2.39825,1.9817,-1.35073
67,2.37916,1.9829,-1.31473
68,2.3324,1.93155,-1.30738
69,2.37385,1.96915,-1.32575
70,2.26464,1.80933,-1.36196
71,2.37803,1.78729,-1.56864
72,2.45039,1.90489,-1.54136
73,2.4341,1.97168,-1.42735
74,2.45103,2.03736,-1.36262
75,2.40836,1.95911,-1.40075
76,2.42745,1.99582,-1.38174
77,2.39955,1.88676,-1.48256
78,2.30797,1.81601,-1.42438
79,2.3372,1.84759,-1.43141
80,2.35749,1.79934,-1.52319
81,2.32703,1.72887,-1.55759
82,2.30031,1.7149,-1.53315
83,2.37562,1.76474,-1.59036
84,2.26764,1.61579,-1.59104
85,2.31081,1.62123,-1.64665
86,2.25164,1.54106,-1.64165
87,2.21375,1.56038,-1.57032
88,2.24629,1.57991,-1.59679
89,2.25557,1.62803,-1.56112
90,2.24917,1.60453,-1.57615
91,2.24264,1.59417,-1.57735
92,2.22483,1.61518,-1.53005
93,2.22483,1.61518,-1.53005
