t,deltaS
433,0.5393
434,-0.119
435,0.01985
436,-0.1906
437,0.1216
438,0.2648
439,-0.049
440,-0.7054
441,-0.2965
442,0.2692
443,-0.161
444,-0.8882
445,-0.2714
446,-0.3822
447,-0.6308
448,0.09964
449,-0.4689
450,0.1211
451,-0.1246
452,0.2725
453,-0.2757
454,0.129
455,-0.4744
456,0.4062
457,-0.1911
458,0.4575
459,0.2986
460,-0.2141
461,-0.401
462,0.1713
463,0.3947
464,-0.06819
465,0.3111
466,-0.733
467,0.4955
468,-0.5133
469,0.5615
470,-0.3298
471,0.3254
472,0.2778
473,-0.5573
474,0.6495
475,-0.6429
476,-0.253
477,0.6341
478,0.02617
479,0.7305
480,0.5686
481,0.743
482,0.7786
483,0.006863
484,0.3699
485,0.6847
486,0.517
487,-0.06607
488,0.8465
489,-0.03447
490,0.2116
491,0.1472
492,0.4606
493,0.5226
494,-0.5561
495,-0.1484
496,-0.8545
497,-0.04463
498,0.7863
499,-0.6122
500,0.7882
501,-0.1099
502,0.2215
503,1.065
504,-0.2393
505,0.2069
506,-0.3041
507,-0.1457
508,-0.2034
509,0.7809
510,-0.2649
511,0.1297
512,0.001293
513,-0.1265
514,-0.2491
515,0.5699
516,0.6462
517,-0.08476
518,-0.2987
519,0.5232
520,-0.2237
521,0.5931
522,0.2413
523,-0.1407
524,-0.1916
525,0.6489
526,0.5881
527,0.5359
528,0.7809
529,-0.1003
530,0.114
531,0.221
532,0.3343
533,0.556
534,0.5729
535,-0.1164
536,0.5697
537,-0.4506
538,-0.09757
539,-0.03045
540,-0.6581
541,0.7767
542,0.1047
543,-0.1409
544,0.9461
545,-0.1236
546,0.7636
547,0.3415
548,-0.5145
549,-0.1482
550,-0.1709
551,0.2933
552,0.7923
553,0.139
554,0.1071
555,-0.1829
556,0.1294
557,-0.4053
558,-0.01745
559,0.8667
560,0.07295
561,0.0863
562,-0.2069
563,0.4798
564,-0.05354
565,-0.1127
566,0.3683
567,0.3167
568,-0.128
569,0.3591
570,0.1432
571,0.3608
572,0.8877
573,0.4015
574,0.8125
575,0.6274
576,0.3325
577,0.3176
578,-0.6201
579,-0.08315
580,-0.1974
581,0.1666
582,0.4781
583,0.4555
584,-0.05446
585,1.071
586,-0.1283
587,0.5759
588,-0.1748
589,-0.4908
590,0.1918
591,-0.819
592,-0.1933
593,-0.1348
594,0.4009
595,0.3766
596,0.4877
597,1.09
598,-0.5097
599,-0.7505
600,-0.2809
601,0.6323
602,-0.1754
603,0.7912
604,0.2536
605,0.1395
606,0.3391
607,0.1948
608,0.5873
609,0.005626
610,-0.05587
611,0.1823
612,0.8172
613,-0.1741
614,0.1813
615,0.5386
616,0.1546
617,-0.3994
618,-0.8669
619,0.9059
620,-0.3569
621,-0.2818
622,-0.3165
623,0.4433
624,0.2628
625,-0.2947
626,0.1282
627,-0.7613
628,0.6282
629,-0.4098
630,-0.6118
631,0.4622
632,0.7255
633,-0.4721
634,0.6218
635,-0.1086
636,-0.1581
637,0.1113
638,-0.3405
639,-0.3743
640,0.01685
641,0.2204
642,0.6447
643,-0.05628
644,1
645,-0.1373
646,0.2621
647,0.3
648,-0.05117
649,0.3158
650,0.2072
651,0.3272
652,-0.06582
653,0.8161
654,0.5901
655,-0.2358
656,-0.02222
657,0.3909
658,0.267
659,1.065
660,0.1467
661,-0.5285
662,0.6
663,-0.104
664,-0.2689
665,0.1458
666,-0.3661
667,-0.2721
668,1.667
669,0.05615
670,0.1909
671,-0.05404
672,-0.5004
673,-0.2753
674,0.009766
675,-0.1235
676,0.4026
677,-1.021
678,0.7198
679,0.3549
680,0.366
681,0.35
682,-0.02857
683,0.2894
684,-0.08888
685,0.1438
686,0.5648
687,0.5795
688,1.029
689,0.5966
690,-0.9512
691,0.4145
692,-0.788
693,-0.4777
694,-0.9097
695,-0.03422
696,-0.374
697,-0.3382
698,-0.01853
699,0.368
700,0.3117
701,-0.2758
702,0.005234
703,-0.6588
704,-1.371
705,0.1393
706,0.1987
707,0.1957
708,-0.4123
709,0.2964
710,0.8025
711,-0.4156
712,0.1531
713,0.8038
714,0.7887
715,0.3443
716,-0.07414
717,-0.3964
718,-0.1703
719,0.5153
720,0.4294
721,0.5935
722,-0.3254
723,0.3137
724,0.1084
725,0.283
726,-1.064
727,-0.1456
728,-0.8597
729,0.2927
730,-0.02138
731,-0.12
732,0.1102
733,-0.1131
734,0.04351
735,1.167
736,0.4482
737,0.8488
738,0.1927
739,0.5945
740,-0.2941
741,0.2824
742,0.2469
743,0.1726
744,0.396
745,0.2238
746,0.2914
747,-0.1568
748,0.126
749,-0.4342
750,-0.2254
751,0.1083
752,-0.02034
753,0.2637
754,0.3053
755,0.3231
756,0.3107
757,0.3135
758,0.1131
759,-0.4088
760,0.1374
761,0.4612
762,-0.2485
763,-0.01306
764,-0.3363
765,-0.387
766,-0.9417
767,-0.02302
768,0.302
769,0.1165
770,-0.04778
771,-0.3536
772,-0.4653
773,0.109
774,-0.1868
775,0.187
776,0.2649
777,0.7272
778,-0.8551
779,0.03351
780,0.6264
781,-0.02816
782,0.2546
783,-1.202
784,0.4465
785,0.1853
786,0.2018
787,-0.2459
788,0.5411
789,-0.2978
790,-0.292
791,-0.02482
792,0.03597
793,0.7512
794,-0.03943
795,0.129
796,-1.411
797,-0.5773
798,-0.1362
799,-0.04182
800,0.1092
801,-0.03185
802,0.5381
803,1.223
804,-0.5744
805,0.7758
806,0.1093
807,0.1152
808,1.021
809,0.04253
810,0.472
811,0.05424
812,-0.3586
813,1.094
814,-0.4394
815,-0.1701
816,-0.02793
817,-1.061
818,-0.6554
819,0.1377
820,-0.3907
821,-0.2901
822,0.5997
823,0.3068
824,-0.3478
825,0.9591
826,0.5795
827,1.119
828,0.09743
829,0.3879
830,0.2278
831,-0.0904
832,0.188
833,0.5881
834,0.1108
835,0.5703
836,-0.1338
837,0.4731
838,-0.05141
839,0.4386
840,0.00654
841,0.3324
842,0.1126
843,0.5296
844,0.4954
845,0.3806
846,0.4624
847,0.2095
848,0.1267
849,0.9924
850,0.1775
851,0.1143
852,-0.3329
853,0.5302
854,-0.1804
855,-0.9917
856,0.8396
857,-0.349
858,1.253
859,0.09189
860,-0.008352
861,0.04157
862,0.4295
863,0.6493
864,0.04317
865,-0.4333
866,0.1932
867,-0.1553
868,-0.6459
869,-0.2145
870,0.08001
871,0.1359
872,0.1679
873,0.8796
874,0.8359
875,0.1978
876,0.8762
877,0.4802
878,0.2002
879,0.0147
880,0.2607
881,-0.01578
882,1.059
883,-0.00142
884,-0.01963
885,-0.5549
886,-0.1878
887,0.4174
888,-0.7829
889,0.2253
890,0.2667
891,0.1121
892,0.4576
893,0.1326
894,0.6489
895,0.4009
896,0.1558
897,-0.02922
898,0.6281
899,0.02725
900,-0.335
901,-0.1805
902,-0.5529
903,-0.06581
904,-0.1674
905,0.4512
906,0.03756
907,0.1286
908,-0.08088
909,-0.2472
910,-0.135
911,0.1282
912,-0.001427
913,0.243
914,-0.6066
915,-0.8884
916,0.1523
917,0.2331
918,0.2507
919,-0.3144
920,0.9717
921,0.3312
922,0.7764
923,-0.7649
924,-0.1818
925,0.007903
926,-0.1988
927,0.5446
928,0.1022
929,-0.3034
930,0.3121
931,-0.6264
932,0.1118
933,1.055
934,0.2374
935,-0.1979
936,-0.1044
937,-0.3993
938,-0.6824
939,0.254
940,-0.1534
941,0.2298
942,0.2136
943,-0.1353
944,-0.2395
945,-0.5518
946,-0.3302
947,0.1255
948,0.7164
949,1.034
950,0.6699
951,-0.6126
952,0.1309
953,0.7674
954,0.6325
955,0.202
956,0.8637
957,0.8123
958,1.112
959,0.2648
960,1.029
961,0.239
962,0.7821
963,0.4486
964,0.7636
965,0.2403
966,0.4705
967,0.2676
968,-0.4239
969,0.9368
970,0.5364
971,0.1127
972,-0.6489
973,-0.3948
974,0.5748
975,0.2357
976,0.1256
977,-0.103
978,0.5053
979,0.1307
980,0.497
981,0.3912
982,-0.5534
983,0.4775
984,1.39
985,0.5848
986,0.03999
987,0.06179
988,0.435
989,0.83
990,-0.1343
991,-0.6981
992,0.1938
993,-0.1931
994,0.4141
995,-0.6567
996,0.5265
997,-1.035
998,0.4843
999,-0.5007
1000,-0.6129
1001,0.3808
1002,-0.2064
1003,0.4129
1004,0.0586
1005,0.1113
1006,0.2755
1007,0.727
1008,0.1536
1009,0.1833
1010,-0.07774
1011,0.2472
1012,0.1119
1013,0.8914
1014,-0.161
1015,0.6258
1016,-0.4857
1017,0.8029
1018,0.1996
1019,-0.01089
1020,0.00123
1021,0.2969
1022,0.2863
1023,0.6289
1024,-0.253
1025,0.06883
1026,0.226
1027,0.6476
1028,-0.3235
1029,0.3409
1030,0.5677
1031,-0.1826
1032,0.1363
1033,0.08639
1034,0.2488
1035,0.3095
1036,1.047
1037,0.2857
1038,0.3896
1039,0.5629
1040,0.3983
1041,0.5827
1042,-0.01108
1043,0.7703
1044,0.2974
1045,-0.762
1046,0.1574
1047,-0.06768
1048,0.063
1049,-0.05964
1050,-0.08699
1051,0.1438
1052,0.07733
1053,0.3325
1054,0.7079
1055,-0.2594
1056,0.3166
1057,0.1596
1058,-0.7393
1059,0.1096
1060,-0.1904
1061,1.064
1062,0.9295
1063,1.246
1064,-0.4676
1065,0.5557
1066,0.09691
1067,0.04109
1068,0.2037
1069,0.07739
1070,-0.2407
1071,0.3625
1072,0.7414
1073,0.8599
1074,-0.0906
1075,0.555
1076,-0.6065
1077,0.3001
1078,-0.3259
1079,0.08318
1080,0.1692
1081,0.5133
1082,-0.1494
1083,-0.5053
1084,0.2668
1085,-0.3156
1086,0.3305
1087,0.4093
1088,0.1537
1089,-0.704
1090,-0.5862
1091,0.2399
1092,0.1034
1093,1.339
1094,-0.5457
1095,0.3957
1096,0.476
1097,0.4918
1098,0.1828
1099,0.5458
1100,0.8809
1101,0.8273
1102,0.1312
1103,0.243
1104,1.533
1105,-0.2073
1106,0.0216
1107,1.018
1108,-0.09392
1109,0.1029
1110,-0.06136
1111,-0.4903
1112,-0.5054
1113,-0.1423
1114,0.1605
1115,0.7616
1116,0.2512
1117,0.6225
1118,-0.1322
1119,-0.2761
1120,0.8802
1121,0.07645
