t,cost
10,688.853
20,702.293
30,712.747
40,714.667
50,714.027
60,718.507
70,721.067
80,720
90,713.813
100,715.947
110,718.293
120,724.693
130,729.813
140,727.68
150,718.507
160,709.547
170,705.92
180,740.267
190,733.013
200,751.147
210,743.253
220,734.72
230,729.387
240,731.52
250,725.973
260,721.92
270,717.867
280,724.693
290,715.52
300,734.293
310,743.04
320,717.013
330,713.813
340,715.733
350,719.147
360,720.213
370,714.88
380,701.44
390,705.493
400,713.6
410,791.467
420,780.373
430,777.387
440,776.533
450,783.573
460,778.027
470,779.733
480,781.013
490,779.947
500,777.6
510,780.8
520,784.853
530,787.2
540,780.373
550,781.44
560,781.013
570,790.4
580,791.04
590,795.733
600,792.107
610,790.4
620,787.413
630,788.053
640,788.48
650,794.667
660,790.613
670,793.173
680,804.907
690,800.853
700,794.453
710,792.32
720,783.147
730,787.84
740,786.987
750,786.773
760,787.2
770,790.827
780,792.107
790,789.333
800,786.133
810,782.08
820,785.493
830,775.68
840,778.88
850,775.253
860,779.307
870,775.467
880,773.973
890,777.6
900,769.067
910,797.653
920,796.8
930,782.933
940,774.4
950,776.96
960,775.04
970,772.053
980,772.693
990,777.6
1000,779.947
1010,796.587
1020,789.333
1030,791.04
1040,788.267
1050,779.52
1060,785.067
1070,780.373
1080,787.2
1090,786.987
1100,790.187
1110,792.32
1120,789.12
1130,789.333
1140,785.92
1150,785.493
1160,790.827
1170,786.773
1180,792.747
1190,792.533
1200,790.613
1210,787.84
1220,775.893
1230,791.253
1240,793.813
1250,791.893
1260,798.72
1270,785.28
1280,781.44
1290,785.067
1300,806.613
1310,802.56
1320,788.907
1330,786.56
1340,787.84
1350,787.627
1360,785.92
1370,788.693
1380,786.133
1390,781.44
1400,782.08
1410,786.987
1420,785.28
1430,785.067
1440,780.16
1450,784
1460,786.133
1470,789.12
1480,782.08
1490,786.347
1500,792.107
1510,786.347
1520,778.88
1530,780.587
1540,790.187
1550,794.453
1560,795.093
1570,795.947
1580,795.733
1590,794.667
1600,792.96
1610,726.613
1620,724.48
1630,721.92
1640,722.987
1650,724.693
1660,733.44
1670,732.16
1680,726.4
1690,729.813
1700,727.253
1710,725.973
1720,729.173
1730,712.96
1740,721.707
1750,730.667
1760,729.6
1770,738.773
1780,736.427
1790,728.96
1800,728.747
1810,733.653
1820,725.973
1830,718.933
1840,721.067
1850,726.4
1860,721.493
1870,725.12
1880,723.413
1890,725.547
1900,723.84
1910,722.56
1920,709.547
1930,711.893
1940,714.453
1950,725.333
1960,724.48
1970,727.253
1980,722.56
1990,740.48
2000,733.653
2010,727.467
2020,728.747
2030,721.707
2040,724.267
2050,718.507
2060,725.973
2070,718.72
2080,718.08
2090,718.507
2100,721.707
2110,725.547
2120,727.467
2130,726.613
2140,725.973
2150,718.507
2160,721.067
2170,721.92
2180,719.147
2190,707.2
2200,712.96
2210,772.053
2220,768.853
2230,774.827
2240,775.467
2250,785.92
2260,791.893
2270,792.747
2280,791.04
2290,794.88
2300,793.387
2310,787.413
2320,786.773
2330,786.56
2340,792.747
2350,790.187
2360,765.227
2370,758.613
2380,761.173
2390,768.427
2400,765.44
2410,766.293
2420,770.133
2430,768.427
2440,763.947
2450,762.667
2460,756.907
2470,766.08
2480,767.147
2490,763.093
2500,774.613
2510,768.853
2520,775.68
