t,N_f,N_g
10,400,16000
20,100,2000
30,50,1000
40,46,920
50,40,800
60,40,800
70,40,800
80,40,800
90,40,800
100,40,800
110,40,800
120,40,800
130,40,800
140,40,800
150,40,800
160,40,800
170,40,800
180,40,800
190,40,800
200,40,800
210,40,800
220,40,800
230,40,800
240,40,800
250,40,800
260,40,800
270,40,800
280,40,800
290,40,800
300,40,800
310,40,800
320,40,800
330,40,800
340,40,800
350,40,800
360,40,800
370,40,800
380,40,800
390,40,800
400,40,800
410,40,800
420,40,800
430,40,800
440,40,800
450,40,800
460,40,800
470,40,800
480,40,800
490,40,800
500,40,800
510,40,800
520,40,800
530,40,800
540,40,800
550,40,800
560,40,800
570,40,800
580,40,800
590,40,800
600,40,800
610,40,800
620,40,800
630,40,800
640,40,800
650,40,800
660,40,800
670,40,800
680,40,800
690,40,800
700,40,800
710,40,800
720,40,800
730,40,800
740,40,800
750,40,800
760,40,800
770,40,800
780,40,800
790,40,800
800,40,800
810,40,800
820,40,800
830,40,800
840,40,800
850,40,800
860,40,800
870,40,800
880,40,800
890,40,800
900,40,800
910,40,800
920,40,800
930,40,800
940,40,800
950,40,800
960,40,800
970,40,800
980,40,800
990,40,800
1000,40,800
1010,40,800
1020,40,800
1030,40,800
1040,40,800
1050,40,800
1060,40,800
1070,40,800
1080,40,800
1090,40,800
1100,40,800
1110,40,800
1120,40,800
1130,40,800
1140,40,800
1150,40,800
1160,40,800
1170,40,800
1180,40,800
1190,40,800
1200,40,800
1210,40,800
1220,40,800
1230,40,800
1240,40,800
1250,40,800
1260,40,800
1270,40,800
1280,40,800
1290,40,800
1300,40,800
1310,40,800
1320,40,800
1330,40,800
1340,40,800
1350,40,800
1360,40,800
1370,40,800
1380,40,800
1390,40,800
1400,40,800
1410,40,800
1420,40,800
1430,40,800
1440,40,800
1450,40,800
1460,40,800
1470,40,800
1480,40,800
1490,40,800
1500,40,800
1510,40,800
1520,40,800
1530,40,800
1540,40,800
1550,40,800
1560,40,800
1570,40,800
1580,40,800
1590,40,800
1600,40,800
1610,40,800
1620,40,800
1630,40,800
1640,40,800
1650,40,800
1660,40,800
1670,40,800
1680,40,800
1690,40,800
1700,40,800
1710,40,800
1720,40,800
1730,40,800
1740,40,800
1750,40,800
1760,40,800
1770,40,800
1780,40,800
1790,40,800
1800,40,800
1810,40,800
1820,40,800
1830,40,800
1840,40,800
1850,40,800
1860,40,800
1870,40,800
1880,40,800
1890,40,800
1900,40,800
1910,40,800
1920,40,800
1930,40,800
1940,40,800
1950,40,800
1960,40,800
1970,40,800
1980,40,800
1990,40,800
2000,40,800
2010,40,800
2020,40,800
2030,40,800
2040,40,800
2050,40,800
2060,40,800
2070,40,800
2080,40,800
2090,40,800
2100,40,800
2110,40,800
2120,40,800
2130,40,800
2140,40,800
2150,40,800
2160,40,800
2170,40,800
2180,40,800
2190,40,800
2200,40,800
2210,40,800
2220,40,800
2230,40,800
2240,40,800
2250,40,800
2260,40,800
2270,40,800
2280,40,800
2290,40,800
2300,40,800
2310,40,800
2320,40,800
2330,40,800
2340,40,800
2350,40,800
2360,40,800
2370,40,800
2380,40,800
2390,40,800
2400,40,800
2410,40,800
2420,40,800
2430,40,800
2440,40,800
2450,40,800
2460,40,800
2470,40,800
2480,40,800
2490,40,800
2500,40,800
2510,40,800
2520,40,800
2530,40,800
2540,40,800
2550,40,800
2560,40,800
2570,40,800
2580,40,800
2590,40,800
2600,40,800
2610,40,800
2620,40,800
2630,40,800
2640,40,800
