MDTU,min_width,max_width
1,0.0391032,0.0319882
2,0.0391032,0.0319882
3,0.0794334,0.0655604
4,0.0746693,0.0614632
5,0.0724133,0.059806
6,0.0694278,0.0581497
7,0.0691212,0.0566007
8,0.0684537,0.0551855
9,0.0685323,0.0550498
10,0.0674202,0.0547665
11,0.0661255,0.0530153
12,0.0660268,0.0538155
13,0.0651566,0.0535976
14,0.0642875,0.0522744
15,0.0644304,0.0525742
16,0.0621654,0.0509537
17,0.0616467,0.0513016
18,0.0620687,0.0513607
19,0.0629541,0.0519449
20,0.06366,0.0514463
21,0.062257,0.0513895
22,0.0616502,0.0499012
23,0.0590531,0.0481487
24,0.0590438,0.048043
25,0.0592055,0.0486897
26,0.0604237,0.0492623
27,0.060281,0.0493064
28,0.0606794,0.0496216
29,0.0598414,0.0492908
30,0.0594746,0.049136
31,0.0573195,0.0476408
32,0.0564751,0.0464192
33,0.0567689,0.0464943
34,0.056398,0.0459935
35,0.0568247,0.0460107
36,0.0568247,0.0460107
37,0.056814,0.0456908
38,0.0565311,0.0457221
39,0.0559162,0.0454301
40,0.0566894,0.0453231
41,0.0564292,0.0450939
42,0.0549775,0.0447606
43,0.0546658,0.0442236
44,0.0561197,0.045197
45,0.0561408,0.0456677
46,0.0540973,0.0444085
47,0.053514,0.0430777
48,0.0530254,0.0426945
49,0.0521095,0.0419529
50,0.0517354,0.0414053
51,0.0523167,0.0429513
52,0.0523167,0.0429513
53,0.0523167,0.0429513
54,0.0536641,0.0434189
55,0.053136,0.0431883
56,0.0518943,0.0421995
57,0.0524099,0.0420194
58,0.0523308,0.0415539
59,0.0508193,0.0407732
60,0.0507195,0.0403233
61,0.0491399,0.0388419
62,0.0479779,0.038235
63,0.0483508,0.0391032
64,0.0494112,0.0401251
65,0.0508473,0.0404278
66,0.0502948,0.0404416
67,0.0489714,0.0392206
68,0.0481818,0.0390741
69,0.0486322,0.0391801
70,0.04745,0.0389013
71,0.046888,0.0385246
72,0.0449168,0.0370949
73,0.0444312,0.0365042
74,0.044897,0.0361156
75,0.0447426,0.0364222
76,0.0442808,0.0358026
77,0.043589,0.0350031
78,0.043589,0.0350031
79,0.0445283,0.0351023
80,0.0442703,0.0348409
81,0.0436506,0.0344383
82,0.0425809,0.0342447
83,0.0422819,0.0342173
84,0.0429363,0.0344178
85,0.0429116,0.0344515
86,0.042216,0.0338628
87,0.0423397,0.0337375
88,0.041294,0.0331979
89,0.0408653,0.0329469
90,0.039924,0.0320974
91,0.0401109,0.0326005
92,0.0401109,0.0326005
93,0.0400352,0.0327259
94,0.0420934,0.0339125
95,0.0430954,0.0343408
96,0.0424032,0.0340505
