MDTU,plaq_ss,plaq_st
1,1.03435,1.11685
2,1.041,1.11407
3,1.03866,1.11189
4,1.03599,1.1041
5,1.03334,1.09482
6,1.03786,1.09903
7,1.0362,1.09975
8,1.03529,1.09124
9,1.02785,1.09111
10,1.02562,1.08453
11,1.02199,1.08674
12,1.03089,1.0888
13,1.02307,1.07902
14,1.02142,1.08093
15,1.01456,1.08151
16,1.01143,1.08838
17,1.00692,1.08553
18,1.00448,1.07919
19,1.00471,1.07655
20,0.998013,1.0716
21,1.00035,1.07442
22,1.00062,1.06636
23,1.01084,1.06158
24,1.01062,1.06134
25,1.01152,1.05919
26,1.01253,1.05838
27,1.01267,1.06172
28,1.01387,1.06383
29,1.01262,1.06231
30,1.01129,1.0598
31,1.01856,1.05462
32,1.00791,1.05229
33,1.01433,1.05493
34,1.00699,1.04455
35,0.997301,1.04587
36,1.00245,1.05432
37,0.997344,1.05571
38,0.997964,1.0554
39,1.00119,1.05332
40,1.00328,1.05304
41,1.00184,1.05512
42,0.999231,1.05569
43,0.989082,1.0572
44,0.995444,1.05569
45,0.99547,1.05049
46,0.993346,1.04876
47,0.991371,1.04327
48,0.991924,1.04473
49,0.980163,1.04256
50,0.980163,1.04256
51,0.977578,1.03636
52,0.972262,1.04435
53,0.972262,1.04435
54,0.972262,1.04435
55,0.977155,1.03728
56,0.977713,1.04025
57,0.97855,1.03432
58,0.97855,1.03432
59,0.980798,1.03972
60,0.978024,1.03317
61,0.978024,1.03317
62,0.977135,1.02664
63,0.977135,1.02664
64,0.980949,1.01946
65,0.978255,1.02235
66,0.975175,1.01515
67,0.975965,1.02413
68,0.975965,1.02413
69,0.976389,1.01929
70,0.977239,1.02302
71,0.969835,1.02451
72,0.969835,1.02451
73,0.969835,1.02451
74,0.969835,1.02451
75,0.974138,1.02965
76,0.974138,1.02965
77,0.975336,1.02944
78,0.975222,1.02058
79,0.9776,1.02398
80,0.983141,1.02205
81,0.986503,1.02889
82,0.986503,1.02889
83,0.986503,1.02889
84,0.979661,1.01808
85,0.979987,1.01185
86,0.977086,1.02334
87,0.980418,1.02571
88,0.977027,1.01718
89,0.979253,1.01796
90,0.980123,1.02667
91,0.980123,1.02667
92,0.981858,1.0232
93,0.973767,1.03458
94,0.972136,1.02595
95,0.972136,1.02595
96,0.972136,1.02595
97,0.972136,1.02595
98,0.972136,1.02595
99,0.982004,1.01864
100,0.979472,1.01488
101,0.986165,1.01219
102,0.979084,1.00367
103,0.982264,1.01461
104,0.982264,1.01461
105,0.986803,1.0107
106,0.985461,1.01198
107,0.985809,1.01069
108,0.978618,1.01324
109,0.978618,1.01324
110,0.974871,1.01845
111,0.976542,1.01679
112,0.976542,1.01679
113,0.96982,1.02017
114,0.964829,1.0228
115,0.965133,1.02346
116,0.965133,1.02346
117,0.966298,1.01816
118,0.966298,1.01816
119,0.960599,1.01554
120,0.965635,1.01932
121,0.965635,1.01932
122,0.965024,1.02384
123,0.965504,1.03488
124,0.965504,1.03488
125,0.963258,1.0278
126,0.963258,1.0278
127,0.969309,1.02005
128,0.968177,1.02669
129,0.968177,1.02669
130,0.968297,1.02805
131,0.967818,1.02047
132,0.967818,1.02047
133,0.964613,1.01801
134,0.953775,1.01478
135,0.961552,1.01069
136,0.961552,1.01069
137,0.970221,1.01107
138,0.970221,1.01107
139,0.969898,1.00921
140,0.970723,1.01189
141,0.970408,1.01387
142,0.972665,1.01612
143,0.968091,1.01686
144,0.968091,1.01686
145,0.971037,1.02166
146,0.968888,1.01072
147,0.96957,1.0084
148,0.96957,1.0084
149,0.960322,1.00941
150,0.960322,1.00941
151,0.959833,1.01089
152,0.964775,1.00769
153,0.964775,1.00769
154,0.961997,1.00686
155,0.961997,1.00686
156,0.962186,1.01229
157,0.961245,1.00813
158,0.951777,1.00575
159,0.951777,1.00575
160,0.95509,1.00646
161,0.951182,1.00131
162,0.954537,0.999961
163,0.952806,1.0007
164,0.954788,0.997053
165,0.954788,0.997053
166,0.954788,0.997053
167,0.949004,0.994364
168,0.941848,0.992884
169,0.944175,0.997451
170,0.94036,0.997797
171,0.94036,0.997797
172,0.940316,0.995483
173,0.941267,0.993006
174,0.936585,0.981188
175,0.942895,0.987233
176,0.949831,0.988
177,0.957615,0.994218
178,0.950766,0.983463
179,0.952595,0.987993
180,0.951046,0.99318
181,0.952658,0.996542
182,0.949803,0.992916
183,0.945649,1.00108
184,0.945649,1.00108
185,0.945649,1.00108
186,0.938071,0.995831
187,0.934199,1.00582
188,0.94034,1.00454
189,0.939404,1.00848
190,0.944498,1.00741
191,0.944498,1.00741
192,0.947098,1.00706
193,0.943898,1.00381
194,0.939155,1.00375
195,0.937082,1.00772
196,0.937082,1.00772
197,0.937082,1.00772
198,0.934463,0.998302
199,0.934463,0.998302
200,0.939926,0.998844
201,0.941599,0.998853
202,0.942189,0.994576
203,0.942189,0.994576
204,0.941559,0.984337
205,0.941559,0.984337
206,0.941559,0.984337
207,0.946049,0.993993
208,0.941873,0.98633
209,0.941873,0.98633
210,0.941873,0.98633
211,0.941182,0.987163
212,0.941182,0.987163
213,0.941182,0.987163
214,0.941182,0.987163
215,0.941182,0.987163
216,0.942078,0.984519
217,0.947548,0.985274
218,0.944272,0.985218
219,0.940938,0.982857
220,0.933605,0.988132
221,0.937842,0.983024
222,0.940336,0.9748
223,0.935298,0.977514
